,rz_frg_5m-ev1.1.1,rz_frg_5m-mazf1.1.2,rz_frg_5m-rele1.1.3,rz_frg_5m-chpb1.1.4,rz_frg_5m-hica1.1.5,rz_frg_5m-yhav1.1.6,rz_frg_5m-mqsr1.1.7,rz_frg_5m-rnla1.1.8,rz_frg_5m-yoeb1.1.9,rz_frg_5m-yafo1.1.10,rz_frg_5m-yafq1.1.11,rz_frg_5m-higb1.1.12,rz_frg_5m-ev2.1.13,rz_frg_5m-mazf2.1.14,rz_frg_5m-rele2.1.15,rz_frg_5m-chpb2.1.16,rz_frg_5m-hica2.1.17,rz_frg_5m-yhav2.1.18,rz_frg_5m-mqsr2.1.19,rz_frg_5m-rnla2.1.20,rz_frg_5m-yoeb2.1.21,rz_frg_5m-yafo2.1.22,rz_frg_5m-yafq2.1.23,rz_frg_5m-higb2.1.24,rz_5m-ev1.2.1,rz_5m-mazf1.2.2,rz_5m-rele1.2.3,rz_5m-chpb1.2.4,rz_5m-hica1.2.5,rz_5m-yhav1.2.6,rz_5m-mqsr1.2.7,rz_5m-rnla1.2.8,rz_5m-yoeb1.2.9,rz_5m-yafo1.2.10,rz_5m-yafq1.2.11,rz_5m-higb1.2.12,rz_5m-ev2.2.13,rz_5m-mazf2.2.14,rz_5m-rele2.2.15,rz_5m-chpb2.2.16,rz_5m-hica2.2.17,rz_5m-yhav2.2.18,rz_5m-mqsr2.2.19,rz_5m-rnla2.2.20,rz_5m-yoeb2.2.21,rz_5m-yafo2.2.22,rz_5m-yafq2.2.23,rz_5m-higb2.2.24,tot_5m-ev1.3.1,tot_5m-mazf1.3.2,tot_5m-rele1.3.3,tot_5m-chpb1.3.4,tot_5m-hica1.3.5,tot_5m-yhav1.3.6,tot_5m-mqsr1.3.7,tot_5m-rnla1.3.8,tot_5m-yoeb1.3.9,tot_5m-yafo1.3.10,tot_5m-yafq1.3.11,tot_5m-higb1.3.12,tot_5m-ev2.3.13,tot_5m-mazf2.3.14,tot_5m-rele2.3.15,tot_5m-chpb2.3.16,tot_5m-hica2.3.17,tot_5m-yhav2.3.18,tot_5m-mqsr2.3.19,tot_5m-rnla2.3.20,tot_5m-yoeb2.3.21,tot_5m-yafo2.3.22,tot_5m-yafq2.3.23,tot_5m-higb2.3.24,tot_30m-ev1.4.1,tot_30m-mazf1.4.2,tot_30m-rele1.4.3,tot_30m-chpb1.4.4,tot_30m-hica1.4.5,tot_30m-yhav1.4.6,tot_30m-mqsr1.4.7,tot_30m-rnla1.4.8,tot_30m-yoeb1.4.9,tot_30m-yafo1.4.10,tot_30m-yafq1.4.11,tot_30m-higb1.4.12,tot_30m-ev2.4.13,tot_30m-mazf2.4.14,tot_30m-rele2.4.15,tot_30m-chpb2.4.16,tot_30m-hica2.4.17,tot_30m-yhav2.4.18,tot_30m-mqsr2.4.19,tot_30m-rnla2.4.20,tot_30m-yoeb2.4.21,tot_30m-yafo2.4.22,tot_30m-yafq2.4.23,tot_30m-higb2.4.24,rz_5m_trna-ev1.5.1,rz_5m_trna-mazf1.5.2,rz_5m_trna-rele1.5.3,rz_5m_trna-chpb1.5.4,rz_5m_trna-hica1.5.5,rz_5m_trna-yhav1.5.6,rz_5m_trna-mqsr1.5.7,rz_5m_trna-rnla1.5.8,rz_5m_trna-yoeb1.5.9,rz_5m_trna-yafo1.5.10,rz_5m_trna-yafq1.5.11,rz_5m_trna-higb1.5.12,rz_5m_trna-ev2.5.13,rz_5m_trna-mazf2.5.14,rz_5m_trna-rele2.5.15,rz_5m_trna-chpb2.5.16,rz_5m_trna-hica2.5.17,rz_5m_trna-yhav2.5.18,rz_5m_trna-mqsr2.5.19,rz_5m_trna-rnla2.5.20,rz_5m_trna-yoeb2.5.21,rz_5m_trna-yafo2.5.22,rz_5m_trna-yafq2.5.23,rz_5m_trna-higb2.5.24
b0001,0,2,26,0,97,54,37,0,99,37,0,17,57,18,47,18,1,23,146,128,186,15,0,1,82,33,32,0,5,93,9,0,48,37,4,0,109,7,32,0,1,21,5,0,1,29,1,80,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,6,7,0,0,0,0,2,3,0,7,0,2,15,6,0,4,2,0,0,1,0,6,1,2,12,15,1,5,3,0,0,27,13,34,18,15,24,6,0,11,1,13,12,61,9,15,21,40,47,43,37,15,1,7,54
b0002,2713,889,2370,1428,1257,1241,819,1288,3144,2528,1880,185,5417,1174,2740,2400,986,1074,1186,2506,5082,1578,1621,174,998,854,3915,553,396,2113,520,238,2254,1314,532,269,1562,585,3051,799,332,704,911,639,4567,861,638,186,32,10,77,15,11,57,41,18,86,46,19,10,51,17,111,37,12,51,36,18,103,21,27,7,50,7,189,47,19,378,54,14,196,140,27,15,49,16,109,107,17,260,103,34,194,63,18,19,171,32,256,21,27,144,34,11,103,50,31,15,51,23,110,20,25,52,44,24,135,18,21,44
b0003,2727,861,2125,1150,1735,1917,1585,1111,1637,3381,1971,1413,5077,1469,2714,1491,1177,3160,2406,1421,2913,2157,1071,571,2733,805,2800,1149,2318,1693,2292,490,1537,3037,1104,4036,4269,1737,2662,1161,1356,7112,4916,1029,2190,1288,650,1015,40,11,34,33,36,102,61,11,55,52,8,67,56,26,75,34,45,137,144,21,75,39,18,24,38,5,28,36,27,75,28,4,71,36,20,26,53,2,35,67,12,120,70,19,53,28,25,9,52,15,52,25,32,46,26,12,18,39,18,25,45,22,41,13,31,32,46,10,42,18,29,23
b0004,4085,1746,2996,1956,1647,1718,1336,883,1555,4070,2006,1213,3955,2230,3871,1784,1302,2308,2762,1612,3188,1955,1498,316,2331,979,3246,1559,1928,1816,2124,658,2060,3486,742,1508,3021,1927,6643,1365,1732,3231,4346,1161,3134,1546,780,1172,39,33,52,22,40,126,63,4,72,71,16,39,49,35,112,35,43,68,128,27,69,40,21,30,56,5,35,36,24,108,43,3,70,59,20,18,37,17,62,50,17,111,48,13,72,32,21,13,936,440,403,191,555,347,269,99,152,589,235,145,359,423,189,208,163,872,539,207,181,147,72,463
b0005,0,107,170,56,53,196,83,10,60,125,31,242,154,161,162,122,23,229,92,120,206,32,55,69,77,237,93,132,57,366,424,0,174,51,0,325,98,175,128,104,348,429,137,163,210,54,0,229,4,5,0,6,1,26,3,0,0,7,0,14,6,6,4,14,0,32,8,2,7,1,0,3,2,4,14,3,1,34,9,2,10,15,1,61,3,1,31,23,8,45,25,5,13,0,1,25,2,9,6,3,0,9,2,2,2,2,2,1,2,1,2,2,5,1,1,3,3,2,2,2
b0006,888,325,1010,813,237,641,203,176,1255,596,464,420,502,728,1449,740,632,579,206,280,652,398,499,341,224,51,1814,682,463,1253,495,3,2362,228,124,484,162,872,1261,142,445,1352,873,191,953,354,116,450,2,2,30,7,9,39,9,2,53,23,5,14,0,17,21,17,12,26,25,0,29,13,2,15,1,8,28,3,2,17,5,0,22,49,4,31,3,14,28,6,4,42,21,0,12,13,5,16,15,14,67,12,11,28,9,3,47,9,3,12,7,19,23,19,16,17,19,3,41,17,4,3
b0007,118,574,158,224,381,880,21,20,206,337,29,348,102,592,443,540,90,503,341,190,344,189,86,138,425,442,61,309,283,611,276,213,367,259,82,355,259,774,589,569,377,764,712,146,461,181,422,515,13,14,4,5,6,33,10,0,9,16,1,5,6,7,15,8,4,12,6,2,14,7,5,7,4,7,10,6,8,7,7,1,13,7,2,9,6,22,5,8,3,13,9,0,5,7,6,19,150,35,17,5,35,53,14,3,6,33,7,12,56,32,26,8,27,81,43,11,15,6,14,18
b0008,12746,2779,10927,9073,6466,7716,6784,4759,6827,11577,8671,7177,18965,4741,13701,9356,6181,10494,9653,4181,9006,8738,4794,5251,15668,2429,16263,10483,6275,9321,9702,7306,10180,14870,6802,8240,21952,4509,25051,9932,5672,14434,15304,5074,13268,8063,4986,11649,322,64,324,281,149,474,210,108,379,506,147,321,473,151,569,357,165,577,421,128,356,202,94,465,333,52,356,188,143,597,184,85,288,614,257,248,516,92,516,302,93,614,325,154,322,246,132,396,161,57,1679,112,152,478,127,48,237,211,86,858,263,99,1252,147,137,356,167,59,375,211,74,292
b0009,1475,1051,2162,678,1119,953,870,568,1190,936,642,744,1233,1285,1548,1179,474,1263,1588,195,1493,850,371,547,1220,1424,3515,621,470,1528,1125,317,1351,1219,221,1296,644,1816,3219,1511,565,1444,1218,221,1840,1382,607,884,26,17,83,16,16,74,28,7,51,39,10,46,33,41,74,55,24,75,26,13,66,14,8,45,27,38,198,20,23,90,40,5,66,62,19,129,8,51,143,77,40,126,41,9,76,48,8,94,24,23,69,10,11,33,26,8,15,15,6,51,13,19,63,16,22,57,24,10,41,21,6,11
b0010,54,433,321,263,188,484,200,40,203,101,64,239,183,818,356,162,151,627,168,15,475,11,0,227,1,355,467,175,178,944,101,43,229,245,36,341,445,693,325,449,231,401,330,79,413,203,59,987,3,9,11,5,9,33,4,0,12,17,0,18,9,19,9,4,2,24,19,0,10,2,0,29,0,33,9,6,8,49,5,0,5,26,0,21,23,32,15,16,6,53,12,3,9,10,1,59,0,29,34,24,22,37,10,0,4,9,5,13,30,25,21,6,20,28,2,4,36,12,2,31
