,title,i7,ezpool,ezpool_counts,too_short,match_1,match_multiple,overall_align,CDS,CDS_inverse,ncRNA_inverse,ncRNA,rRNA_inverse,rRNA,tRNA,tRNA_inverse,mean,5th,10th,50th,90th,95th
0,rz_frg_5m-ev1,1,1,19515457,11797,66.38,28.13,96.8,13397985.0,257690.0,9672.0,1224111.0,7410.0,4812179.0,246624.0,2039.0,237.52879443710964,143.0,161.0,229.0,330.0,362.0
1,rz_frg_5m-mazf1,1,2,16459090,12444,51.24,43.71,96.91,6306558.0,287304.0,5687.0,2313865.0,1231.0,6930010.0,1031589.0,389.0,237.04241815339586,147.0,163.0,232.0,318.0,348.0
2,rz_frg_5m-rele1,1,3,19243796,5926,63.88,32.53,98.0,12240762.0,212297.0,9048.0,1211749.0,3182.0,5634932.0,904818.0,1826.0,229.78440012616153,141.0,158.0,222.0,312.0,345.0
3,rz_frg_5m-chpb1,1,4,17246139,9113,53.52,42.5,97.66,7944244.0,153756.0,6135.0,1886912.0,2959.0,7120003.0,610838.0,545.0,237.87127154268785,147.0,164.0,230.0,321.0,355.0
4,rz_frg_5m-hica1,1,5,16699382,8340,51.71,44.3,97.71,7965475.0,171233.0,6517.0,1531070.0,2588.0,7166231.0,460881.0,862.0,241.82564426056442,149.0,167.0,235.0,327.0,359.0
5,rz_frg_5m-yhav1,1,6,17682617,7177,64.1,32.34,97.93,10944029.0,278484.0,9237.0,1489082.0,2872.0,5281696.0,745789.0,907.0,235.68473281157523,147.0,163.0,228.0,320.0,353.0
6,rz_frg_5m-mqsr1,1,7,16681512,21473,44.95,50.13,97.14,7081730.0,161963.0,6565.0,965426.0,3320.0,8057547.0,787552.0,1390.0,238.01768205025894,147.0,163.0,230.0,324.0,357.0
7,rz_frg_5m-rnla1,1,8,8397586,3996,56.36,38.36,96.44,4692674.0,37636.0,2311.0,631875.0,572.0,3067323.0,178365.0,319.0,243.73540151401954,150.0,168.0,236.0,331.0,365.0
8,rz_frg_5m-yoeb1,1,9,17860505,14188,47.4,49.02,97.92,8058269.0,219810.0,7860.0,1056055.0,12532.0,8472531.0,531051.0,2450.0,241.62002228477073,148.0,165.0,236.0,329.0,362.0
9,rz_frg_5m-yafo1,1,10,18862998,15793,60.62,35.96,98.04,11152399.0,247331.0,9081.0,1414612.0,11544.0,6459729.0,448763.0,2120.0,238.58984980449267,146.0,162.0,231.0,326.0,359.0
10,rz_frg_5m-yafq1,1,11,9952141,2319,65.09,31.35,98.03,6604669.0,57495.0,3625.0,699247.0,1350.0,2904764.0,131646.0,585.0,242.54646708742183,147.0,165.0,234.0,333.0,367.0
11,rz_frg_5m-higb1,1,12,16609996,8361,55.39,40.35,97.53,8355154.0,228666.0,8014.0,1591453.0,2243.0,6382330.0,730210.0,239.0,240.32118469842135,148.0,166.0,233.0,325.0,358.0
12,rz_frg_5m-ev2,1,13,18717893,12624,74.86,21.36,97.75,14725777.0,190815.0,9502.0,1123580.0,5206.0,3475019.0,303391.0,832.0,239.76764978538904,145.0,162.0,231.0,331.0,364.0
13,rz_frg_5m-mazf2,1,14,18158835,28400,52.78,42.03,96.77,8291699.0,492781.0,10756.0,1639970.0,12607.0,7310136.0,931155.0,1088.0,236.71778294529267,145.0,162.0,229.0,326.0,358.0
14,rz_frg_5m-rele2,1,15,19670186,30060,60.79,35.13,97.65,11484614.0,221148.0,6606.0,1216402.0,3652.0,6536904.0,899030.0,1306.0,232.0003474128518,142.0,159.0,224.0,316.0,349.0
15,rz_frg_5m-chpb2,1,16,17338284,3336,66.35,30.06,97.96,9952287.0,189313.0,9621.0,2535345.0,2094.0,4931224.0,535827.0,1205.0,239.21470222872193,152.0,169.0,230.0,324.0,356.0
16,rz_frg_5m-hica2,1,17,17288862,5977,48.63,47.68,97.85,7475407.0,189134.0,6347.0,1663716.0,3963.0,8040264.0,406114.0,711.0,238.24593342178196,148.0,164.0,230.0,326.0,360.0
17,rz_frg_5m-yhav2,1,18,17598676,6124,60.91,35.07,97.65,10712841.0,247186.0,9695.0,1151033.0,4986.0,5773876.0,694146.0,846.0,241.67440017250493,150.0,167.0,234.0,329.0,363.0
18,rz_frg_5m-mqsr2,1,19,17025102,12145,50.88,44.1,97.0,8300834.0,294986.0,9293.0,1096604.0,4027.0,7036872.0,800048.0,1312.0,237.9132325665745,145.0,163.0,232.0,324.0,358.0
19,rz_frg_5m-rnla2,1,20,8432258,5511,65.28,30.66,97.29,5509978.0,58563.0,2848.0,723249.0,1418.0,2350634.0,118844.0,446.0,239.06963116678517,149.0,165.0,230.0,327.0,358.0
20,rz_frg_5m-yoeb2,1,21,18404905,18087,58.31,37.82,97.74,10808469.0,159331.0,6883.0,949731.0,2232.0,6394720.0,827055.0,919.0,236.12914717859405,145.0,161.0,228.0,321.0,354.0
21,rz_frg_5m-yafo2,1,22,17277690,7630,56.79,39.26,97.68,8864821.0,137500.0,5587.0,1847801.0,855.0,6535554.0,536471.0,521.0,240.29404905150125,149.0,165.0,235.0,324.0,357.0
