

Software Version	3.02.1



Experiment File Path:	C:\Users\Public\Documents\Experiments\culviner\all_toxins_publication\190607_toxins_growth.xpt
Protocol File Path:	C:\Users\Public\Documents\Experiments\culviner\all_toxins_publication\phc_24well_growth_com4.prt



Plate Number	Plate 4
Date	6/7/2019
Time	3:51:46 PM
Reader Type:	Synergy H1
Reader Serial Number:	1902271B
Reading Type	Reader

Procedure Details

Plate Type	24 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:05:00, 145 Reads
    Shake	Double Orbital: Continuous
	Frequency: 307 cpm (5 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
0:04:46	37.0	0.170	0.165	0.160	0.168	0.161	0.153	0.164	0.160	0.160	0.157	0.124	0.114	0.166	0.173	0.169	0.170	0.166	0.161	0.152	0.154	0.156	0.150	0.121	0.116
0:09:46	37.0	0.172	0.167	0.161	0.169	0.163	0.157	0.171	0.162	0.162	0.158	0.125	0.114	0.169	0.176	0.172	0.172	0.168	0.164	0.156	0.157	0.158	0.153	0.121	0.115
0:14:46	37.0	0.175	0.168	0.163	0.170	0.165	0.159	0.176	0.163	0.164	0.160	0.125	0.114	0.172	0.178	0.174	0.174	0.171	0.166	0.160	0.159	0.159	0.155	0.121	0.115
0:19:46	37.0	0.179	0.168	0.164	0.171	0.167	0.162	0.177	0.165	0.166	0.162	0.125	0.114	0.175	0.182	0.176	0.177	0.175	0.169	0.165	0.162	0.162	0.158	0.121	0.115
0:24:46	37.0	0.181	0.169	0.166	0.173	0.168	0.164	0.179	0.166	0.168	0.164	0.126	0.114	0.179	0.185	0.178	0.180	0.178	0.172	0.167	0.164	0.164	0.161	0.122	0.115
0:29:46	36.9	0.185	0.169	0.167	0.174	0.170	0.167	0.185	0.167	0.171	0.165	0.126	0.114	0.183	0.189	0.182	0.183	0.181	0.175	0.169	0.166	0.167	0.164	0.122	0.115
0:34:46	37.0	0.189	0.170	0.168	0.174	0.172	0.169	0.187	0.169	0.174	0.167	0.126	0.114	0.187	0.193	0.185	0.187	0.185	0.179	0.173	0.169	0.170	0.167	0.121	0.115
0:39:46	37.0	0.194	0.172	0.168	0.176	0.173	0.171	0.191	0.171	0.177	0.169	0.126	0.113	0.192	0.197	0.189	0.190	0.189	0.183	0.174	0.172	0.174	0.170	0.122	0.115
0:44:46	37.0	0.200	0.174	0.170	0.177	0.175	0.174	0.190	0.172	0.179	0.171	0.127	0.114	0.197	0.202	0.194	0.194	0.193	0.187	0.178	0.175	0.178	0.174	0.122	0.114
0:49:46	37.0	0.206	0.175	0.170	0.179	0.177	0.176	0.187	0.172	0.181	0.173	0.126	0.113	0.201	0.206	0.199	0.198	0.196	0.191	0.180	0.179	0.185	0.178	0.123	0.114
0:54:46	37.0	0.212	0.177	0.170	0.179	0.179	0.177	0.191	0.174	0.183	0.176	0.128	0.113	0.207	0.212	0.204	0.203	0.199	0.195	0.184	0.183	0.190	0.182	0.123	0.114
