

Software Version	3.02.1



Experiment File Path:	C:\Users\Public\Documents\Experiments\culviner\all_toxins_publication\190607_toxins_growth2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Steph\peter_24well.prt



Plate Number	Plate 3
Date	6/8/2019
Time	3:33:10 PM
Reader Type:	Synergy H1
Reader Serial Number:	1902271B
Reading Type	Reader

Procedure Details

Plate Type	24 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:05:00, 145 Reads
    Shake	Double Orbital: Continuous
	Frequency: 307 cpm (5 mm)
    Read	OD600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD600:600

Time	T° OD600:600	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
0:04:46	37.0	0.171	0.170	0.167	0.164	0.163	0.155	0.155	0.159	0.158	0.158	0.116	0.121	0.173	0.172	0.167	0.168	0.164	0.163	0.163	0.153	0.164	0.160	0.118	0.114
0:09:46	37.0	0.174	0.171	0.172	0.164	0.165	0.158	0.157	0.161	0.161	0.161	0.116	0.121	0.176	0.174	0.168	0.170	0.167	0.166	0.166	0.155	0.167	0.162	0.118	0.114
0:14:46	37.0	0.180	0.172	0.172	0.165	0.167	0.161	0.158	0.163	0.163	0.163	0.117	0.121	0.180	0.177	0.171	0.172	0.170	0.168	0.168	0.158	0.170	0.164	0.119	0.114
0:19:46	37.0	0.184	0.173	0.175	0.166	0.168	0.164	0.160	0.165	0.165	0.165	0.118	0.121	0.183	0.180	0.173	0.175	0.172	0.171	0.170	0.161	0.172	0.167	0.119	0.114
0:24:46	36.9	0.186	0.174	0.177	0.168	0.170	0.166	0.162	0.167	0.166	0.167	0.119	0.121	0.187	0.183	0.174	0.177	0.175	0.174	0.172	0.163	0.173	0.170	0.119	0.114
0:29:46	37.0	0.190	0.175	0.179	0.171	0.171	0.169	0.164	0.169	0.169	0.170	0.119	0.121	0.191	0.187	0.178	0.181	0.178	0.179	0.175	0.167	0.174	0.173	0.119	0.114
0:34:46	37.0	0.193	0.176	0.183	0.171	0.173	0.172	0.167	0.171	0.173	0.173	0.121	0.121	0.196	0.192	0.181	0.185	0.183	0.183	0.178	0.171	0.178	0.178	0.119	0.114
0:39:46	37.0	0.199	0.177	0.187	0.173	0.173	0.175	0.169	0.173	0.175	0.176	0.122	0.121	0.202	0.197	0.186	0.189	0.186	0.187	0.180	0.175	0.182	0.182	0.119	0.114
0:44:46	37.0	0.204	0.179	0.192	0.175	0.176	0.178	0.171	0.175	0.178	0.179	0.121	0.121	0.208	0.204	0.191	0.193	0.191	0.193	0.182	0.181	0.186	0.186	0.119	0.114
0:49:46	37.0	0.207	0.181	0.197	0.177	0.177	0.181	0.174	0.177	0.182	0.183	0.121	0.121	0.215	0.211	0.196	0.199	0.196	0.197	0.185	0.186	0.192	0.191	0.119	0.114
0:54:46	37.0	0.211	0.182	0.201	0.181	0.179	0.183	0.177	0.180	0.184	0.185	0.121	0.121	0.221	0.218	0.203	0.204	0.202	0.201	0.186	0.192	0.199	0.196	0.119	0.114
0:59:46	36.9	0.213	0.184	0.204	0.181	0.179	0.185	0.178	0.182	0.189	0.187	0.121	0.120	0.226	0.224	0.208	0.209	0.209	0.205	0.190	0.198	0.207	0.202	0.120	0.114
1:04:46	37.0	0.219	0.185	0.204	0.183	0.181	0.186	0.180	0.183	0.196	0.188	0.120	0.120	0.233	0.228	0.213	0.215	0.215	0.210	0.198	0.204	0.215	0.208	0.120	0.114
1:09:46	37.0	0.226	0.188	0.207	0.185	0.182	0.188	0.181	0.185	0.203	0.190	0.120	0.120	0.237	0.233	0.219	0.221	0.221	0.215	0.208	0.209	0.221	0.214	0.120	0.114
1:14:46	37.0	0.231	0.189	0.208	0.187	0.183	0.190	0.182	0.186	0.210	0.191	0.120	0.120	0.241	0.239	0.222	0.228	0.227	0.221	0.212	0.214	0.228	0.222	0.119	0.114
1:19:46	37.0	0.238	0.189	0.207	0.189	0.184	0.191	0.183	0.188	0.215	0.192	0.120	0.120	0.245	0.245	0.226	0.237	0.233	0.227	0.218	0.217	0.235	0.229	0.119	0.114
1:24:46	37.0	0.243	0.191	0.209	0.190	0.185	0.192	0.183	0.188	0.219	0.193	0.121	0.120	0.253	0.249	0.232	0.239	0.239	0.233	0.224	0.221	0.243	0.235	0.120	0.114
1:29:46	37.0	0.254	0.192	0.210	0.192	0.186	0.193	0.184	0.190	0.223	0.193	0.121	0.120	0.261	0.253	0.241	0.243	0.245	0.240	0.232	0.224	0.252	0.243	0.120	0.114
1:34:46	37.0	0.261	0.195	0.210	0.195	0.187	0.193	0.184	0.191	0.228	0.194	0.122	0.120	0.271	0.258	0.251	0.249	0.252	0.248	0.239	0.231	0.261	0.249	0.120	0.114
1:39:46	37.0	0.267	0.193	0.208	0.198	0.188	0.195	0.185	0.192	0.234	0.195	0.121	0.120	0.282	0.265	0.261	0.259	0.260	0.256	0.247	0.241	0.271	0.256	0.120	0.114
1:44:46	37.0	0.280	0.193	0.208	0.198	0.188	0.195	0.185	0.193	0.241	0.195	0.121	0.120	0.294	0.273	0.272	0.260	0.269	0.265	0.256	0.254	0.282	0.262	0.120	0.114
1:49:46	37.0	0.291	0.204	0.206	0.198	0.189	0.197	0.185	0.195	0.249	0.197	0.119	0.119	0.306	0.283	0.280	0.268	0.277	0.275	0.264	0.269	0.294	0.270	0.119	0.114
1:54:46	37.0	0.299	0.194	0.207	0.197	0.190	0.198	0.185	0.196	0.257	0.198	0.120	0.119	0.321	0.293	0.290	0.279	0.286	0.285	0.274	0.277	0.306	0.277	0.119	0.113
1:59:46	37.0	0.310	0.194	0.209	0.198	0.190	0.199	0.186	0.197	0.266	0.200	0.119	0.119	0.336	0.304	0.298	0.290	0.296	0.295	0.285	0.284	0.318	0.286	0.120	0.114
2:04:46	37.0	0.326	0.195	0.209	0.196	0.191	0.200	0.187	0.198	0.275	0.201	0.118	0.119	0.353	0.316	0.304	0.301	0.306	0.307	0.296	0.290	0.332	0.296	0.119	0.113
