FlowCell Text Data File: 190706_sample1_258_1.csv
Software Version: 1.46A
Date: 2019-07-06
Time: 14:47:41
User: culviner

Experiment name: 070619_cold_ribosome_gradients

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 633808
Source A Zero: 55987.2
Sample B Zero: 908300.5
Source B Zero: 75739.4

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
395646, 56006, 552495, 75719, 0.00, 0.964870, 1.001477, 0.963447, , 
395484, 55973, 552297, 75734, 0.00, 0.964502, 1.002598, 0.962002, , 
395344, 55951, 552107, 75724, 0.02, 0.964422, 1.003026, 0.961513, , 
395231, 55947, 551942, 75697, 0.06, 0.964861, 1.002909, 0.962062, , 
395203, 55932, 551923, 75732, 0.10, 0.964457, 1.003911, 0.960700, , 
395191, 55943, 551901, 75727, 0.14, 0.964922, 1.003858, 0.961213, , 
395141, 55943, 551816, 75714, 0.18, 0.965180, 1.003822, 0.961505, , 
395083, 55930, 551755, 75731, 0.22, 0.965005, 1.004498, 0.960685, , 
395088, 55944, 551736, 75713, 0.26, 0.965492, 1.004088, 0.961561, , 
395109, 55952, 551768, 75721, 0.30, 0.965675, 1.004184, 0.961652, , 
394972, 55936, 551584, 75708, 0.34, 0.965800, 1.004510, 0.961463, , 
395222, 55934, 551939, 75742, 0.38, 0.964432, 1.004118, 0.960476, , 
395269, 55908, 552019, 75744, 0.42, 0.963237, 1.003879, 0.959515, , 
395378, 55946, 552134, 75726, 0.46, 0.964063, 1.002980, 0.961199, , 
395396, 55938, 552189, 75751, 0.50, 0.963678, 1.003445, 0.960369, , 
395293, 55925, 552046, 75737, 0.54, 0.963735, 1.003595, 0.960283, , 
395455, 55964, 552237, 75720, 0.58, 0.964323, 1.002445, 0.961971, , 
395457, 55977, 552236, 75722, 0.62, 0.964788, 1.002502, 0.962380, , 
395392, 55963, 552153, 75713, 0.66, 0.964613, 1.002565, 0.962145, , 
395472, 55978, 552240, 75705, 0.70, 0.964747, 1.002035, 0.962788, , 
395670, 56021, 552504, 75714, 0.74, 0.965294, 1.001311, 0.964030, , 
395483, 55990, 552259, 75706, 0.78, 0.965129, 1.001992, 0.963210, , 
395508, 55973, 552302, 75716, 0.82, 0.964378, 1.002101, 0.962356, , 
395449, 55967, 552228, 75718, 0.86, 0.964464, 1.002424, 0.962131, , 
395399, 55969, 552158, 75713, 0.90, 0.964796, 1.002547, 0.962345, , 
395381, 55977, 552126, 75711, 0.94, 0.965181, 1.002610, 0.962668, , 
395554, 56005, 552328, 75681, 0.98, 0.965309, 1.001074, 0.964274, , 
395630, 56005, 552454, 75715, 1.02, 0.964916, 1.001520, 0.963452, , 
395594, 56002, 552417, 75725, 1.06, 0.964993, 1.001921, 0.963143, , 
395574, 55998, 552391, 75733, 1.10, 0.964950, 1.002229, 0.962804, , 
395648, 56017, 552475, 75712, 1.14, 0.965262, 1.001363, 0.963947, , 
395660, 56027, 552474, 75695, 1.18, 0.965565, 1.000914, 0.964683, , 
395638, 56010, 552473, 75726, 1.22, 0.965058, 1.001743, 0.963378, , 
395630, 56020, 552446, 75711, 1.26, 0.965464, 1.001443, 0.964074, , 
395530, 55997, 552322, 75708, 1.31, 0.965141, 1.001815, 0.963393, , 
395671, 56017, 552514, 75728, 1.35, 0.965143, 1.001647, 0.963556, , 
395633, 56008, 552474, 75736, 1.38, 0.965010, 1.002006, 0.963079, , 
395706, 56043, 552538, 75721, 1.42, 0.965911, 1.001373, 0.964587, , 
395603, 56027, 552404, 75708, 1.47, 0.965860, 1.001516, 0.964398, , 
395586, 56028, 552368, 75692, 1.50, 0.965984, 1.001221, 0.964806, , 
395704, 56042, 552531, 75711, 1.55, 0.965885, 1.001132, 0.964792, , 
395975, 56094, 552882, 75725, 1.59, 0.966382, 1.000225, 0.966164, , 
395692, 56049, 552510, 75698, 1.62, 0.966203, 1.000863, 0.965370, , 
395638, 56036, 552437, 75697, 1.67, 0.966007, 1.001103, 0.964943, , 
395642, 56026, 552461, 75714, 1.71, 0.965621, 1.001468, 0.964206, , 
395501, 55999, 552276, 75708, 1.75, 0.965364, 1.001983, 0.963454, , 
395542, 56008, 552326, 75702, 1.79, 0.965481, 1.001641, 0.963900, , 
395464, 55994, 552237, 75719, 1.83, 0.965373, 1.002418, 0.963044, , 
395512, 56001, 552296, 75724, 1.87, 0.965381, 1.002336, 0.963131, , 
395526, 55991, 552325, 75732, 1.90, 0.964943, 1.002443, 0.962591, , 
395542, 56002, 552340, 75723, 1.95, 0.965262, 1.002149, 0.963192, , 
395543, 56004, 552348, 75727, 1.99, 0.965330, 1.002226, 0.963186, , 
395465, 56001, 552227, 75710, 2.03, 0.965624, 1.002215, 0.963489, , 
395420, 55980, 552174, 75705, 2.07, 0.965089, 1.002275, 0.962898, , 
395427, 55969, 552204, 75735, 2.11, 0.964651, 1.002964, 0.961800, , 
395470, 55983, 552251, 75724, 2.15, 0.964940, 1.002500, 0.962534, , 
395444, 55987, 552208, 75717, 2.19, 0.965221, 1.002471, 0.962842, , 
395412, 55977, 552173, 75729, 2.23, 0.965021, 1.002918, 0.962213, , 
395451, 55977, 552226, 75729, 2.27, 0.964819, 1.002724, 0.962198, , 
395316, 55939, 552079, 75745, 2.31, 0.964128, 1.003687, 0.960587, , 
395378, 55944, 552172, 75772, 2.35, 0.963990, 1.004066, 0.960087, , 
395391, 55956, 552169, 75751, 2.39, 0.964362, 1.003518, 0.960981, , 
395345, 55955, 552090, 75721, 2.43, 0.964563, 1.003008, 0.961671, , 
395357, 55949, 552128, 75745, 2.47, 0.964282, 1.003508, 0.960911, , 
395445, 55965, 552245, 75752, 2.51, 0.964411, 1.003267, 0.961271, , 
395397, 55963, 552176, 75741, 2.55, 0.964587, 1.003226, 0.961485, , 
395294, 55947, 552022, 75721, 2.59, 0.964535, 1.003256, 0.961404, , 
395385, 55971, 552148, 75725, 2.63, 0.964941, 1.002903, 0.962148, , 
395410, 55967, 552184, 75742, 2.67, 0.964666, 1.003224, 0.961566, , 
395370, 55961, 552126, 75723, 2.71, 0.964653, 1.002930, 0.961835, , 
395401, 55970, 552164, 75730, 2.75, 0.964822, 1.002977, 0.961958, , 
395407, 55982, 552149, 75705, 2.79, 0.965229, 1.002367, 0.962950, , 
395319, 55971, 552034, 75690, 2.83, 0.965283, 1.002387, 0.962984, , 
395350, 55973, 552080, 75699, 2.87, 0.965195, 1.002459, 0.962828, , 
395229, 55947, 551923, 75696, 2.91, 0.964871, 1.002952, 0.962031, , 
395248, 55946, 551952, 75705, 2.95, 0.964736, 1.003086, 0.961768, , 
395253, 55954, 551953, 75692, 2.99, 0.965003, 1.002736, 0.962370, , 
395274, 55954, 551988, 75701, 3.03, 0.964894, 1.002848, 0.962154, , 
395435, 55989, 552194, 75707, 3.07, 0.965340, 1.002256, 0.963168, , 
395281, 55957, 551991, 75697, 3.11, 0.964968, 1.002731, 0.962340, , 
395286, 55952, 552009, 75712, 3.15, 0.964759, 1.003064, 0.961812, , 
395387, 55977, 552132, 75710, 3.19, 0.965150, 1.002562, 0.962684, , 
395483, 55992, 552261, 75725, 3.23, 0.965202, 1.002490, 0.962804, , 
395401, 55969, 552161, 75736, 3.27, 0.964785, 1.003148, 0.961758, , 
395291, 55958, 552009, 75704, 3.31, 0.964952, 1.002851, 0.962209, , 
395394, 55972, 552139, 75719, 3.35, 0.964931, 1.002776, 0.962260, , 
395408, 55974, 552156, 75705, 3.39, 0.964932, 1.002341, 0.962678, , 
395417, 55968, 552186, 75733, 3.43, 0.964666, 1.002977, 0.961803, , 
395569, 56005, 552372, 75725, 3.47, 0.965232, 1.002085, 0.963223, , 
395476, 55979, 552271, 75735, 3.51, 0.964763, 1.002720, 0.962146, , 
395466, 55983, 552243, 75723, 3.55, 0.964961, 1.002503, 0.962552, , 
395187, 55926, 551894, 75715, 3.59, 0.964320, 1.003564, 0.960896, , 
395128, 55907, 551824, 75725, 3.63, 0.963931, 1.004086, 0.960008, , 
395172, 55916, 551878, 75724, 3.67, 0.964032, 1.003862, 0.960323, , 
395295, 55942, 552038, 75734, 3.71, 0.964347, 1.003544, 0.960941, , 
395393, 55955, 552168, 75748, 3.75, 0.964315, 1.003442, 0.961007, , 
395490, 55973, 552306, 75767, 3.79, 0.964471, 1.003444, 0.961161, , 
395413, 55960, 552197, 75755, 3.83, 0.964394, 1.003522, 0.961009, , 
395270, 55935, 552016, 75744, 3.87, 0.964220, 1.003890, 0.960483, , 
395412, 55969, 552178, 75735, 3.91, 0.964728, 1.003059, 0.961786, , 
395380, 55959, 552148, 75738, 3.95, 0.964528, 1.003249, 0.961405, , 
395199, 55937, 551888, 75698, 3.99, 0.964661, 1.003133, 0.961648, , 
395068, 55902, 551735, 75713, 4.03, 0.964058, 1.004092, 0.960130, , 
395037, 55896, 551692, 75710, 4.08, 0.963999, 1.004169, 0.959997, , 
395077, 55901, 551745, 75720, 4.12, 0.963975, 1.004241, 0.959904, , 
395193, 55926, 551899, 75720, 4.15, 0.964289, 1.003679, 0.960755, , 
395120, 55928, 551780, 75683, 4.20, 0.964741, 1.003128, 0.961732, , 
395204, 55938, 551889, 75699, 4.24, 0.964671, 1.003156, 0.961636, , 
395253, 55943, 551968, 75714, 4.28, 0.964601, 1.003267, 0.961459, , 
395336, 55950, 552094, 75742, 4.32, 0.964427, 1.003552, 0.961013, , 
395280, 55940, 552011, 75738, 4.35, 0.964351, 1.003749, 0.960749, , 
395329, 55953, 552071, 75732, 4.40, 0.964573, 1.003370, 0.961333, , 
395262, 55936, 551998, 75738, 4.44, 0.964298, 1.003796, 0.960651, , 
395257, 55934, 551990, 75739, 4.48, 0.964251, 1.003852, 0.960550, , 
395130, 55911, 551824, 75729, 4.52, 0.964067, 1.004192, 0.960042, , 
395146, 55899, 551869, 75763, 4.56, 0.963545, 1.004933, 0.958815, , 
395164, 55916, 551870, 75734, 4.60, 0.964074, 1.004157, 0.960082, , 
395185, 55926, 551893, 75725, 4.64, 0.964331, 1.003834, 0.960648, , 
395081, 55903, 551754, 75723, 4.68, 0.964028, 1.004288, 0.959911, , 
395190, 55926, 551895, 75729, 4.72, 0.964305, 1.003933, 0.960527, , 
395152, 55920, 551847, 75720, 4.76, 0.964282, 1.003869, 0.960566, , 
395055, 55897, 551725, 75727, 4.80, 0.963943, 1.004501, 0.959624, , 
395026, 55893, 551697, 75722, 4.84, 0.963946, 1.004470, 0.959657, , 
395042, 55897, 551705, 75720, 4.88, 0.964010, 1.004387, 0.959799, , 
395074, 55905, 551739, 75713, 4.92, 0.964137, 1.004077, 0.960222, , 
395100, 55899, 551796, 75744, 4.96, 0.963783, 1.004694, 0.959280, , 
395159, 55909, 551867, 75747, 5.00, 0.963843, 1.004514, 0.959512, , 
395228, 55922, 551968, 75762, 5.04, 0.963962, 1.004545, 0.959601, , 
395317, 55944, 552067, 75752, 5.08, 0.964306, 1.003917, 0.960543, , 
395351, 55952, 552108, 75754, 5.12, 0.964422, 1.003821, 0.960752, , 
395474, 55990, 552250, 75734, 5.16, 0.965175, 1.002770, 0.962509, , 
395479, 55992, 552257, 75732, 5.20, 0.965222, 1.002691, 0.962632, , 
395258, 55971, 551999, 75720, 5.24, 0.965599, 1.003314, 0.962409, , 
394593, 55974, 550954, 75694, 5.28, 0.969154, 1.006441, 0.962951, , 
395235, 56000, 551889, 75723, 5.32, 0.966777, 1.003795, 0.963122, , 
394720, 56000, 550809, 75708, 5.36, 0.969445, 1.007344, 0.962378, , 
