FlowCell Text Data File: 190706_sample6_300.csv
Software Version: 1.46A
Date: 2019-07-06
Time: 15:57:39
User: culviner

Experiment name: 070619_cold_ribosome_gradients

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 633808
Source A Zero: 55987.2
Sample B Zero: 908300.5
Source B Zero: 75739.4

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
456585, 55743, 628173, 75641, 0.00, 0.662124, 0.740654, 0.893972, , 
452969, 55758, 626060, 75584, 0.10, 0.678943, 0.745925, 0.910202, , 
453923, 55750, 628662, 75588, 0.13, 0.674345, 0.737672, 0.914152, , 
454311, 55769, 629372, 75589, 0.17, 0.673294, 0.735424, 0.915518, , 
454207, 55764, 628874, 75592, 0.21, 0.673579, 0.737099, 0.913824, , 
454349, 55747, 627983, 75609, 0.25, 0.672315, 0.740410, 0.908031, , 
450657, 55750, 621861, 75580, 0.29, 0.689120, 0.759383, 0.907473, , 
433860, 55755, 606773, 75584, 0.34, 0.767024, 0.808997, 0.948118, , 
415628, 55756, 591450, 75607, 0.37, 0.854903, 0.861164, 0.992729, , 
407697, 55763, 578140, 75586, 0.42, 0.894581, 0.906482, 0.986871, , 
409335, 55791, 570704, 75583, 0.46, 0.887404, 0.932495, 0.951645, , 
409100, 55763, 570821, 75593, 0.49, 0.887552, 0.932348, 0.951953, , 
408117, 55741, 570754, 75605, 0.53, 0.891667, 0.932905, 0.955796, , 
410140, 55740, 573232, 75580, 0.58, 0.881513, 0.923506, 0.954528, , 
411505, 55757, 573662, 75610, 0.62, 0.875338, 0.922794, 0.948573, , 
361149, 55730, 407333, 75593, 0.66, 1.141427, 1.612503, 0.707860, , 
152923, 55737, 296521, 75602, 0.70, 2.900020, 2.252724, 1.287339, , 
508105, 55749, 689270, 75580, 0.74, 0.443588, 0.551944, 0.803683, , 
451289, 55769, 594871, 75584, 0.78, 0.686950, 0.848926, 0.809198, , 
414555, 55773, 557705, 75582, 0.82, 0.860816, 0.978909, 0.879363, , 
399548, 55762, 539378, 75572, 0.86, 0.935856, 1.045990, 0.894708, , 
384485, 55769, 544625, 75611, 0.90, 1.014743, 1.027517, 0.987567, , 
386168, 55734, 525373, 75630, 0.94, 1.004521, 1.100563, 0.912734, , 
387810, 55717, 507216, 75576, 0.98, 0.995216, 1.170016, 0.850600, , 
387701, 55724, 505556, 75601, 1.02, 0.996048, 1.177290, 0.846051, , 
387382, 55733, 506268, 75587, 1.06, 0.998062, 1.174080, 0.850081, , 
387008, 55740, 506373, 75605, 1.10, 1.000296, 1.174142, 0.851938, , 
386414, 55723, 506277, 75579, 1.14, 1.002815, 1.173831, 0.854309, , 
386270, 55740, 506413, 75588, 1.18, 1.004201, 1.173529, 0.855710, , 
