id,a260
ev_181017_setA_mat1_s1,0.561
mazf_181017_setA_mat1_s2,0.246
chpb_181017_setA_mat1_s3,0.563
rnla_181017_setA_mat1_s4,0.105
rele_181017_setA_mat1_s5,0.344
yoeb_181017_setA_mat1_s6,0.417
ev_181019_setB_mat1_s1,0.708
yafo_181019_setB_mat1_s2,1.296
mqsr_181019_setB_mat1_s3,0.699
higb_181019_setB_mat1_s4,0.904
hica_181019_setB_mat1_s5,1.367
yhav_181019_setB_mat1_s6,1.348
ev_181025_setA_mat2_s1,0.369
mazf_181025_setA_mat2_s2,0.267
chpb_181025_setA_mat2_s3,0.547
rnla_181025_setA_mat2_s4,
rele_181025_setA_mat2_s5,0.411
yoeb_181025_setA_mat2_s6,0.429
ev_181025_setB_mat2_s1,0.415
yafo_181025_setB_mat2_s2,1.121
mqsr_181025_setB_mat2_s3,1.075
higb_181025_setB_mat2_s4,1.076
hica_181025_setB_mat2_s5,1.312
yhav_181025_setB_mat2_s6,1.535
ev_181103_setA_deg1_s1,1.138
mazf_181103_setA_deg1_s2,0.323
chpb_181103_setA_deg1_s3,0.493
rnla_181103_setA_deg1_s4,0.358
rele_181103_setA_deg1_s5,0.45
yoeb_181103_setA_deg1_s6,0.405
ev_181104_setB_deg1_s1,1.067
yafo_181104_setB_deg1_s2,1.947
mqsr_181104_setB_deg1_s3,0.556
higb_181104_setB_deg1_s4,1.62
hica_181104_setB_deg1_s5,1.487
yhav_181104_setB_deg1_s6,1.889
ev_181107_setA_deg2_s1,0.672
mazf_181107_setA_deg2_s2,0.119
chpb_181107_setA_deg2_s3,0.399
rnla_181107_setA_deg2_s4,
rele_181107_setA_deg2_s5,0.186
yoeb_181107_setA_deg2_s6,0.263
ev_181108_setB_deg2_s1,0.542
yafo_181108_setB_deg2_s2,1.593
mqsr_181108_setB_deg2_s3,0.593
higb_181108_setB_deg2_s4,0.526
hica_181108_setB_deg2_s5,0.688
yhav_181108_setB_deg2_s6,1.23
