FlowCell Text Data File: 181017_setA_mat1_s3.csv
Software Version: 1.46A
Date: 2018-10-17
Time: 13:04:40
User: culviner

Experiment name: 181017_setA_maturation_1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 691917
Source A Zero: 58376.9
Sample B Zero: 989106.6
Source B Zero: 75361.9

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
550435, 58229, 752871, 75255, 0.00, 0.462872, 0.547214, 0.845870, , 
550390, 58226, 752824, 75255, 0.03, 0.462934, 0.547340, 0.845789, , 
550445, 58241, 752891, 75250, 0.07, 0.463256, 0.547026, 0.846863, , 
550458, 58239, 752911, 75251, 0.11, 0.463138, 0.546999, 0.846687, , 
550456, 58241, 752887, 75244, 0.15, 0.463215, 0.546876, 0.847020, , 
550512, 58261, 752957, 75229, 0.18, 0.463710, 0.546287, 0.848839, , 
550443, 58234, 752895, 75259, 0.22, 0.463018, 0.547257, 0.846070, , 
550565, 58255, 753058, 75260, 0.27, 0.463302, 0.546847, 0.847224, , 
550687, 58266, 753219, 75280, 0.31, 0.463235, 0.546952, 0.846939, , 
550596, 58270, 753079, 75242, 0.35, 0.463713, 0.546309, 0.848812, , 
550563, 58256, 753045, 75256, 0.39, 0.463344, 0.546775, 0.847414, , 
550547, 58262, 753015, 75241, 0.43, 0.463615, 0.546453, 0.848407, , 
550461, 58241, 752915, 75250, 0.47, 0.463197, 0.546962, 0.846853, , 
550583, 58260, 753077, 75254, 0.51, 0.463411, 0.546635, 0.847751, , 
550630, 58273, 753134, 75245, 0.55, 0.463692, 0.546242, 0.848878, , 
550554, 58264, 753030, 75235, 0.59, 0.463659, 0.546252, 0.848800, , 
550590, 58271, 753070, 75234, 0.63, 0.463771, 0.546118, 0.849213, , 
550643, 58278, 753137, 75239, 0.67, 0.463820, 0.546073, 0.849373, , 
550505, 58251, 752971, 75244, 0.71, 0.463384, 0.546651, 0.847678, , 
550364, 58230, 752795, 75244, 0.75, 0.463171, 0.547123, 0.846558, , 
550238, 58202, 752637, 75256, 0.79, 0.462655, 0.547867, 0.844466, , 
550025, 58172, 752360, 75238, 0.83, 0.462392, 0.548127, 0.843586, , 
550075, 58181, 752429, 75241, 0.87, 0.462523, 0.548022, 0.843986, , 
550345, 58211, 752784, 75273, 0.91, 0.462574, 0.547929, 0.844222, , 
550203, 58200, 752593, 75248, 0.95, 0.462715, 0.547771, 0.844724, , 
550115, 58186, 752473, 75244, 0.99, 0.462550, 0.547985, 0.844093, , 
550346, 58218, 752789, 75266, 1.03, 0.462816, 0.547728, 0.844974, , 
550287, 58201, 752726, 75275, 1.07, 0.462438, 0.548138, 0.843653, , 
550255, 58195, 752682, 75281, 1.11, 0.462346, 0.548416, 0.843057, , 
550258, 58191, 752703, 75291, 1.15, 0.462194, 0.548627, 0.842455, , 
550306, 58205, 752754, 75278, 1.19, 0.462508, 0.548143, 0.843772, , 
550212, 58188, 752621, 75275, 1.23, 0.462260, 0.548419, 0.842895, , 
550256, 58191, 752691, 75291, 1.27, 0.462201, 0.548660, 0.842419, , 
550521, 58239, 753023, 75281, 1.31, 0.462903, 0.547503, 0.845481, , 
550418, 58230, 752878, 75262, 1.35, 0.462970, 0.547382, 0.845789, , 
550357, 58217, 752804, 75269, 1.39, 0.462740, 0.547768, 0.844774, , 
550190, 58199, 752593, 75252, 1.43, 0.462728, 0.547878, 0.844583, , 
550328, 58217, 752760, 75263, 1.47, 0.462848, 0.547725, 0.845036, , 
550439, 58243, 752903, 75246, 1.51, 0.463349, 0.546887, 0.847248, , 
550302, 58205, 752754, 75280, 1.55, 0.462523, 0.548196, 0.843717, , 
550232, 58209, 752636, 75240, 1.59, 0.462923, 0.547441, 0.845613, , 
550215, 58202, 752618, 75249, 1.63, 0.462741, 0.547730, 0.844833, , 
550408, 58227, 752873, 75267, 1.67, 0.462902, 0.547530, 0.845437, , 
550326, 58220, 752756, 75254, 1.71, 0.462961, 0.547495, 0.845598, , 
550261, 58207, 752681, 75259, 1.75, 0.462745, 0.547830, 0.844689, , 
550329, 58214, 752764, 75267, 1.79, 0.462739, 0.547822, 0.844689, , 
550254, 58214, 752656, 75244, 1.83, 0.463017, 0.547495, 0.845702, , 
550240, 58220, 752623, 75223, 1.87, 0.463280, 0.547020, 0.846916, , 
550236, 58217, 752620, 75228, 1.91, 0.463190, 0.547162, 0.846531, , 
550400, 58244, 752838, 75230, 1.95, 0.463529, 0.546632, 0.847972, , 
550515, 58254, 752993, 75252, 1.99, 0.463453, 0.546807, 0.847562, , 
550484, 58245, 752961, 75261, 2.03, 0.463252, 0.547133, 0.846689, , 
550586, 58270, 753077, 75242, 2.07, 0.463751, 0.546314, 0.848872, , 
550453, 58246, 752914, 75243, 2.11, 0.463402, 0.546777, 0.847515, , 
550283, 58221, 752700, 75238, 2.15, 0.463156, 0.547216, 0.846385, , 
550415, 58235, 752865, 75255, 2.19, 0.463157, 0.547230, 0.846366, , 
550428, 58237, 752893, 75261, 2.23, 0.463179, 0.547315, 0.846274, , 
550200, 58210, 752587, 75237, 2.28, 0.463078, 0.547492, 0.845816, , 
550307, 58229, 752714, 75227, 2.32, 0.463348, 0.546884, 0.847250, , 
550231, 58214, 752626, 75237, 2.36, 0.463103, 0.547388, 0.846024, , 
550277, 58211, 752708, 75264, 2.40, 0.462826, 0.547891, 0.844742, , 
550301, 58215, 752729, 75258, 2.43, 0.462878, 0.547674, 0.845170, , 
550481, 58235, 752972, 75278, 2.48, 0.462911, 0.547559, 0.845409, , 
550313, 58217, 752752, 75256, 2.51, 0.462903, 0.547559, 0.845395, , 
550358, 58232, 752793, 75240, 2.56, 0.463263, 0.547021, 0.846884, , 
550497, 58255, 752974, 75243, 2.60, 0.463555, 0.546617, 0.848044, , 
550373, 58237, 752803, 75239, 2.63, 0.463383, 0.546967, 0.847187, , 
550434, 58242, 752888, 75250, 2.67, 0.463332, 0.547034, 0.846989, , 
550333, 58233, 752749, 75234, 2.72, 0.463391, 0.546978, 0.847185, , 
550194, 58204, 752588, 75246, 2.76, 0.462889, 0.547730, 0.845104, , 
550394, 58231, 752854, 75262, 2.80, 0.463094, 0.547447, 0.845917, , 
550753, 58301, 753287, 75239, 2.84, 0.464218, 0.545672, 0.850728, , 
550553, 58276, 753022, 75220, 2.88, 0.464084, 0.545872, 0.850170, , 
550598, 58272, 753094, 75246, 2.92, 0.463776, 0.546376, 0.848823, , 
550620, 58279, 753120, 75238, 2.96, 0.463940, 0.546092, 0.849565, , 
550667, 58278, 753192, 75251, 3.00, 0.463731, 0.546247, 0.848939, , 
550436, 58262, 752873, 75212, 3.04, 0.464027, 0.546056, 0.849779, , 
550620, 58281, 753115, 75234, 3.08, 0.464010, 0.545998, 0.849839, , 
550686, 58293, 753202, 75231, 3.12, 0.464186, 0.545685, 0.850649, , 
550414, 58244, 752861, 75239, 3.16, 0.463477, 0.546812, 0.847598, , 
550405, 58240, 752871, 75249, 3.20, 0.463370, 0.547053, 0.847029, , 
550357, 58230, 752802, 75249, 3.24, 0.463197, 0.547238, 0.846427, , 
550271, 58216, 752688, 75249, 3.28, 0.463025, 0.547543, 0.845641, , 
550331, 58223, 752770, 75255, 3.32, 0.463047, 0.547484, 0.845773, , 
550398, 58227, 752869, 75273, 3.36, 0.462939, 0.547701, 0.845240, , 
550553, 58263, 753055, 75256, 3.40, 0.463627, 0.546748, 0.847973, , 
550528, 58265, 753009, 75234, 3.44, 0.463791, 0.546282, 0.848995, , 
550415, 58247, 752866, 75236, 3.48, 0.463578, 0.546718, 0.847929, , 
550443, 58249, 752903, 75243, 3.52, 0.463545, 0.546807, 0.847730, , 
550609, 58282, 753105, 75228, 3.56, 0.464086, 0.545864, 0.850187, , 
550440, 58248, 752897, 75241, 3.60, 0.463521, 0.546769, 0.847745, , 
550277, 58216, 752697, 75247, 3.64, 0.463002, 0.547465, 0.845720, , 
550361, 58238, 752792, 75232, 3.68, 0.463463, 0.546809, 0.847577, , 
550375, 58236, 752822, 75246, 3.72, 0.463341, 0.547104, 0.846897, , 
550396, 58240, 752839, 75243, 3.76, 0.463403, 0.546978, 0.847206, , 
550405, 58235, 752871, 75257, 3.80, 0.463194, 0.547267, 0.846376, , 
550348, 58225, 752796, 75257, 3.84, 0.463055, 0.547468, 0.845811, , 
550342, 58233, 752775, 75240, 3.88, 0.463358, 0.547069, 0.846983, , 
550272, 58223, 752685, 75233, 3.92, 0.463267, 0.547122, 0.846733, , 
550307, 58218, 752753, 75262, 3.96, 0.462961, 0.547717, 0.845256, , 
550245, 58210, 752662, 75254, 4.00, 0.462910, 0.547747, 0.845118, , 
550178, 58205, 752575, 75244, 4.04, 0.462984, 0.547712, 0.845306, , 
550279, 58225, 752691, 75235, 4.08, 0.463311, 0.547160, 0.846756, , 
550322, 58218, 752774, 75266, 4.12, 0.462905, 0.547768, 0.845075, , 
550196, 58204, 752597, 75252, 4.16, 0.462882, 0.547867, 0.844879, , 
550288, 58209, 752735, 75274, 4.20, 0.462715, 0.548087, 0.844237, , 
550245, 58211, 752669, 75253, 4.24, 0.462945, 0.547701, 0.845252, , 
550442, 58229, 752946, 75287, 4.28, 0.462846, 0.547870, 0.844810, , 
550307, 58203, 752760, 75289, 4.32, 0.462434, 0.548421, 0.843209, , 
550177, 58194, 752585, 75266, 4.36, 0.462601, 0.548274, 0.843740, , 
