FlowCell Text Data File: 181025_setA_mat2_s3.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 10:51:36
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 674892
Source A Zero: 57784.6
Sample B Zero: 964964.6
Source B Zero: 75220.1

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
531723, 57784, 731842, 75252, 0.00, 0.487833, 0.558223, 0.873904, 0, 0.209
531723, 57784, 731842, 75252, 0.00, 0.487833, 0.558223, 0.873904, 0, 0.209
531799, 57789, 731951, 75250, 0.00, 0.487718, 0.557869, 0.874252, , 
531844, 57784, 732027, 75256, 0.00, 0.487368, 0.557821, 0.873700, , 
531938, 57794, 732155, 75249, 0.00, 0.487360, 0.557281, 0.874533, , 
531935, 57790, 732188, 75254, 0.02, 0.487230, 0.557324, 0.874232, , 
531851, 57787, 732259, 75252, 0.06, 0.487447, 0.557075, 0.875012, , 
531350, 57795, 730152, 75249, 0.10, 0.489659, 0.562802, 0.870037, , 
382894, 57802, 442039, 75247, 0.14, 1.160340, 1.574290, 0.737056, , 
437841, 57802, 670228, 75277, 0.18, 0.885962, 0.736158, 1.203494, , 
518191, 57814, 712459, 75264, 0.22, 0.541642, 0.612648, 0.884100, , 
518300, 57801, 712879, 75265, 0.26, 0.540751, 0.611487, 0.884322, , 
518383, 57792, 712900, 75252, 0.30, 0.540105, 0.611079, 0.883854, , 
518683, 57772, 713070, 75254, 0.34, 0.538213, 0.610652, 0.881374, , 
519214, 57784, 713308, 75238, 0.38, 0.536544, 0.609551, 0.880229, , 
519206, 57774, 713546, 75238, 0.42, 0.536222, 0.608878, 0.880671, , 
519411, 57789, 713948, 75247, 0.46, 0.535945, 0.607984, 0.881511, , 
519362, 57772, 714001, 75229, 0.50, 0.535536, 0.607353, 0.881755, , 
519586, 57788, 714414, 75251, 0.54, 0.535220, 0.606776, 0.882072, , 
519743, 57801, 714677, 75250, 0.58, 0.535063, 0.606008, 0.882930, , 
519760, 57802, 714765, 75223, 0.62, 0.535031, 0.605036, 0.884296, , 
