FlowCell Text Data File: 181107_setA_ribodeg_s3.csv
Software Version: 1.46A
Date: 2018-11-07
Time: 16:18:36
User: culviner

Experiment name: 181107_setA_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 675380
Source A Zero: 56977.1
Sample B Zero: 964872.0
Source B Zero: 75020.4

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
484408, 56718, 662704, 74914, 0.00, 0.670694, 0.754335, 0.889119, , 
485094, 56689, 665511, 74873, 0.09, 0.666752, 0.744712, 0.895315, , 
477737, 56709, 599338, 74872, 0.13, 0.698743, 0.955778, 0.731072, , 
268974, 56703, 371752, 74856, 0.18, 1.873905, 1.917998, 0.977011, , 
445785, 56727, 595568, 74872, 0.22, 0.841031, 0.968497, 0.868388, , 
450462, 56702, 603550, 74867, 0.26, 0.818774, 0.941528, 0.869623, , 
451262, 56703, 605079, 74874, 0.30, 0.815179, 0.936617, 0.870345, , 
451614, 56682, 605690, 74870, 0.34, 0.812826, 0.934475, 0.869822, , 
451874, 56656, 605997, 74864, 0.38, 0.810710, 0.933292, 0.868656, , 
452094, 56655, 606378, 74865, 0.42, 0.809678, 0.932052, 0.868705, , 
452475, 56679, 607034, 74876, 0.46, 0.808821, 0.930169, 0.869542, , 
452638, 56671, 607257, 74888, 0.50, 0.807795, 0.929751, 0.868829, , 
452726, 56647, 607466, 74920, 0.54, 0.806530, 0.929919, 0.867313, , 
452597, 56619, 607340, 74872, 0.58, 0.806102, 0.929045, 0.867667, , 
452723, 56616, 607529, 74885, 0.62, 0.805424, 0.928768, 0.867196, , 
452920, 56632, 607811, 74893, 0.66, 0.805112, 0.928048, 0.867533, , 
453026, 56639, 607957, 74885, 0.70, 0.804886, 0.927348, 0.867944, , 
453146, 56654, 608088, 74861, 0.74, 0.804886, 0.926268, 0.868956, , 
453362, 56668, 608388, 74889, 0.78, 0.804416, 0.926028, 0.868674, , 
