FlowCell Text Data File: 181017_setA_mat1_s1.csv
Software Version: 1.46A
Date: 2018-10-17
Time: 12:20:59
User: culviner

Experiment name: 181017_setA_maturation_1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 691917
Source A Zero: 58376.9
Sample B Zero: 989106.6
Source B Zero: 75361.9

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
551120, 58269, 762000, 75331, 0.00, 0.461732, 0.524955, 0.879565, , 
550971, 58273, 761775, 75282, 0.10, 0.462426, 0.524239, 0.882090, , 
550936, 58259, 761741, 75294, 0.14, 0.462064, 0.524650, 0.880709, , 
550693, 58222, 761418, 75284, 0.18, 0.461667, 0.525237, 0.878969, , 
550868, 58240, 761655, 75305, 0.22, 0.461649, 0.525172, 0.879044, , 
550728, 58220, 761473, 75301, 0.26, 0.461467, 0.525546, 0.878070, , 
550946, 58258, 761753, 75296, 0.30, 0.461992, 0.524672, 0.880535, , 
550849, 58242, 761639, 75302, 0.34, 0.461790, 0.525134, 0.879376, , 
550803, 58222, 761593, 75325, 0.38, 0.461258, 0.525871, 0.877132, , 
550695, 58214, 761433, 75301, 0.42, 0.461378, 0.525652, 0.877725, , 
550684, 58208, 761423, 75316, 0.46, 0.461208, 0.526080, 0.876688, , 
550568, 58201, 761261, 75290, 0.50, 0.461393, 0.525813, 0.877485, , 
550706, 58220, 761449, 75298, 0.54, 0.461548, 0.525530, 0.878253, , 
550532, 58200, 761207, 75277, 0.58, 0.461492, 0.525608, 0.878015, , 
550485, 58197, 761150, 75269, 0.62, 0.461561, 0.525545, 0.878252, , 
550663, 58219, 761387, 75285, 0.66, 0.461673, 0.525346, 0.878798, , 
550716, 58235, 761443, 75274, 0.70, 0.462038, 0.524903, 0.880235, , 
550774, 58220, 761557, 75326, 0.74, 0.461296, 0.525993, 0.876999, , 
550601, 58202, 761312, 75302, 0.78, 0.461306, 0.525999, 0.877008, , 
550899, 58246, 761719, 75315, 0.82, 0.461745, 0.525270, 0.879062, , 
550758, 58234, 761510, 75289, 0.86, 0.461847, 0.525127, 0.879495, , 
550789, 58235, 761560, 75298, 0.90, 0.461767, 0.525236, 0.879161, , 
550870, 58257, 761657, 75282, 0.94, 0.462239, 0.524551, 0.881209, , 
550931, 58272, 761737, 75278, 0.98, 0.462539, 0.524232, 0.882318, , 
550874, 58249, 761673, 75300, 1.02, 0.461943, 0.524990, 0.879908, , 
550943, 58248, 761780, 75328, 1.06, 0.461652, 0.525457, 0.878573, , 
550878, 58239, 761682, 75318, 1.10, 0.461577, 0.525448, 0.878444, , 
550880, 58247, 761689, 75316, 1.14, 0.461851, 0.525376, 0.879085, , 
550721, 58222, 761479, 75302, 1.18, 0.461563, 0.525557, 0.878235, , 
550697, 58229, 761441, 75285, 1.22, 0.461898, 0.525203, 0.879466, , 
550686, 58223, 761425, 75295, 1.26, 0.461728, 0.525513, 0.878624, , 
550739, 58227, 761501, 75305, 1.30, 0.461672, 0.525579, 0.878405, , 
550732, 58232, 761481, 75288, 1.34, 0.461873, 0.525177, 0.879462, , 
550685, 58222, 761433, 75296, 1.38, 0.461697, 0.525518, 0.878554, , 
550718, 58216, 761478, 75315, 1.42, 0.461363, 0.525908, 0.877270, , 
550922, 58263, 761735, 75291, 1.46, 0.462257, 0.524585, 0.881185, , 
550901, 58269, 761693, 75272, 1.50, 0.462545, 0.524188, 0.882404, , 
550982, 58273, 761811, 75295, 1.54, 0.462385, 0.524491, 0.881587, , 
550938, 58263, 761762, 75302, 1.58, 0.462197, 0.524808, 0.880697, , 
551264, 58329, 762165, 75272, 1.62, 0.463303, 0.522939, 0.885960, , 
551182, 58311, 762065, 75283, 1.66, 0.462976, 0.523498, 0.884389, , 
551217, 58325, 762113, 75269, 1.70, 0.463337, 0.522996, 0.885929, , 
551396, 58341, 762359, 75301, 1.74, 0.463234, 0.523203, 0.885382, , 
551491, 58355, 762491, 75306, 1.78, 0.463373, 0.522987, 0.886011, , 
551611, 58372, 762638, 75308, 1.82, 0.463524, 0.522652, 0.886868, , 
551498, 58358, 762502, 75305, 1.86, 0.463452, 0.522932, 0.886257, , 
551659, 58371, 762727, 75331, 1.90, 0.463310, 0.523033, 0.885815, , 
551294, 58333, 762220, 75274, 1.94, 0.463332, 0.522847, 0.886171, , 
551129, 58298, 762013, 75293, 1.99, 0.462717, 0.523903, 0.883210, , 
551199, 58305, 762109, 75307, 2.03, 0.462702, 0.524024, 0.882979, , 
551219, 58315, 762123, 75286, 2.06, 0.462979, 0.523425, 0.884518, , 
551172, 58310, 762056, 75284, 2.11, 0.462978, 0.523549, 0.884308, , 
551129, 58306, 761999, 75281, 2.15, 0.462997, 0.523619, 0.884225, , 
551276, 58321, 762206, 75297, 2.18, 0.462978, 0.523500, 0.884390, , 
551113, 58297, 761987, 75292, 2.23, 0.462741, 0.523945, 0.883185, , 
550875, 58264, 761670, 75274, 2.26, 0.462466, 0.524302, 0.882060, , 
550943, 58265, 761780, 75297, 2.31, 0.462249, 0.524627, 0.881100, , 
550859, 58259, 761648, 75279, 2.34, 0.462350, 0.524494, 0.881516, , 
550734, 58235, 761487, 75287, 2.38, 0.461971, 0.525135, 0.879720, , 
550742, 58233, 761499, 75288, 2.43, 0.461871, 0.525130, 0.879538, , 
550628, 58225, 761354, 75271, 2.47, 0.462014, 0.525058, 0.879929, , 
550691, 58222, 761446, 75300, 2.51, 0.461674, 0.525591, 0.878391, , 
550657, 58228, 761386, 75273, 2.55, 0.462011, 0.525027, 0.879976, , 
550647, 58238, 761365, 75251, 2.58, 0.462400, 0.524494, 0.881612, , 
550740, 58233, 761501, 75292, 2.63, 0.461879, 0.525231, 0.879381, , 
550754, 58239, 761515, 75286, 2.67, 0.462038, 0.525034, 0.880015, , 
550638, 58230, 761358, 75262, 2.71, 0.462152, 0.524807, 0.880614, , 
550728, 58228, 761482, 75293, 2.75, 0.461748, 0.525308, 0.879003, , 
550819, 58248, 761606, 75287, 2.79, 0.462112, 0.524820, 0.880516, , 
550846, 58262, 761629, 75274, 2.83, 0.462504, 0.524411, 0.881949, , 
550878, 58266, 761669, 75273, 2.87, 0.462525, 0.524278, 0.882214, , 
550690, 58249, 761402, 75237, 2.91, 0.462627, 0.524021, 0.882841, , 
550936, 58278, 761746, 75264, 2.95, 0.462731, 0.523833, 0.883356, , 
551084, 58300, 761941, 75278, 2.99, 0.462954, 0.523692, 0.884019, , 
551015, 58292, 761855, 75270, 3.03, 0.462929, 0.523706, 0.883950, , 
550929, 58273, 761738, 75275, 3.07, 0.462582, 0.524149, 0.882538, , 
550865, 58265, 761649, 75270, 3.11, 0.462538, 0.524251, 0.882285, , 
551003, 58283, 761849, 75285, 3.15, 0.462658, 0.524123, 0.882728, , 
550962, 58282, 761780, 75270, 3.19, 0.462775, 0.523904, 0.883320, , 
551051, 58293, 761908, 75278, 3.23, 0.462831, 0.523780, 0.883637, , 
550998, 58281, 761840, 75288, 3.27, 0.462606, 0.524227, 0.882454, , 
550851, 58260, 761642, 75278, 3.31, 0.462415, 0.524483, 0.881658, , 
550904, 58265, 761717, 75284, 3.35, 0.462394, 0.524446, 0.881681, , 
550816, 58248, 761599, 75290, 3.39, 0.462123, 0.524918, 0.880372, , 
550657, 58229, 761385, 75269, 3.43, 0.462047, 0.524923, 0.880218, , 
550742, 58225, 761517, 75308, 3.47, 0.461590, 0.525617, 0.878187, , 
550667, 58231, 761398, 75275, 3.51, 0.462080, 0.525049, 0.880070, , 
550867, 58260, 761665, 75280, 3.55, 0.462355, 0.524476, 0.881557, , 
550771, 58242, 761542, 75285, 3.59, 0.462080, 0.524935, 0.880260, , 
550780, 58244, 761553, 75283, 3.63, 0.462117, 0.524853, 0.880469, , 
550652, 58219, 761386, 75290, 3.67, 0.461714, 0.525482, 0.878648, , 
550673, 58229, 761416, 75279, 3.71, 0.461987, 0.525108, 0.879794, , 
550777, 58239, 761560, 75296, 3.75, 0.461952, 0.525182, 0.879603, , 
550840, 58247, 761646, 75300, 3.79, 0.461999, 0.525062, 0.879895, , 
550923, 58257, 761757, 75308, 3.83, 0.462042, 0.524982, 0.880110, , 
550756, 58234, 761530, 75294, 3.87, 0.461854, 0.525208, 0.879374, , 
550830, 58255, 761612, 75276, 3.91, 0.462317, 0.524509, 0.881428, , 
550763, 58238, 761531, 75289, 3.95, 0.461969, 0.525072, 0.879821, , 
550803, 58243, 761578, 75292, 3.99, 0.461996, 0.525028, 0.879946, , 
550952, 58269, 761784, 75296, 4.03, 0.462356, 0.524590, 0.881367, , 
550870, 58269, 761664, 75267, 4.07, 0.462660, 0.524131, 0.882720, , 
550806, 58248, 761586, 75282, 4.11, 0.462161, 0.524739, 0.880744, , 
550738, 58225, 761514, 75309, 4.15, 0.461605, 0.525652, 0.878157, , 
551022, 58279, 761877, 75298, 4.19, 0.462447, 0.524397, 0.881864, , 
550705, 58239, 761453, 75273, 4.23, 0.462220, 0.524850, 0.880670, , 
550673, 58222, 761417, 75293, 4.27, 0.461741, 0.525481, 0.878703, , 
550833, 58239, 761639, 75313, 4.31, 0.461744, 0.525428, 0.878796, , 
