FlowCell Text Data File: 181019_setB_mat1_s1.csv
Software Version: 1.46A
Date: 2018-10-19
Time: 11:49:55
User: culviner

Experiment name: 181019_setB_mat1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695947
Source A Zero: 58063.5
Sample B Zero: 991880.7
Source B Zero: 75085.6

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
548147, 57979, 754747, 75084, 0.00, 0.485487, 0.550661, 0.881644, , 
548151, 57983, 754757, 75082, 0.00, 0.485614, 0.550581, 0.882002, , 
548078, 57965, 754678, 75096, 0.02, 0.485251, 0.551168, 0.880405, , 
548253, 57999, 754874, 75080, 0.06, 0.485798, 0.550215, 0.882923, , 
548196, 57988, 754817, 75089, 0.10, 0.485622, 0.550609, 0.881973, , 
548121, 57992, 754666, 75074, 0.14, 0.486043, 0.550609, 0.882737, , 
548154, 57976, 754663, 75114, 0.18, 0.485355, 0.551691, 0.879760, , 
548300, 58013, 754826, 75093, 0.22, 0.486116, 0.550692, 0.882737, , 
548287, 58007, 754821, 75102, 0.26, 0.485953, 0.550947, 0.882032, , 
548425, 58021, 754997, 75118, 0.30, 0.485932, 0.550906, 0.882059, , 
548295, 58011, 754821, 75100, 0.34, 0.486064, 0.550893, 0.882320, , 
548236, 58001, 754741, 75098, 0.38, 0.485932, 0.551053, 0.881823, , 
548121, 57985, 754593, 75087, 0.42, 0.485796, 0.551153, 0.881418, , 
548218, 57998, 754723, 75094, 0.46, 0.485893, 0.550994, 0.881848, , 
548259, 58005, 754775, 75096, 0.50, 0.485987, 0.550909, 0.882155, , 
548161, 58005, 754647, 75071, 0.54, 0.486353, 0.550579, 0.883347, , 
548062, 58026, 754247, 75068, 0.58, 0.487463, 0.551567, 0.883777, , 
547840, 57997, 753669, 75115, 0.62, 0.487269, 0.554374, 0.878953, , 
546005, 58003, 717986, 75069, 0.66, 0.494346, 0.650903, 0.759477, , 
545438, 58010, 740161, 75085, 0.70, 0.496718, 0.590022, 0.841864, , 
545596, 58039, 741198, 75079, 0.74, 0.497148, 0.587039, 0.846874, , 
547087, 58034, 748076, 75087, 0.78, 0.491388, 0.568636, 0.864152, , 
547618, 57995, 750929, 75077, 0.82, 0.488028, 0.560695, 0.870397, , 
547630, 57986, 751177, 75100, 0.86, 0.487665, 0.560647, 0.869825, , 
547666, 58000, 751341, 75069, 0.91, 0.488025, 0.559375, 0.872446, , 
547506, 57976, 751242, 75064, 0.95, 0.487776, 0.559506, 0.871796, , 
547362, 57936, 751157, 75100, 0.99, 0.486902, 0.560701, 0.868380, , 
547271, 57930, 751104, 75080, 1.03, 0.487030, 0.560306, 0.869221, , 
547228, 57921, 751132, 75075, 1.06, 0.486873, 0.560097, 0.869265, , 
547660, 57935, 752859, 75098, 1.11, 0.485753, 0.556085, 0.873522, , 
547253, 57918, 752115, 75069, 1.15, 0.486673, 0.557300, 0.873270, , 
495232, 57948, 587365, 75074, 1.19, 0.692108, 1.055778, 0.655543, , 
223251, 57952, 387059, 75058, 1.23, 2.322445, 1.895996, 1.224921, , 
542875, 57940, 747254, 75038, 1.27, 0.503885, 0.569537, 0.884728, , 
545030, 57924, 749269, 75081, 1.31, 0.495214, 0.565263, 0.876076, , 
544956, 57906, 749147, 75073, 1.35, 0.494856, 0.565377, 0.875267, , 
545027, 57908, 749309, 75079, 1.39, 0.494660, 0.565102, 0.875346, , 
545186, 57925, 749570, 75075, 1.42, 0.494664, 0.564293, 0.876608, , 
545307, 57944, 749784, 75053, 1.47, 0.494881, 0.563127, 0.878809, , 
545543, 57953, 750152, 75091, 1.51, 0.494313, 0.563158, 0.877752, , 
545593, 57952, 750266, 75092, 1.55, 0.494090, 0.562879, 0.877792, , 
545372, 57916, 749963, 75057, 1.59, 0.493648, 0.562753, 0.877201, , 
545690, 57939, 750382, 75070, 1.63, 0.493267, 0.561976, 0.877737, , 
545688, 57915, 750464, 75093, 1.67, 0.492427, 0.562374, 0.875623, , 
545679, 57923, 750518, 75098, 1.71, 0.492744, 0.562363, 0.876202, , 
545775, 57926, 750737, 75075, 1.75, 0.492490, 0.561157, 0.877632, , 
546058, 57934, 751440, 75103, 1.79, 0.491711, 0.560022, 0.878021, , 
545855, 57916, 750812, 75088, 1.83, 0.491836, 0.561305, 0.876238, , 
545809, 57913, 750729, 75078, 1.87, 0.491903, 0.561259, 0.876427, , 
545886, 57919, 750839, 75082, 1.91, 0.491826, 0.561071, 0.876584, , 
546177, 57968, 751221, 75076, 1.95, 0.492466, 0.559885, 0.879584, , 
546230, 57956, 751321, 75110, 1.99, 0.491844, 0.560529, 0.877463, , 
546036, 57935, 751067, 75069, 2.03, 0.491829, 0.560110, 0.878093, , 
546083, 57930, 751154, 75093, 2.07, 0.491477, 0.560521, 0.876821, , 
546371, 57980, 751531, 75078, 2.11, 0.492163, 0.559107, 0.880266, , 
546342, 57973, 751491, 75061, 2.15, 0.492025, 0.558758, 0.880568, , 
546555, 58000, 751792, 75075, 2.19, 0.492180, 0.558327, 0.881526, , 
546641, 58000, 751934, 75095, 2.23, 0.491858, 0.558483, 0.880703, , 
546620, 57996, 751911, 75090, 2.27, 0.491795, 0.558410, 0.880706, , 
546837, 58025, 752195, 75096, 2.31, 0.492006, 0.557810, 0.882031, , 
546784, 58010, 752148, 75103, 2.35, 0.491675, 0.558124, 0.880943, , 
546684, 58000, 752014, 75079, 2.39, 0.491697, 0.557839, 0.881431, , 
546629, 57994, 751954, 75067, 2.43, 0.491691, 0.557678, 0.881676, , 
546595, 57982, 751915, 75072, 2.47, 0.491395, 0.557916, 0.880768, , 
546649, 57983, 752004, 75085, 2.51, 0.491228, 0.558027, 0.880295, , 
546637, 57983, 751990, 75068, 2.55, 0.491273, 0.557608, 0.881036, , 
546703, 57995, 752093, 75065, 2.59, 0.491449, 0.557251, 0.881917, , 
546648, 57982, 752022, 75067, 2.63, 0.491196, 0.557495, 0.881077, , 
546720, 57985, 752134, 75082, 2.67, 0.491033, 0.557598, 0.880622, , 
546425, 57927, 751766, 75092, 2.71, 0.490090, 0.558853, 0.876956, , 
546418, 57937, 751749, 75062, 2.75, 0.490469, 0.558093, 0.878830, , 
546552, 57954, 751933, 75068, 2.79, 0.490567, 0.557761, 0.879530, , 
546685, 57967, 752129, 75077, 2.83, 0.490529, 0.557477, 0.879908, , 
546687, 57960, 752145, 75094, 2.87, 0.490274, 0.557891, 0.878800, , 
546683, 57974, 752127, 75056, 2.91, 0.490783, 0.556919, 0.881248, , 
547068, 58028, 752650, 75082, 2.95, 0.491248, 0.556216, 0.883196, , 
546911, 58009, 752442, 75057, 2.99, 0.491165, 0.556101, 0.883229, , 
546987, 58023, 752546, 75047, 3.03, 0.491374, 0.555554, 0.884476, , 
547032, 58022, 752617, 75062, 3.07, 0.491171, 0.555767, 0.883771, , 
547150, 58027, 752795, 75088, 3.11, 0.490906, 0.555988, 0.882942, , 
546973, 57998, 752570, 75086, 3.15, 0.490545, 0.556537, 0.881423, , 
547201, 58029, 752878, 75094, 3.19, 0.490786, 0.555927, 0.882823, , 
547118, 58010, 752781, 75101, 3.23, 0.490426, 0.556375, 0.881467, , 
547192, 58020, 752885, 75099, 3.27, 0.490502, 0.556043, 0.882130, , 
547159, 58012, 752847, 75098, 3.31, 0.490343, 0.556118, 0.881726, , 
547120, 58005, 752807, 75100, 3.35, 0.490242, 0.556278, 0.881289, , 
547086, 58005, 752758, 75086, 3.39, 0.490369, 0.556034, 0.881905, , 
547162, 58012, 752868, 75092, 3.43, 0.490332, 0.555900, 0.882050, , 
547220, 58026, 752935, 75082, 3.47, 0.490609, 0.555452, 0.883259, , 
547317, 58029, 753089, 75105, 3.51, 0.490352, 0.555658, 0.882471, , 
547138, 58014, 752840, 75068, 3.55, 0.490492, 0.555331, 0.883243, , 
547051, 57982, 752750, 75103, 3.59, 0.489689, 0.556511, 0.879925, , 
546951, 57966, 752622, 75095, 3.63, 0.489498, 0.556640, 0.879380, , 
547024, 57967, 752732, 75114, 3.68, 0.489260, 0.556855, 0.878613, , 
546956, 57969, 752635, 75085, 3.71, 0.489585, 0.556336, 0.880017, , 
547143, 57985, 752911, 75118, 3.76, 0.489450, 0.556483, 0.879542, , 
546833, 57944, 752497, 75090, 3.80, 0.489163, 0.556840, 0.878462, , 
547042, 57963, 752794, 75123, 3.84, 0.489052, 0.556930, 0.878120, , 
547042, 57964, 752792, 75116, 3.88, 0.489087, 0.556748, 0.878471, , 
546990, 57970, 752713, 75088, 3.92, 0.489493, 0.556208, 0.880054, , 
547147, 57985, 752919, 75103, 3.96, 0.489435, 0.556059, 0.880186, , 
546977, 57969, 752691, 75074, 4.00, 0.489507, 0.555891, 0.880580, , 
547167, 57995, 752944, 75081, 4.04, 0.489713, 0.555402, 0.881729, , 
546943, 57962, 752655, 75064, 4.08, 0.489387, 0.555719, 0.880637, , 
547043, 57968, 752802, 75092, 4.12, 0.489224, 0.556077, 0.879778, , 
547032, 57976, 752777, 75063, 4.16, 0.489548, 0.555365, 0.881488, , 
547043, 57976, 752797, 75065, 4.20, 0.489507, 0.555366, 0.881414, , 
546980, 57961, 752722, 75076, 4.24, 0.489213, 0.555862, 0.880098, , 
546926, 57956, 752652, 75067, 4.28, 0.489238, 0.555808, 0.880230, , 
546997, 57959, 752751, 75075, 4.32, 0.489079, 0.555757, 0.880022, , 
547299, 58011, 753148, 75071, 4.36, 0.489784, 0.554587, 0.883151, , 
547392, 58015, 753294, 75099, 4.40, 0.489578, 0.554948, 0.882205, , 
547102, 57962, 752920, 75102, 4.44, 0.488792, 0.556029, 0.879076, , 
547236, 57984, 753093, 75099, 4.48, 0.489067, 0.555486, 0.880432, , 
547167, 57975, 753010, 75092, 4.52, 0.489008, 0.555520, 0.880270, , 
547169, 57965, 753027, 75108, 4.56, 0.488647, 0.555904, 0.879014, , 
547211, 57978, 753089, 75097, 4.60, 0.488949, 0.555443, 0.880287, , 
547241, 57977, 753122, 75107, 4.64, 0.488802, 0.555623, 0.879736, , 
547321, 58003, 753228, 75083, 4.68, 0.489420, 0.554695, 0.882322, , 
547386, 58009, 753319, 75090, 4.72, 0.489389, 0.554640, 0.882354, , 
547334, 57999, 753261, 75092, 4.76, 0.489230, 0.554848, 0.881737, , 
547159, 57972, 753026, 75084, 4.80, 0.488932, 0.555263, 0.880541, , 
547152, 57960, 753038, 75105, 4.84, 0.488534, 0.555794, 0.878984, , 
547202, 57971, 753098, 75100, 4.88, 0.488736, 0.555499, 0.879813, , 
547250, 57989, 753148, 75073, 4.92, 0.489191, 0.554641, 0.881997, , 
547306, 58004, 753215, 75060, 4.96, 0.489511, 0.554112, 0.883415, , 
547413, 58012, 753371, 75079, 5.00, 0.489393, 0.554205, 0.883055, , 
