FlowCell Text Data File: 181025_setB_mat2_s1.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 13:39:04
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695096
Source A Zero: 57723.1
Sample B Zero: 989397.5
Source B Zero: 75232.5

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
533870, 57729, 733537, 75211, 0.00, 0.540174, 0.602530, 0.896509, 0, 0.209
533870, 57729, 733537, 75211, 0.00, 0.540174, 0.602530, 0.896509, 0, 0.209
533932, 57723, 733599, 75208, 0.00, 0.539724, 0.602279, 0.896135, , 
533834, 57679, 733424, 75216, 0.00, 0.538539, 0.602975, 0.893137, , 
533819, 57672, 733394, 75187, 0.00, 0.538348, 0.602280, 0.893850, , 
533926, 57669, 733601, 75214, 0.02, 0.537832, 0.602435, 0.892763, , 
534176, 57690, 733893, 75221, 0.06, 0.537619, 0.601820, 0.893321, , 
534234, 57691, 733865, 75193, 0.10, 0.537432, 0.601147, 0.894011, , 
534277, 57684, 733887, 75192, 0.14, 0.537019, 0.601059, 0.893454, , 
534373, 57684, 734000, 75198, 0.18, 0.536651, 0.600910, 0.893065, , 
534650, 57714, 734357, 75206, 0.22, 0.536655, 0.600144, 0.894210, , 
534920, 57752, 734711, 75200, 0.26, 0.536969, 0.599012, 0.896424, , 
534979, 57744, 734750, 75200, 0.30, 0.536460, 0.598905, 0.895734, , 
535107, 57749, 734902, 75206, 0.34, 0.536147, 0.598649, 0.895595, , 
535251, 57754, 735050, 75219, 0.38, 0.535774, 0.598591, 0.895058, , 
535145, 57729, 734851, 75203, 0.42, 0.535293, 0.598708, 0.894080, , 
535171, 57749, 734851, 75208, 0.46, 0.535902, 0.598842, 0.894897, , 
535089, 57758, 734701, 75169, 0.50, 0.536535, 0.598208, 0.896903, , 
535101, 57736, 734728, 75212, 0.54, 0.535709, 0.599287, 0.893911, , 
535386, 57778, 735110, 75219, 0.58, 0.536108, 0.598427, 0.895862, , 
535210, 57737, 734861, 75222, 0.62, 0.535328, 0.599190, 0.893420, , 
535264, 57742, 734897, 75208, 0.66, 0.535299, 0.598716, 0.894078, , 
535341, 57744, 735004, 75221, 0.70, 0.535075, 0.598771, 0.893623, , 
535410, 57744, 735091, 75223, 0.74, 0.534812, 0.598586, 0.893458, , 
535262, 57716, 734883, 75209, 0.78, 0.534385, 0.598781, 0.892454, , 
535465, 57736, 735132, 75219, 0.82, 0.534318, 0.598367, 0.892961, , 
535485, 57742, 735102, 75218, 0.86, 0.534454, 0.598422, 0.893106, , 
535199, 57757, 734514, 75213, 0.90, 0.536079, 0.599901, 0.893612, , 
535252, 57767, 734522, 75243, 0.94, 0.536230, 0.600683, 0.892702, , 
534914, 57720, 734042, 75234, 0.98, 0.535858, 0.601759, 0.890485, , 
534996, 57745, 734101, 75205, 1.02, 0.536430, 0.600820, 0.892829, , 
535173, 57750, 734117, 75238, 1.06, 0.535930, 0.601661, 0.890752, , 
535194, 57749, 734176, 75239, 1.10, 0.535815, 0.601525, 0.890760, , 
446744, 57721, 617690, 75251, 1.14, 0.904439, 0.950067, 0.951974, , 
518070, 57713, 715619, 75214, 1.18, 0.601076, 0.652457, 0.921250, , 
523458, 57716, 718851, 75231, 1.22, 0.580012, 0.643830, 0.900879, , 
523500, 57735, 718919, 75238, 1.26, 0.580522, 0.643826, 0.901674, , 
523844, 57726, 720006, 75225, 1.30, 0.578859, 0.640433, 0.903855, , 
524267, 57723, 720613, 75238, 1.35, 0.577101, 0.639083, 0.903014, , 
525790, 57731, 722822, 75208, 1.39, 0.571449, 0.632109, 0.904035, , 
526282, 57730, 722729, 75212, 1.43, 0.569500, 0.632476, 0.900429, , 
525853, 57729, 721237, 75224, 1.47, 0.571133, 0.636963, 0.896650, , 
525560, 57719, 720499, 75225, 1.50, 0.571919, 0.639053, 0.894947, , 
525275, 57686, 720023, 75221, 1.55, 0.571858, 0.640278, 0.893141, , 
525361, 57700, 720100, 75226, 1.58, 0.572020, 0.640197, 0.893507, , 
525060, 57661, 719293, 75223, 1.62, 0.571809, 0.642376, 0.890147, , 
525421, 57694, 719511, 75203, 1.67, 0.571574, 0.641229, 0.891371, , 
525023, 57720, 690926, 75223, 1.71, 0.574046, 0.723476, 0.793455, , 
523891, 57719, 687202, 75207, 1.75, 0.578427, 0.733941, 0.788111, , 
521978, 57742, 686057, 75223, 1.78, 0.586727, 0.737731, 0.795313, , 
503270, 57732, 696921, 75201, 1.83, 0.661053, 0.705473, 0.937035, , 
418931, 57741, 606593, 75222, 1.87, 1.036670, 0.985830, 1.051571, , 
439137, 57752, 566057, 75216, 1.90, 0.940678, 1.125075, 0.836102, , 
493610, 57767, 670358, 75212, 1.95, 0.701949, 0.784095, 0.895235, , 
