FlowCell Text Data File: 181103_setA_ribodeg_s1.csv
Software Version: 1.46A
Date: 2018-11-03
Time: 11:36:33
User: culviner

Experiment name: 181103_setA_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 681051
Source A Zero: 57266.4
Sample B Zero: 974534.4
Source B Zero: 75822.8

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
511939, 57285, 694886, 75773, 0.00, 0.584691, 0.680379, 0.859360, 0, 0.209
511939, 57285, 694886, 75773, 0.00, 0.584691, 0.680379, 0.859360, 0, 0.209
512053, 57314, 695020, 75744, 0.00, 0.585270, 0.679219, 0.861682, , 
512299, 57338, 695334, 75777, 0.00, 0.585144, 0.679186, 0.861538, , 
512223, 57331, 695186, 75745, 0.00, 0.585198, 0.678764, 0.862153, , 
512029, 57286, 694916, 75751, 0.02, 0.584367, 0.679706, 0.859734, , 
512131, 57299, 695041, 75755, 0.06, 0.584423, 0.679450, 0.860141, , 
512163, 57298, 695074, 75758, 0.10, 0.584260, 0.679434, 0.859921, , 
512167, 57288, 695068, 75769, 0.14, 0.583887, 0.679745, 0.858979, , 
512253, 57299, 695161, 75760, 0.18, 0.583936, 0.679235, 0.859696, , 
512291, 57295, 695217, 75779, 0.22, 0.583641, 0.679578, 0.858828, , 
512237, 57286, 695133, 75766, 0.26, 0.583536, 0.679476, 0.858802, , 
512396, 57299, 695327, 75784, 0.30, 0.583365, 0.679393, 0.858656, , 
512361, 57289, 695278, 75781, 0.34, 0.583147, 0.679455, 0.858258, , 
512339, 57290, 695233, 75762, 0.38, 0.583271, 0.679080, 0.858914, , 
512460, 57302, 695393, 75770, 0.42, 0.583216, 0.678829, 0.859151, , 
512519, 57313, 695456, 75761, 0.46, 0.583374, 0.678407, 0.859917, , 
512459, 57300, 695352, 75752, 0.50, 0.583149, 0.678469, 0.859507, , 
512562, 57305, 695494, 75779, 0.54, 0.582916, 0.678776, 0.858776, , 
512545, 57296, 695467, 75781, 0.58, 0.582663, 0.678907, 0.858236, , 
512663, 57305, 695603, 75796, 0.62, 0.582513, 0.678912, 0.858010, , 
512754, 57325, 695706, 75782, 0.66, 0.582864, 0.678241, 0.859376, , 
512661, 57303, 695586, 75785, 0.70, 0.582450, 0.678669, 0.858224, , 
512711, 57307, 695654, 75785, 0.74, 0.582393, 0.678471, 0.858390, , 
512701, 57296, 695635, 75796, 0.78, 0.582040, 0.678819, 0.857430, , 
512691, 57298, 695620, 75781, 0.82, 0.582151, 0.678464, 0.858044, , 
512840, 57325, 695803, 75773, 0.86, 0.582521, 0.677721, 0.859529, , 
512944, 57341, 695938, 75779, 0.90, 0.582677, 0.677489, 0.860053, , 
512889, 57340, 695849, 75745, 0.94, 0.582861, 0.676842, 0.861147, , 
512840, 57319, 695796, 75764, 0.98, 0.582307, 0.677502, 0.859491, , 
512861, 57332, 695808, 75744, 1.02, 0.582687, 0.676935, 0.860773, , 
512812, 57308, 695745, 75761, 1.06, 0.582026, 0.677569, 0.858990, , 
512847, 57305, 695790, 75773, 1.10, 0.581779, 0.677758, 0.858387, , 
512947, 57310, 695932, 75798, 1.14, 0.581558, 0.678012, 0.857741, , 
512963, 57327, 695934, 75760, 1.18, 0.582102, 0.676995, 0.859831, , 
513027, 57338, 696005, 75755, 1.22, 0.582239, 0.676657, 0.860464, , 
512929, 57314, 695875, 75758, 1.26, 0.581773, 0.677113, 0.859196, , 
512905, 57300, 695847, 75777, 1.30, 0.581369, 0.677700, 0.857856, , 
512990, 57315, 695947, 75768, 1.34, 0.581565, 0.677171, 0.858817, , 
513035, 57323, 696010, 75769, 1.38, 0.581672, 0.677015, 0.859171, , 
513093, 57328, 696082, 75771, 1.42, 0.581619, 0.676859, 0.859290, , 
512906, 57298, 695832, 75763, 1.46, 0.581294, 0.677371, 0.858162, , 
513079, 57332, 696059, 75751, 1.50, 0.581817, 0.676394, 0.860175, , 
513146, 57325, 696153, 75788, 1.54, 0.581300, 0.677106, 0.858507, , 
512956, 57308, 695880, 75743, 1.58, 0.581451, 0.676699, 0.859246, , 
513117, 57320, 696095, 75769, 1.62, 0.581237, 0.676769, 0.858842, , 
513227, 57322, 696245, 75800, 1.67, 0.580870, 0.677159, 0.857805, , 
