FlowCell Text Data File: 181104_setB_ribodeg_s1.csv
Software Version: 1.46A
Date: 2018-11-04
Time: 15:46:24
User: culviner

Experiment name: 181104_setB_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 682846
Source A Zero: 57367.0
Sample B Zero: 973743.2
Source B Zero: 75009.7

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
515088, 57288, 695615, 74991, 0.00, 0.574044, 0.677449, 0.847360, , 
514969, 57264, 695456, 75003, 0.10, 0.573659, 0.678233, 0.845814, , 
515046, 57282, 695547, 74997, 0.13, 0.573996, 0.677808, 0.846842, , 
515026, 57278, 695522, 75002, 0.18, 0.573933, 0.678015, 0.846490, , 
514988, 57272, 695472, 75000, 0.22, 0.573869, 0.678106, 0.846283, , 
515009, 57282, 695492, 74986, 0.26, 0.574143, 0.677671, 0.847229, , 
514985, 57275, 695463, 74995, 0.30, 0.573988, 0.677997, 0.846594, , 
515075, 57288, 695590, 75004, 0.34, 0.574095, 0.677871, 0.846909, , 
515109, 57292, 695634, 75016, 0.38, 0.574103, 0.678066, 0.846677, , 
515122, 57292, 695658, 75020, 0.42, 0.574051, 0.678104, 0.846553, , 
515309, 57338, 695888, 74990, 0.46, 0.574951, 0.676632, 0.849725, , 
515199, 57311, 695746, 75009, 0.50, 0.574424, 0.677554, 0.847791, , 
515289, 57332, 695863, 75000, 0.54, 0.574816, 0.676973, 0.849098, , 
515358, 57340, 695958, 75018, 0.58, 0.574828, 0.677181, 0.848853, , 
515121, 57308, 695641, 74989, 0.62, 0.574627, 0.677320, 0.848382, , 
515070, 57314, 695560, 74956, 0.66, 0.575044, 0.676668, 0.849817, , 
515079, 57301, 695586, 74993, 0.70, 0.574544, 0.677587, 0.847926, , 
515210, 57321, 695756, 75003, 0.74, 0.574737, 0.677363, 0.848492, , 
515183, 57312, 695726, 75007, 0.78, 0.574523, 0.677558, 0.847932, , 
515160, 57310, 695688, 75006, 0.82, 0.574543, 0.677641, 0.847858, , 
515116, 57311, 695628, 74989, 0.86, 0.574754, 0.677358, 0.848523, , 
515203, 57323, 695749, 75002, 0.90, 0.574837, 0.677357, 0.848647, , 
515331, 57332, 695922, 75031, 0.94, 0.574649, 0.677635, 0.848022, , 
515390, 57355, 695994, 75012, 0.98, 0.575236, 0.676916, 0.849789, , 
515335, 57347, 695919, 74998, 1.02, 0.575169, 0.676757, 0.849890, , 
515327, 57349, 695907, 74994, 1.06, 0.575272, 0.676684, 0.850134, , 
515252, 57332, 695812, 75006, 1.10, 0.574963, 0.677282, 0.848927, , 
515414, 57352, 696038, 75032, 1.14, 0.575034, 0.677326, 0.848976, , 
515423, 57350, 696040, 75038, 1.18, 0.574926, 0.677481, 0.848624, , 
515346, 57343, 695938, 75027, 1.22, 0.574982, 0.677481, 0.848706, , 
515176, 57316, 695717, 75015, 1.26, 0.574694, 0.677799, 0.847883, , 
515202, 57323, 695746, 75022, 1.30, 0.574840, 0.677903, 0.847969, , 
515238, 57327, 695802, 75024, 1.34, 0.574840, 0.677794, 0.848104, , 
515301, 57335, 695877, 75029, 1.38, 0.574876, 0.677712, 0.848260, , 
515180, 57321, 695721, 75018, 1.42, 0.574856, 0.677868, 0.848036, , 
514987, 57293, 695464, 75003, 1.46, 0.574623, 0.678210, 0.847265, , 
514845, 57259, 695276, 75013, 1.50, 0.573973, 0.679023, 0.845292, , 
514752, 57260, 695146, 74984, 1.54, 0.574378, 0.678621, 0.846391, , 
514831, 57262, 695251, 75010, 1.58, 0.574136, 0.679015, 0.845542, , 
514789, 57265, 695201, 74997, 1.62, 0.574410, 0.678811, 0.846201, , 
514721, 57255, 695108, 74993, 1.66, 0.574323, 0.678973, 0.845870, , 
514693, 57255, 695068, 74983, 1.70, 0.574434, 0.678820, 0.846225, , 
514632, 57235, 694986, 74999, 1.74, 0.573962, 0.679488, 0.844698, , 
514666, 57257, 695028, 74970, 1.78, 0.574613, 0.678587, 0.846779, , 
514612, 57244, 694956, 74976, 1.82, 0.574363, 0.678957, 0.845950, , 
514645, 57248, 695001, 74981, 1.86, 0.574375, 0.678961, 0.845962, , 
514527, 57237, 694830, 74967, 1.90, 0.574451, 0.679080, 0.845925, , 
514618, 57246, 694957, 74978, 1.94, 0.574411, 0.679007, 0.845957, , 
514723, 57262, 695093, 74984, 1.98, 0.574565, 0.678774, 0.846474, , 
514722, 57263, 695095, 74985, 2.02, 0.574605, 0.678795, 0.846507, , 
514740, 57267, 695122, 74981, 2.06, 0.574676, 0.678610, 0.846844, , 
514914, 57293, 695356, 75000, 2.10, 0.574913, 0.678442, 0.847403, , 
514930, 57298, 695370, 74992, 2.14, 0.575028, 0.678186, 0.847892, , 
514710, 57259, 695083, 74993, 2.18, 0.574510, 0.679045, 0.846055, , 
514718, 57263, 695089, 74987, 2.23, 0.574621, 0.678867, 0.846441, , 
514772, 57264, 695168, 75008, 2.26, 0.574442, 0.679202, 0.845760, , 
514725, 57268, 695095, 74980, 2.30, 0.574772, 0.678661, 0.846920, , 
514735, 57256, 695108, 75011, 2.35, 0.574303, 0.679457, 0.845239, , 
514711, 57269, 695073, 74976, 2.38, 0.574863, 0.678617, 0.847109, , 
514618, 57242, 694972, 75001, 2.42, 0.574268, 0.679582, 0.845031, , 
514669, 57242, 695033, 75023, 2.47, 0.574065, 0.679996, 0.844218, , 
514699, 57246, 695078, 75026, 2.50, 0.574089, 0.679947, 0.844315, , 
514756, 57256, 695144, 75024, 2.54, 0.574220, 0.679701, 0.844812, , 
514728, 57254, 695112, 75024, 2.59, 0.574259, 0.679794, 0.844755, , 
514643, 57239, 695002, 75020, 2.63, 0.574061, 0.680006, 0.844201, , 
514643, 57229, 695016, 75050, 2.67, 0.573704, 0.680771, 0.842726, , 
514575, 57231, 694907, 75018, 2.70, 0.574046, 0.680228, 0.843902, , 
514793, 57274, 695187, 75011, 2.75, 0.574716, 0.679227, 0.846131, , 
514547, 57235, 694856, 74994, 2.78, 0.574300, 0.679731, 0.844894, , 
514454, 57218, 694747, 75005, 2.83, 0.574062, 0.680342, 0.843784, , 
514538, 57234, 694850, 74998, 2.86, 0.574300, 0.679855, 0.844738, , 
514416, 57209, 694691, 75008, 2.91, 0.573891, 0.680585, 0.843232, , 
514404, 57207, 694673, 75013, 2.95, 0.573867, 0.680772, 0.842966, , 
514455, 57222, 694738, 74997, 2.99, 0.574201, 0.680153, 0.844223, , 
514514, 57236, 694817, 74996, 3.03, 0.574467, 0.679897, 0.844932, , 
514595, 57249, 694916, 74995, 3.07, 0.574609, 0.679583, 0.845532, , 
514465, 57217, 694755, 75016, 3.11, 0.573982, 0.680615, 0.843329, , 
514556, 57227, 694877, 75030, 3.15, 0.573978, 0.680637, 0.843296, , 
514559, 57228, 694884, 75034, 3.19, 0.574002, 0.680724, 0.843223, , 
514504, 57223, 694819, 75024, 3.23, 0.574042, 0.680644, 0.843381, , 
514531, 57228, 694847, 75025, 3.27, 0.574113, 0.680590, 0.843553, , 
514494, 57232, 694789, 75004, 3.31, 0.574403, 0.680194, 0.844470, , 
514612, 57253, 694947, 75005, 3.35, 0.574685, 0.679762, 0.845420, , 
514540, 57244, 694843, 74990, 3.39, 0.574649, 0.679661, 0.845495, , 
514466, 57230, 694754, 74994, 3.43, 0.574443, 0.680026, 0.844737, , 
514572, 57247, 694895, 75002, 3.47, 0.574629, 0.679832, 0.845252, , 
514745, 57270, 695122, 75023, 3.51, 0.574764, 0.679738, 0.845566, , 
514624, 57263, 694953, 74987, 3.55, 0.574994, 0.679261, 0.846500, , 
514840, 57306, 695230, 74982, 3.59, 0.575672, 0.678323, 0.848669, , 
514927, 57306, 695356, 75016, 3.63, 0.575326, 0.678872, 0.847474, , 
514834, 57305, 695220, 74985, 3.67, 0.575660, 0.678433, 0.848514, , 
