FlowCell Text Data File: 181019_setB_mat1_s5.csv
Software Version: 1.46A
Date: 2018-10-19
Time: 13:06:49
User: culviner

Experiment name: 181019_setB_mat1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695947
Source A Zero: 58063.5
Sample B Zero: 991880.7
Source B Zero: 75085.6

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
530558, 57618, 728861, 74842, 0.00, 0.539440, 0.614498, 0.877855, , 
531400, 57633, 729347, 74848, 0.00, 0.536728, 0.613316, 0.875125, , 
531469, 57599, 729300, 74865, 0.02, 0.535255, 0.613904, 0.871887, , 
531781, 57597, 729246, 74842, 0.06, 0.533983, 0.613434, 0.870482, , 
532220, 57593, 729293, 74843, 0.10, 0.532153, 0.613331, 0.867644, , 
532728, 57606, 729778, 74848, 0.14, 0.530662, 0.612125, 0.866918, , 
533017, 57595, 730030, 74854, 0.18, 0.529162, 0.611591, 0.865222, , 
533173, 57613, 730217, 74835, 0.22, 0.529202, 0.610563, 0.866745, , 
533287, 57623, 730391, 74839, 0.26, 0.529120, 0.610191, 0.867139, , 
533267, 57620, 730419, 74837, 0.30, 0.529090, 0.610060, 0.867277, , 
533393, 57635, 730610, 74846, 0.34, 0.529139, 0.609775, 0.867762, , 
533407, 57640, 730636, 74834, 0.38, 0.529263, 0.609380, 0.868527, , 
533310, 57619, 730544, 74844, 0.42, 0.528890, 0.609903, 0.867170, , 
533365, 57625, 730635, 74835, 0.46, 0.528892, 0.609410, 0.867876, , 
533516, 57649, 730880, 74846, 0.50, 0.529165, 0.609030, 0.868864, , 
533562, 57657, 730946, 74838, 0.54, 0.529272, 0.608633, 0.869608, , 
533519, 57638, 730908, 74851, 0.58, 0.528763, 0.609088, 0.868123, , 
