FlowCell Text Data File: 181025_setB_mat2_s5.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 14:53:38
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695096
Source A Zero: 57723.1
Sample B Zero: 989397.5
Source B Zero: 75232.5

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
530339, 57308, 720002, 75058, 0.00, 0.538775, 0.635964, 0.847179, , 
485707, 57276, 496046, 75078, 0.09, 0.717508, 1.387486, 0.517128, , 
228106, 57278, 389282, 75052, 0.13, 2.264018, 1.875300, 1.207283, , 
497820, 57293, 695836, 75073, 0.17, 0.667713, 0.705180, 0.946869, , 
520385, 57311, 708455, 75071, 0.21, 0.577651, 0.668901, 0.863583, , 
520152, 57333, 704206, 75073, 0.25, 0.579353, 0.681079, 0.850639, , 
520461, 57305, 704020, 75052, 0.29, 0.577138, 0.681048, 0.847427, , 
521116, 57299, 704264, 75092, 0.33, 0.574351, 0.681424, 0.842869, , 
521483, 57305, 704568, 75058, 0.37, 0.573124, 0.679641, 0.843275, , 
521989, 57311, 705173, 75068, 0.41, 0.571354, 0.678179, 0.842482, , 
522430, 57333, 705681, 75069, 0.45, 0.570411, 0.676755, 0.842863, , 
522519, 57319, 705809, 75066, 0.49, 0.569563, 0.676309, 0.842165, , 
522421, 57281, 705720, 75065, 0.53, 0.568590, 0.676536, 0.840443, , 
522581, 57290, 705928, 75066, 0.57, 0.568285, 0.675969, 0.840697, , 
522747, 57303, 706157, 75075, 0.62, 0.568099, 0.675557, 0.840935, , 
522732, 57281, 706176, 75095, 0.65, 0.567372, 0.676039, 0.839259, , 
522853, 57297, 706359, 75084, 0.69, 0.567470, 0.675222, 0.840421, , 
