FlowCell Text Data File: 181104_setB_ribodeg_s5.csv
Software Version: 1.46A
Date: 2018-11-04
Time: 17:12:13
User: culviner

Experiment name: 181104_setB_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 614608
Source A Zero: 57195.6
Sample B Zero: 889347.4
Source B Zero: 74895.4

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
490484, 56857, 671950, 74779, 0.00, 0.449435, 0.561846, 0.799926, 0, 0.209
490484, 56857, 671950, 74779, 0.00, 0.449435, 0.561846, 0.799926, 0, 0.209
489748, 56791, 670287, 74769, 0.00, 0.450132, 0.566571, 0.794484, , 
489672, 56785, 669991, 74774, 0.00, 0.450233, 0.567596, 0.793227, , 
489616, 56785, 669771, 74772, 0.00, 0.450467, 0.568204, 0.792790, , 
489884, 56833, 670026, 74786, 0.02, 0.451076, 0.567815, 0.794407, , 
489865, 56820, 669938, 74807, 0.06, 0.450687, 0.568645, 0.792563, , 
489694, 56795, 669643, 74783, 0.10, 0.450501, 0.568886, 0.791901, , 
489978, 56831, 669985, 74818, 0.14, 0.450612, 0.568800, 0.792214, , 
490124, 56870, 670130, 74789, 0.18, 0.451406, 0.567583, 0.795313, , 
490206, 56868, 670234, 74824, 0.22, 0.450991, 0.568213, 0.793701, , 
490176, 56871, 670163, 74790, 0.26, 0.451224, 0.567510, 0.795095, , 
490241, 56869, 670236, 74807, 0.30, 0.450881, 0.567749, 0.794156, , 
490359, 56890, 670382, 74806, 0.34, 0.451144, 0.567283, 0.795272, , 
490406, 56891, 670430, 74817, 0.38, 0.450984, 0.567435, 0.794777, , 
490217, 56852, 670123, 74803, 0.42, 0.450370, 0.567981, 0.792931, , 
490403, 56875, 670289, 74803, 0.46, 0.450421, 0.567482, 0.793719, , 
490435, 56871, 670305, 74811, 0.50, 0.450144, 0.567649, 0.792996, , 
490376, 56857, 670179, 74795, 0.54, 0.449886, 0.567597, 0.792615, , 
490428, 56860, 670220, 74798, 0.58, 0.449777, 0.567554, 0.792483, , 
490588, 56871, 670438, 74835, 0.62, 0.449505, 0.567896, 0.791528, , 
490344, 56842, 670084, 74790, 0.66, 0.449480, 0.567748, 0.791689, , 
490412, 56869, 670162, 74755, 0.70, 0.450168, 0.566570, 0.794549, , 
490532, 56887, 670329, 74764, 0.74, 0.450315, 0.566310, 0.795173, , 
490469, 56869, 670238, 74767, 0.78, 0.449930, 0.566665, 0.793997, , 
490524, 56865, 670320, 74790, 0.82, 0.449556, 0.567038, 0.792815, , 
