FlowCell Text Data File: 181019_setB_mat1_s4.csv
Software Version: 1.46A
Date: 2018-10-19
Time: 12:47:40
User: culviner

Experiment name: 181019_setB_mat1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695947
Source A Zero: 58063.5
Sample B Zero: 991880.7
Source B Zero: 75085.6

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
531771, 57678, 733037, 74954, 0.00, 0.536897, 0.605997, 0.885973, 0, 0.208
531771, 57678, 733037, 74954, 0.00, 0.536897, 0.605997, 0.885973, 0, 0.208
531764, 57673, 733037, 74945, 0.00, 0.536747, 0.605755, 0.886079, , 
531868, 57684, 733213, 74949, 0.00, 0.536737, 0.605378, 0.886613, , 
532131, 57720, 733570, 74958, 0.00, 0.537002, 0.604639, 0.888136, , 
532186, 57734, 733814, 74939, 0.02, 0.537286, 0.603458, 0.890346, , 
532126, 57742, 733138, 74927, 0.06, 0.537801, 0.604993, 0.888937, , 
532040, 57731, 732958, 74933, 0.10, 0.537742, 0.605649, 0.887876, , 
532130, 57739, 733056, 74953, 0.14, 0.537679, 0.605918, 0.887380, , 
532151, 57749, 733080, 74941, 0.18, 0.537953, 0.605529, 0.888401, , 
532278, 57781, 733232, 74918, 0.22, 0.538598, 0.604492, 0.890992, , 
532171, 57748, 733123, 74945, 0.26, 0.537840, 0.605518, 0.888231, , 
532125, 57750, 733067, 74921, 0.30, 0.538088, 0.605027, 0.889362, , 
532356, 57772, 733388, 74949, 0.34, 0.537979, 0.604897, 0.889373, , 
532036, 57719, 732983, 74929, 0.38, 0.537332, 0.605473, 0.887458, , 
532207, 57745, 733207, 74929, 0.42, 0.537595, 0.604857, 0.888798, , 
