FlowCell Text Data File: 181025_setB_mat2_s4.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 14:33:48
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695096
Source A Zero: 57723.1
Sample B Zero: 989397.5
Source B Zero: 75232.5

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
530992, 57442, 718827, 75130, 0.00, 0.541036, 0.641189, 0.843802, , 
530801, 57407, 718598, 75147, 0.10, 0.540525, 0.642287, 0.841563, , 
530767, 57395, 718557, 75151, 0.13, 0.540229, 0.642510, 0.840810, , 
530865, 57421, 718661, 75132, 0.18, 0.540778, 0.641708, 0.842716, , 
530880, 57430, 718668, 75116, 0.22, 0.541040, 0.641259, 0.843716, , 
531110, 57467, 718961, 75125, 0.26, 0.541472, 0.640679, 0.845153, , 
531130, 57468, 718988, 75132, 0.30, 0.541431, 0.640791, 0.844941, , 
531010, 57459, 718829, 75109, 0.34, 0.541572, 0.640620, 0.845388, , 
531047, 57457, 718879, 75128, 0.37, 0.541359, 0.640990, 0.844567, , 
531101, 57468, 718948, 75120, 0.42, 0.541542, 0.640581, 0.845392, , 
531192, 57477, 719067, 75137, 0.46, 0.541512, 0.640704, 0.845183, , 
531291, 57486, 719210, 75152, 0.50, 0.541451, 0.640705, 0.845086, , 
531366, 57503, 719294, 75143, 0.54, 0.541767, 0.640229, 0.846209, , 
531161, 57466, 719036, 75151, 0.58, 0.541240, 0.641166, 0.844149, , 
531027, 57460, 718842, 75113, 0.62, 0.541543, 0.640691, 0.845248, , 
530985, 57442, 718811, 75136, 0.66, 0.541063, 0.641395, 0.843573, , 
531139, 57464, 719015, 75152, 0.70, 0.541253, 0.641252, 0.844057, , 
531224, 57480, 719115, 75146, 0.74, 0.541496, 0.640811, 0.845016, , 
531317, 57498, 719223, 75148, 0.78, 0.541778, 0.640562, 0.845786, , 
531505, 57528, 719460, 75145, 0.82, 0.542122, 0.639817, 0.847307, , 
531438, 57512, 719388, 75153, 0.86, 0.541810, 0.640234, 0.846270, , 
531318, 57492, 719245, 75161, 0.90, 0.541561, 0.640849, 0.845068, , 
531188, 57474, 719065, 75141, 0.94, 0.541421, 0.640817, 0.844892, , 
531000, 57441, 718841, 75148, 0.98, 0.540970, 0.641633, 0.843115, , 
530962, 57436, 718794, 75148, 1.02, 0.540938, 0.641764, 0.842892, , 
531025, 57447, 718870, 75148, 1.06, 0.541087, 0.641551, 0.843405, , 
531133, 57465, 719004, 75149, 1.10, 0.541312, 0.641202, 0.844214, , 
531106, 57453, 718979, 75166, 1.14, 0.540989, 0.641728, 0.843018, , 
531123, 57456, 719000, 75168, 1.18, 0.541030, 0.641723, 0.843090, , 
531038, 57448, 718882, 75152, 1.22, 0.541073, 0.641625, 0.843285, , 
530995, 57443, 718827, 75148, 1.26, 0.541060, 0.641672, 0.843204, , 
531058, 57462, 718886, 75126, 1.30, 0.541494, 0.640916, 0.844875, , 
531040, 57452, 718885, 75149, 1.34, 0.541208, 0.641536, 0.843612, , 
530706, 57392, 718461, 75149, 1.38, 0.540357, 0.642725, 0.840728, , 
530705, 57392, 718467, 75151, 1.42, 0.540361, 0.642762, 0.840686, , 
