FlowCell Text Data File: 181108_setB_ribodeg_s4.csv
Software Version: 1.46A
Date: 2018-11-08
Time: 12:19:14
User: culviner

Experiment name: 181108_setB_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 631688
Source A Zero: 56881.5
Sample B Zero: 917429.8
Source B Zero: 74858.2

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
403001, 56842, 569912, 74791, 0.00, 0.918213, 0.957808, 0.958662, , 
402876, 56820, 569734, 74812, 0.10, 0.918056, 0.959003, 0.957302, , 
402913, 56790, 569901, 74773, 0.14, 0.916788, 0.957361, 0.957619, , 
403249, 56818, 570444, 74804, 0.18, 0.916091, 0.956277, 0.957976, , 
403241, 56788, 570510, 74809, 0.22, 0.915051, 0.956179, 0.956987, , 
403322, 56799, 570687, 74795, 0.26, 0.915036, 0.955176, 0.957976, , 
403429, 56815, 570867, 74784, 0.30, 0.915069, 0.954244, 0.958947, , 
403441, 56799, 570940, 74800, 0.34, 0.914432, 0.954418, 0.958105, , 
403530, 56811, 571092, 74803, 0.38, 0.914413, 0.953962, 0.958542, , 
403577, 56812, 571186, 74804, 0.42, 0.914211, 0.953657, 0.958637, , 
403557, 56809, 571178, 74789, 0.46, 0.914204, 0.953281, 0.959008, , 
402128, 56781, 568473, 74796, 0.50, 0.920454, 0.963038, 0.955781, , 
400950, 56792, 565295, 74796, 0.54, 0.926853, 0.974338, 0.951264, , 
400586, 56790, 564672, 74819, 0.58, 0.928639, 0.977180, 0.950325, , 
335173, 56809, 392348, 74815, 0.62, 1.294107, 1.710946, 0.756369, , 
200388, 56825, 370413, 74768, 0.66, 2.347184, 1.825638, 1.285679, , 
372670, 56813, 542202, 74799, 0.70, 1.077269, 1.058488, 1.017743, , 
375144, 56796, 543639, 74816, 0.74, 1.063118, 1.053611, 1.009023, , 
378099, 56814, 548564, 74786, 0.78, 1.047712, 1.034625, 1.012649, , 
380127, 56804, 548788, 74816, 0.82, 1.036407, 1.034610, 1.001736, , 
379719, 56792, 548952, 74790, 0.86, 1.038172, 1.033307, 1.004707, , 
380836, 56826, 552034, 74809, 0.90, 1.033386, 1.022535, 1.010612, , 
345707, 56796, 422814, 74808, 0.94, 1.230323, 1.560024, 0.788656, , 
170240, 56822, 305029, 74798, 0.98, 2.680686, 2.217901, 1.208659, , 
281262, 56809, 400885, 74825, 1.02, 1.652913, 1.667829, 0.991057, , 
284492, 56798, 405282, 74812, 1.06, 1.629153, 1.645491, 0.990071, , 
285017, 56773, 406868, 74833, 1.10, 1.624480, 1.638185, 0.991634, , 
285558, 56755, 407821, 74790, 1.14, 1.619951, 1.632310, 0.992428, , 
286049, 56770, 408487, 74831, 1.18, 1.616977, 1.630126, 0.991934, , 
302884, 56770, 430720, 74811, 1.22, 1.499967, 1.522764, 0.985029, , 
351220, 56756, 490425, 74815, 1.26, 1.196509, 1.261218, 0.948694, , 
356783, 56779, 495692, 74787, 1.30, 1.165184, 1.238932, 0.940474, , 
367255, 56777, 524652, 74802, 1.34, 1.105920, 1.124889, 0.983137, , 
375586, 56788, 540432, 74807, 1.38, 1.060420, 1.065294, 0.995425, , 
291053, 56769, 376189, 74815, 1.42, 1.581457, 1.795717, 0.880682, , 
199726, 56744, 364100, 74810, 1.46, 2.351036, 1.861419, 1.263035, , 
366255, 56754, 535356, 74807, 1.50, 1.110670, 1.084315, 1.024306, , 
369304, 56781, 536543, 74788, 1.54, 1.094680, 1.079339, 1.014214, , 
369406, 56826, 535453, 74789, 1.58, 1.095736, 1.083465, 1.011326, , 
369528, 56807, 536197, 74807, 1.62, 1.094376, 1.081151, 1.012233, , 
369379, 56754, 536408, 74786, 1.66, 1.093292, 1.079792, 1.012502, , 
369477, 56768, 536717, 74779, 1.70, 1.093254, 1.078443, 1.013734, , 
369500, 56754, 536797, 74785, 1.74, 1.092622, 1.078304, 1.013278, , 
369586, 56754, 536975, 74818, 1.78, 1.092145, 1.078525, 1.012629, , 
369683, 56765, 537113, 74811, 1.82, 1.092005, 1.077819, 1.013162, , 
369730, 56769, 537168, 74809, 1.86, 1.091889, 1.077558, 1.013299, , 
369780, 56774, 537249, 74807, 1.91, 1.091793, 1.077200, 1.013546, , 
369738, 56756, 537223, 74811, 1.94, 1.091376, 1.077406, 1.012967, , 
369814, 56773, 537315, 74796, 1.99, 1.091568, 1.076656, 1.013850, , 
369822, 56767, 537340, 74804, 2.02, 1.091308, 1.076778, 1.013494, , 
369864, 56778, 537426, 74796, 2.07, 1.091472, 1.076240, 1.014153, , 
369836, 56762, 537403, 74804, 2.10, 1.091050, 1.076542, 1.013477, , 
369803, 56761, 537349, 74785, 2.15, 1.091197, 1.076233, 1.013904, , 
369903, 56772, 537485, 74806, 2.19, 1.091040, 1.076288, 1.013706, , 
369637, 56720, 537127, 74777, 2.22, 1.090637, 1.076850, 1.012803, , 
369686, 56725, 537209, 74791, 2.26, 1.090546, 1.076919, 1.012653, , 
369755, 56739, 537293, 74794, 2.30, 1.090669, 1.076685, 1.012988, , 
369854, 56757, 537435, 74796, 2.35, 1.090770, 1.076206, 1.013533, , 
369811, 56728, 537405, 74833, 2.39, 1.089963, 1.077316, 1.011739, , 
369905, 56748, 537537, 74827, 2.43, 1.090164, 1.076659, 1.012543, , 
369855, 56747, 537455, 74798, 2.47, 1.090404, 1.076185, 1.013212, , 
369815, 56744, 537403, 74783, 2.51, 1.090517, 1.075976, 1.013515, , 
369859, 56751, 537480, 74789, 2.55, 1.090526, 1.075849, 1.013643, , 
369977, 56771, 537675, 74806, 2.59, 1.090595, 1.075576, 1.013963, , 
369950, 56780, 537632, 74766, 2.63, 1.091068, 1.074659, 1.015269, , 
370001, 56777, 537741, 74803, 2.67, 1.090678, 1.075248, 1.014351, , 
370041, 56772, 537824, 74835, 2.71, 1.090277, 1.075799, 1.013458, , 
370080, 56793, 537869, 74805, 2.75, 1.090818, 1.074822, 1.014883, , 
370093, 56796, 537897, 74813, 2.79, 1.090854, 1.074933, 1.014812, , 
370071, 56791, 537862, 74812, 2.83, 1.090796, 1.075037, 1.014659, , 
