FlowCell Text Data File: 181017_setA_mat1_s2.csv
Software Version: 1.46A
Date: 2018-10-17
Time: 12:41:02
User: culviner

Experiment name: 181017_setA_maturation_1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 691917
Source A Zero: 58376.9
Sample B Zero: 989106.6
Source B Zero: 75361.9

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
555807, 58285, 769529, 75267, 0.00, 0.444966, 0.503424, 0.883879, 0, 0.209
555807, 58285, 769529, 75267, 0.00, 0.444966, 0.503424, 0.883879, 0, 0.209
555880, 58296, 769636, 75272, 0.00, 0.445084, 0.503278, 0.884370, , 
555954, 58307, 769733, 75271, 0.00, 0.445197, 0.502997, 0.885089, , 
555975, 58307, 769764, 75276, 0.00, 0.445120, 0.503050, 0.884843, , 
555955, 58299, 769739, 75287, 0.02, 0.444913, 0.503410, 0.883799, , 
555901, 58292, 769655, 75277, 0.06, 0.444866, 0.503362, 0.883789, , 
556102, 58315, 769945, 75311, 0.10, 0.444933, 0.503513, 0.883659, , 
556133, 58320, 769978, 75306, 0.14, 0.444995, 0.503292, 0.884167, , 
556209, 58334, 770079, 75306, 0.18, 0.445206, 0.503028, 0.885052, , 
556232, 58346, 770102, 75293, 0.22, 0.445543, 0.502620, 0.886440, , 
556074, 58313, 769900, 75303, 0.26, 0.444966, 0.503416, 0.883893, , 
556075, 58308, 769904, 75312, 0.30, 0.444787, 0.503647, 0.883133, , 
555987, 58300, 769793, 75301, 0.34, 0.444830, 0.503643, 0.883225, , 
555943, 58280, 769752, 75329, 0.38, 0.444290, 0.504500, 0.880655, , 
555875, 58276, 769651, 75314, 0.42, 0.444400, 0.504363, 0.881112, , 
