FlowCell Text Data File: 181025_setA_mat2_s2.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 10:36:00
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 674892
Source A Zero: 57784.6
Sample B Zero: 964964.6
Source B Zero: 75220.1

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
521845, 57818, 727218, 75229, 0.00, 0.527406, 0.570382, 0.924653, 0, 0.209
521845, 57818, 727218, 75229, 0.00, 0.527406, 0.570382, 0.924653, 0, 0.209
521840, 57816, 727213, 75212, 0.00, 0.527355, 0.569941, 0.925280, , 
521932, 57820, 727375, 75222, 0.00, 0.527136, 0.569760, 0.925189, , 
522051, 57832, 727559, 75224, 0.00, 0.527094, 0.569304, 0.925857, , 
521966, 57811, 727473, 75222, 0.02, 0.526684, 0.569488, 0.924837, , 
522130, 57821, 727714, 75243, 0.06, 0.526395, 0.569383, 0.924500, , 
522234, 57840, 727864, 75225, 0.10, 0.526660, 0.568486, 0.926426, , 
522107, 57807, 727724, 75229, 0.14, 0.525989, 0.568980, 0.924442, , 
522043, 57794, 727668, 75228, 0.18, 0.525780, 0.569109, 0.923866, , 
405048, 57804, 588632, 75245, 0.22, 1.045323, 0.996961, 1.048510, , 
475665, 57782, 573714, 75211, 0.26, 0.715717, 1.047791, 0.683073, , 
308238, 57784, 486003, 75223, 0.30, 1.603475, 1.382534, 1.159809, , 
444651, 57801, 637351, 75224, 0.34, 0.854347, 0.836118, 1.021802, , 
453090, 57799, 648132, 75207, 0.38, 0.815807, 0.801853, 1.017402, , 
490532, 57781, 694959, 75207, 0.42, 0.652709, 0.661248, 0.987087, , 
498516, 57781, 699986, 75206, 0.46, 0.619675, 0.646694, 0.958220, , 
504514, 57771, 691320, 75193, 0.50, 0.594849, 0.671455, 0.885911, , 
391013, 57776, 538070, 75209, 0.54, 1.116487, 1.177023, 0.948569, , 
407550, 57782, 626789, 75195, 0.58, 1.031944, 0.869023, 1.187476, , 
510256, 57778, 701523, 75233, 0.62, 0.571941, 0.642996, 0.889494, , 
512601, 57762, 705095, 75216, 0.66, 0.561993, 0.632304, 0.888802, , 
512398, 57771, 704541, 75187, 0.70, 0.563122, 0.633111, 0.889453, , 
514613, 57795, 711084, 75200, 0.74, 0.555146, 0.614827, 0.902931, , 
516581, 57780, 715274, 75186, 0.78, 0.546805, 0.602610, 0.907395, , 
516846, 57814, 714592, 75188, 0.82, 0.546959, 0.604586, 0.904684, , 
518279, 57779, 718012, 75195, 0.86, 0.540055, 0.595150, 0.907427, , 
519054, 57779, 718431, 75231, 0.90, 0.536998, 0.594939, 0.902610, , 
518699, 57800, 716673, 75228, 0.94, 0.539141, 0.599797, 0.898873, , 
519045, 57803, 717995, 75208, 0.98, 0.537883, 0.595546, 0.903176, , 
512738, 57816, 650964, 75211, 1.02, 0.563358, 0.793173, 0.710259, , 
489283, 57812, 601465, 75246, 1.06, 0.659023, 0.953517, 0.691150, , 
