FlowCell Text Data File: 181103_setA_ribodeg_s2.csv
Software Version: 1.46A
Date: 2018-11-03
Time: 11:54:04
User: culviner

Experiment name: 181103_setA_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 681051
Source A Zero: 57266.4
Sample B Zero: 974534.4
Source B Zero: 75822.8

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
509416, 57398, 690931, 75724, 0.00, 0.598831, 0.690580, 0.867143, , 
509394, 57383, 690987, 75730, 0.00, 0.598385, 0.690576, 0.866501, , 
510289, 57363, 693853, 75724, 0.02, 0.594080, 0.682073, 0.870991, , 
510030, 57397, 692108, 75699, 0.06, 0.596331, 0.686483, 0.868675, , 
389092, 57389, 446050, 75710, 0.10, 1.149833, 1.572254, 0.731328, , 
451215, 57358, 628001, 75729, 0.14, 0.845641, 0.883199, 0.957475, , 
490599, 57384, 668401, 75714, 0.18, 0.675344, 0.757134, 0.891973, , 
492474, 57363, 670219, 75737, 0.22, 0.666790, 0.752272, 0.886368, , 
493502, 57345, 671154, 75715, 0.26, 0.661881, 0.748876, 0.883832, , 
494237, 57348, 672176, 75731, 0.30, 0.658943, 0.746235, 0.883023, , 
494486, 57313, 672573, 75743, 0.34, 0.656663, 0.745364, 0.880996, , 
494616, 57306, 672736, 75712, 0.38, 0.655875, 0.744051, 0.881493, , 
494891, 57309, 673095, 75730, 0.42, 0.654845, 0.743454, 0.880814, , 
495351, 57346, 673685, 75750, 0.46, 0.654265, 0.742221, 0.881496, , 
495355, 57320, 673681, 75741, 0.50, 0.653320, 0.741993, 0.880494, , 
495551, 57336, 673948, 75723, 0.54, 0.653082, 0.740715, 0.881691, , 
495348, 57275, 673735, 75732, 0.58, 0.651742, 0.741592, 0.878842, , 
495904, 57318, 674466, 75741, 0.62, 0.650982, 0.739646, 0.880127, , 
496380, 57309, 675263, 75736, 0.66, 0.648698, 0.737132, 0.880029, , 
496755, 57320, 675871, 75728, 0.70, 0.647546, 0.735106, 0.880888, , 
496993, 57328, 676228, 75723, 0.74, 0.646851, 0.733908, 0.881379, , 
497264, 57344, 676671, 75739, 0.78, 0.646307, 0.733014, 0.881711, , 
497602, 57367, 677155, 75728, 0.82, 0.645737, 0.731280, 0.883023, , 
497714, 57350, 677425, 75726, 0.86, 0.644670, 0.730423, 0.882598, , 
497620, 57319, 677397, 75713, 0.90, 0.643950, 0.730160, 0.881930, , 
497801, 57323, 678044, 75726, 0.94, 0.643349, 0.728582, 0.883015, , 
498027, 57313, 678815, 75739, 0.98, 0.642063, 0.726638, 0.883608, , 
498271, 57310, 679647, 75730, 1.02, 0.640954, 0.723929, 0.885382, , 
498343, 57297, 679656, 75720, 1.06, 0.640194, 0.723636, 0.884690, , 
498556, 57303, 679779, 75735, 1.10, 0.639534, 0.723671, 0.883736, , 
498607, 57308, 679776, 75732, 1.14, 0.639503, 0.723600, 0.883780, , 
499454, 57343, 681791, 75729, 1.18, 0.637279, 0.717554, 0.888127, , 
500401, 57312, 685127, 75705, 1.22, 0.632297, 0.707077, 0.894241, , 
499418, 57327, 680459, 75707, 1.26, 0.636856, 0.720910, 0.883405, , 
499405, 57372, 679708, 75707, 1.30, 0.638515, 0.723136, 0.882980, , 
499427, 57378, 679645, 75707, 1.34, 0.638639, 0.723323, 0.882923, , 
499226, 57352, 679336, 75692, 1.38, 0.638535, 0.723840, 0.882149, , 
499969, 57381, 681599, 75699, 1.42, 0.636526, 0.717323, 0.887363, , 
499777, 57363, 681037, 75689, 1.46, 0.636670, 0.718720, 0.885840, , 
499538, 57361, 679802, 75700, 1.50, 0.637578, 0.722671, 0.882252, , 
499575, 57356, 679678, 75736, 1.54, 0.637248, 0.723997, 0.880180, , 
499472, 57354, 679433, 75702, 1.58, 0.637598, 0.723819, 0.880881, , 
499520, 57355, 679478, 75716, 1.62, 0.637437, 0.724058, 0.880368, , 
499523, 57360, 679490, 75712, 1.66, 0.637603, 0.723916, 0.880770, , 
499517, 57354, 679503, 75717, 1.70, 0.637414, 0.724010, 0.880393, , 
499601, 57363, 679621, 75726, 1.74, 0.637391, 0.723900, 0.880496, , 
499834, 57401, 679914, 75732, 1.79, 0.637792, 0.723191, 0.881914, , 
499509, 57326, 679528, 75765, 1.82, 0.636448, 0.725213, 0.877600, , 
499341, 57323, 679286, 75700, 1.87, 0.637029, 0.724201, 0.879629, , 
499490, 57327, 679512, 75748, 1.90, 0.636561, 0.724809, 0.878247, , 
499237, 57297, 679172, 75703, 1.95, 0.636527, 0.724620, 0.878429, , 
499773, 57386, 679863, 75720, 1.99, 0.637507, 0.723023, 0.881725, , 
499605, 57349, 679665, 75730, 2.02, 0.636875, 0.723876, 0.879813, , 
499703, 57364, 679790, 75725, 2.07, 0.637009, 0.723372, 0.880610, , 
499814, 57379, 679924, 75729, 2.11, 0.637089, 0.723081, 0.881076, , 
499658, 57354, 679732, 75718, 2.15, 0.636836, 0.723358, 0.880389, , 
499665, 57354, 679743, 75713, 2.18, 0.636808, 0.723192, 0.880551, , 
499794, 57365, 679921, 75739, 2.23, 0.636672, 0.723356, 0.880164, , 
499660, 57343, 679753, 75722, 2.27, 0.636436, 0.723402, 0.879782, , 
499755, 57360, 679882, 75724, 2.31, 0.636653, 0.723073, 0.880483, , 
499656, 57327, 679778, 75752, 2.35, 0.635881, 0.724126, 0.878136, , 
499641, 57324, 679753, 75746, 2.39, 0.635835, 0.724041, 0.878177, , 
499757, 57349, 679872, 75711, 2.43, 0.636253, 0.722756, 0.880314, , 
499725, 57349, 679828, 75695, 2.47, 0.636384, 0.722461, 0.880856, , 
499656, 57338, 679733, 75682, 2.51, 0.636274, 0.722396, 0.880782, , 
499781, 57348, 679912, 75713, 2.55, 0.636119, 0.722691, 0.880209, , 
499808, 57358, 679948, 75695, 2.59, 0.636365, 0.722105, 0.881264, , 
499800, 57348, 679943, 75709, 2.63, 0.636041, 0.722493, 0.880343, , 
499832, 57352, 679997, 75709, 2.67, 0.636053, 0.722332, 0.880554, , 
499798, 57340, 679960, 75724, 2.71, 0.635764, 0.722841, 0.879534, , 
499881, 57348, 680062, 75728, 2.75, 0.635709, 0.722646, 0.879697, , 
499678, 57311, 679816, 75725, 2.79, 0.635220, 0.723295, 0.878231, , 
499546, 57282, 679646, 75728, 2.83, 0.634725, 0.723879, 0.876838, , 
499532, 57285, 679626, 75714, 2.87, 0.634889, 0.723566, 0.877446, , 
499524, 57283, 679614, 75711, 2.91, 0.634851, 0.723521, 0.877446, , 
499854, 57331, 680040, 75737, 2.95, 0.635213, 0.722950, 0.878640, , 
499784, 57330, 679925, 75694, 2.99, 0.635464, 0.722146, 0.879966, , 
499921, 57345, 680115, 75723, 3.03, 0.635439, 0.722355, 0.879676, , 
500036, 57374, 680246, 75693, 3.07, 0.636002, 0.721168, 0.881905, , 
499941, 57348, 680146, 75707, 3.11, 0.635464, 0.721838, 0.880342, , 
499800, 57320, 679974, 75718, 3.15, 0.635042, 0.722640, 0.878780, , 
499531, 57284, 679605, 75679, 3.19, 0.634858, 0.722696, 0.878458, , 
499631, 57304, 679733, 75669, 3.23, 0.635162, 0.722050, 0.879666, , 
499762, 57305, 679929, 75718, 3.27, 0.634662, 0.722774, 0.878092, , 
499503, 57264, 679588, 75697, 3.31, 0.634258, 0.723226, 0.876985, , 
499609, 57275, 679729, 75710, 3.35, 0.634217, 0.723154, 0.877015, , 
499478, 57259, 679567, 75692, 3.39, 0.634182, 0.723155, 0.876965, , 
499500, 57255, 679600, 75712, 3.43, 0.633949, 0.723589, 0.876116, , 
499484, 57247, 679599, 75723, 3.47, 0.633728, 0.723885, 0.875454, , 
499406, 57242, 679476, 75690, 3.51, 0.633869, 0.723371, 0.876271, , 
499419, 57238, 679508, 75705, 3.55, 0.633673, 0.723676, 0.875631, , 
499613, 57281, 679732, 75686, 3.59, 0.634415, 0.722506, 0.878076, , 
499654, 57276, 679798, 75703, 3.63, 0.634068, 0.722763, 0.877284, , 
499756, 57289, 679942, 75718, 3.67, 0.634115, 0.722735, 0.877382, , 
