FlowCell Text Data File: 181019_setB_mat1_s3.csv
Software Version: 1.46A
Date: 2018-10-19
Time: 12:28:47
User: culviner

Experiment name: 181019_setB_mat1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695947
Source A Zero: 58063.5
Sample B Zero: 991880.7
Source B Zero: 75085.6

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
529990, 57919, 732826, 75046, 0.00, 0.552293, 0.609050, 0.906811, 0, 0.209
529990, 57919, 732826, 75046, 0.00, 0.552293, 0.609050, 0.906811, 0, 0.209
530006, 57925, 732852, 75015, 0.00, 0.552443, 0.608145, 0.908406, , 
530015, 57917, 732854, 75013, 0.00, 0.552126, 0.608086, 0.907973, , 
530163, 57929, 733069, 75033, 0.00, 0.551978, 0.608032, 0.907811, , 
530158, 57919, 733187, 75028, 0.02, 0.551644, 0.607573, 0.907947, , 
530927, 57940, 734647, 74994, 0.06, 0.549420, 0.602650, 0.911674, , 
533045, 57942, 735077, 75017, 0.10, 0.541345, 0.602089, 0.899111, , 
378715, 57948, 412411, 75021, 0.14, 1.240962, 1.767125, 0.702249, , 
450870, 57943, 651384, 74998, 0.18, 0.883954, 0.845216, 1.045831, , 
519916, 57934, 702859, 74999, 0.22, 0.592089, 0.691942, 0.855692, , 
520297, 57919, 704829, 75020, 0.26, 0.590061, 0.686865, 0.859063, , 
520465, 57937, 706056, 74986, 0.30, 0.590036, 0.682446, 0.864590, , 
520669, 57948, 706744, 74988, 0.34, 0.589622, 0.680536, 0.866409, , 
520748, 57932, 707126, 75007, 0.38, 0.588747, 0.679958, 0.865858, , 
520907, 57948, 707493, 74986, 0.42, 0.588687, 0.678347, 0.867826, , 
520891, 57923, 707643, 74992, 0.46, 0.587867, 0.678081, 0.866957, , 
521000, 57923, 707904, 74993, 0.50, 0.587439, 0.677365, 0.867242, , 
521134, 57920, 708193, 75010, 0.54, 0.586807, 0.676999, 0.866777, , 
521254, 57934, 708420, 74993, 0.58, 0.586830, 0.675896, 0.868225, , 
521257, 57904, 708502, 75017, 0.62, 0.585759, 0.676308, 0.866113, , 
521146, 57881, 708414, 74998, 0.66, 0.585382, 0.676048, 0.865888, , 
521309, 57895, 708663, 75006, 0.70, 0.585237, 0.675555, 0.866306, , 
521437, 57910, 708851, 75006, 0.74, 0.585264, 0.675020, 0.867033, , 
521524, 57906, 708997, 75026, 0.78, 0.584782, 0.675142, 0.866161, , 
521510, 57892, 708996, 75027, 0.82, 0.584342, 0.675172, 0.865471, , 
521737, 57917, 709306, 75038, 0.86, 0.584335, 0.674586, 0.866212, , 
521606, 57892, 709154, 75020, 0.90, 0.583965, 0.674535, 0.865731, , 
522064, 57949, 709790, 75053, 0.94, 0.584183, 0.673614, 0.867237, , 
521731, 57906, 709354, 75001, 0.98, 0.583970, 0.673456, 0.867124, , 
