FlowCell Text Data File: 181025_setB_mat2_s3.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 14:18:09
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695096
Source A Zero: 57723.1
Sample B Zero: 989397.5
Source B Zero: 75232.5

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
543627, 57492, 741410, 75139, 0.00, 0.494699, 0.579082, 0.854283, , 
543806, 57505, 741644, 75179, 0.00, 0.494488, 0.579518, 0.853275, , 
543755, 57502, 741579, 75168, 0.02, 0.494574, 0.579400, 0.853596, , 
543745, 57486, 741583, 75197, 0.06, 0.494042, 0.580167, 0.851552, , 
543734, 57503, 741551, 75157, 0.10, 0.494688, 0.579181, 0.854117, , 
543741, 57502, 741564, 75170, 0.14, 0.494626, 0.579494, 0.853548, , 
543674, 57489, 741482, 75173, 0.18, 0.494416, 0.579798, 0.852738, , 
543687, 57505, 741476, 75136, 0.22, 0.494936, 0.578822, 0.855076, , 
543901, 57534, 741757, 75147, 0.26, 0.495163, 0.578353, 0.856160, , 
543811, 57533, 741630, 75120, 0.30, 0.495466, 0.577974, 0.857246, , 
543857, 57520, 741717, 75170, 0.34, 0.494830, 0.579079, 0.854513, , 
543734, 57497, 741558, 75170, 0.38, 0.494475, 0.579511, 0.853262, , 
543754, 57498, 741593, 75184, 0.42, 0.494435, 0.579791, 0.852782, , 
543554, 57485, 741303, 75134, 0.46, 0.494725, 0.579238, 0.854096, , 
543676, 57496, 741477, 75154, 0.50, 0.494657, 0.579302, 0.853886, , 
543713, 57493, 741535, 75174, 0.54, 0.494411, 0.579680, 0.852903, , 
543196, 57406, 740869, 75170, 0.58, 0.493259, 0.581384, 0.848422, , 
543440, 57452, 741183, 75163, 0.62, 0.493979, 0.580343, 0.851186, , 
543437, 57446, 741178, 75174, 0.66, 0.493777, 0.580651, 0.850385, , 
543410, 57436, 741148, 75186, 0.70, 0.493522, 0.581054, 0.849357, , 
543286, 57422, 740982, 75170, 0.74, 0.493491, 0.581077, 0.849269, , 
543297, 57422, 741002, 75176, 0.78, 0.493449, 0.581183, 0.849042, , 
543213, 57413, 740879, 75157, 0.82, 0.493445, 0.581009, 0.849290, , 
543102, 57398, 740739, 75155, 0.86, 0.493328, 0.581336, 0.848612, , 
543128, 57407, 740763, 75145, 0.90, 0.493551, 0.581002, 0.849482, , 
543226, 57430, 740891, 75134, 0.94, 0.494002, 0.580359, 0.851200, , 
543560, 57475, 741335, 75159, 0.98, 0.494347, 0.579822, 0.852583, , 
543575, 57480, 741354, 75156, 1.02, 0.494468, 0.579690, 0.852987, , 
543465, 57457, 741213, 75163, 1.06, 0.494063, 0.580261, 0.851450, , 
543448, 57459, 741190, 75157, 1.11, 0.494199, 0.580163, 0.851828, , 
543387, 57475, 741160, 75153, 1.14, 0.494998, 0.580137, 0.853243, , 
542551, 57465, 739072, 75149, 1.18, 0.497792, 0.585716, 0.849887, , 
542741, 57492, 739145, 75153, 1.22, 0.498037, 0.585624, 0.850438, , 
542328, 57476, 738615, 75137, 1.26, 0.499025, 0.586641, 0.850648, , 
347330, 57458, 402758, 75136, 1.31, 1.410121, 1.808960, 0.779521, , 
450209, 57442, 667653, 75149, 1.35, 0.878716, 0.790555, 1.111517, , 
524645, 57468, 709192, 75158, 1.39, 0.566567, 0.669140, 0.846710, , 
524562, 57472, 709587, 75137, 1.43, 0.567033, 0.667454, 0.849546, , 
524702, 57486, 710149, 75149, 1.46, 0.566985, 0.666180, 0.851099, , 
524888, 57497, 710626, 75165, 1.51, 0.566652, 0.665256, 0.851780, , 
524891, 57476, 710797, 75189, 1.55, 0.565893, 0.665414, 0.850437, , 
525039, 57495, 711120, 75171, 1.58, 0.565992, 0.664016, 0.852377, , 
525116, 57488, 711301, 75191, 1.62, 0.565443, 0.664039, 0.851520, , 
524980, 57462, 711188, 75169, 1.67, 0.565047, 0.663770, 0.851270, , 
525014, 57454, 711286, 75178, 1.71, 0.564630, 0.663733, 0.850688, , 
524913, 57435, 711192, 75156, 1.75, 0.564347, 0.663410, 0.850676, , 
524943, 57434, 711269, 75150, 1.79, 0.564194, 0.663030, 0.850932, , 
525026, 57442, 711413, 75145, 1.83, 0.564156, 0.662488, 0.851571, , 
525088, 57450, 711519, 75129, 1.87, 0.564199, 0.661759, 0.852575, , 
525078, 57438, 711548, 75133, 1.91, 0.563811, 0.661784, 0.851956, , 
525066, 57425, 711562, 75140, 1.95, 0.563394, 0.661932, 0.851136, , 
525266, 57460, 711837, 75125, 1.99, 0.563862, 0.660751, 0.853365, , 
525225, 57445, 711803, 75121, 2.03, 0.563487, 0.660740, 0.852812, , 
525303, 57457, 711930, 75111, 2.07, 0.563611, 0.660112, 0.853811, , 
525329, 57446, 711982, 75130, 2.11, 0.563118, 0.660475, 0.852596, , 
525453, 57453, 712165, 75148, 2.15, 0.562884, 0.660439, 0.852287, , 
525436, 57445, 712156, 75147, 2.19, 0.562665, 0.660438, 0.851958, , 
525359, 57420, 712077, 75159, 2.23, 0.562075, 0.660983, 0.850361, , 
525338, 57404, 712069, 75170, 2.27, 0.561586, 0.661301, 0.849214, , 
525271, 57399, 711990, 75148, 2.31, 0.561669, 0.660935, 0.849810, , 
525403, 57416, 712172, 75147, 2.35, 0.561761, 0.660393, 0.850646, , 
525354, 57411, 712120, 75130, 2.39, 0.561773, 0.660084, 0.851063, , 
525429, 57406, 712235, 75158, 2.43, 0.561303, 0.660509, 0.849803, , 
525439, 57421, 712247, 75117, 2.47, 0.561799, 0.659376, 0.852016, , 
525588, 57434, 712459, 75138, 2.51, 0.561682, 0.659339, 0.851886, , 
525618, 57432, 712512, 75142, 2.55, 0.561494, 0.659297, 0.851656, , 
525696, 57445, 712623, 75140, 2.59, 0.561653, 0.658929, 0.852373, , 
525790, 57450, 712757, 75151, 2.63, 0.561465, 0.658845, 0.852196, , 
525851, 57451, 712854, 75167, 2.67, 0.561264, 0.659000, 0.851690, , 
525843, 57445, 712856, 75164, 2.71, 0.561081, 0.658914, 0.851524, , 
525933, 57452, 712974, 75175, 2.75, 0.560980, 0.658875, 0.851421, , 
526008, 57445, 713099, 75212, 2.79, 0.560439, 0.659513, 0.849777, , 
525975, 57440, 713063, 75203, 2.83, 0.560389, 0.659374, 0.849881, , 
526133, 57472, 713260, 75187, 2.87, 0.560914, 0.658388, 0.851951, , 
525976, 57429, 713076, 75206, 2.91, 0.559994, 0.659418, 0.849224, , 
525931, 57432, 713021, 75179, 2.95, 0.560276, 0.658849, 0.850385, , 
525978, 57439, 713086, 75177, 2.99, 0.560342, 0.658612, 0.850792, , 
526029, 57452, 713164, 75162, 3.03, 0.560607, 0.657989, 0.852000, , 
526018, 57441, 713164, 75175, 3.07, 0.560258, 0.658338, 0.851018, , 
525937, 57431, 713051, 75155, 3.11, 0.560217, 0.658121, 0.851236, , 
526129, 57460, 713308, 75161, 3.15, 0.560503, 0.657556, 0.852403, , 
526141, 57462, 713332, 75150, 3.19, 0.560527, 0.657193, 0.852911, , 
525852, 57414, 712955, 75144, 3.23, 0.559942, 0.658097, 0.850849, , 
525838, 57399, 712950, 75161, 3.27, 0.559461, 0.658567, 0.849513, , 
525917, 57420, 713051, 75143, 3.31, 0.559902, 0.657799, 0.851175, , 
526199, 57470, 713413, 75124, 3.35, 0.560587, 0.656266, 0.854206, , 
526208, 57473, 713438, 75125, 3.39, 0.560658, 0.656223, 0.854372, , 
526327, 57477, 713610, 75151, 3.43, 0.560338, 0.656434, 0.853609, , 
526280, 57465, 713555, 75151, 3.47, 0.560094, 0.656590, 0.853034, , 
526325, 57474, 713619, 75145, 3.51, 0.560239, 0.656248, 0.853700, , 
526247, 57461, 713522, 75141, 3.55, 0.560079, 0.656415, 0.853240, , 
526214, 57448, 713487, 75149, 3.59, 0.559745, 0.656728, 0.852324, , 
526341, 57460, 713663, 75165, 3.63, 0.559678, 0.656660, 0.852311, , 
526279, 57461, 713582, 75140, 3.67, 0.559955, 0.656218, 0.853306, , 
526225, 57452, 713512, 75126, 3.71, 0.559844, 0.656040, 0.853369, , 
526316, 57458, 713639, 75148, 3.75, 0.559704, 0.656272, 0.852854, , 
526192, 57441, 713481, 75136, 3.80, 0.559581, 0.656396, 0.852505, , 
526247, 57454, 713557, 75116, 3.84, 0.559830, 0.655645, 0.853862, , 
526225, 57447, 713535, 75128, 3.87, 0.559666, 0.656029, 0.853112, , 
526308, 57454, 713640, 75131, 3.91, 0.559593, 0.655813, 0.853281, , 
526557, 57488, 713976, 75152, 3.96, 0.559836, 0.655428, 0.854153, , 
526550, 57490, 713975, 75141, 4.00, 0.559934, 0.655135, 0.854685, , 
526611, 57492, 714057, 75154, 4.04, 0.559768, 0.655253, 0.854279, , 
526512, 57476, 713921, 75144, 4.08, 0.559583, 0.655368, 0.853846, , 
526668, 57493, 714140, 75164, 4.11, 0.559582, 0.655286, 0.853951, , 
