FlowCell Text Data File: 181104_setB_ribodeg_s3.csv
Software Version: 1.46A
Date: 2018-11-04
Time: 16:32:09
User: culviner

Experiment name: 181104_setB_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 614608
Source A Zero: 57195.6
Sample B Zero: 889347.4
Source B Zero: 74895.4

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
501778, 57088, 678933, 74841, 0.00, 0.411152, 0.542678, 0.757634, 0, 0.209
501778, 57088, 678933, 74841, 0.00, 0.411152, 0.542678, 0.757634, 0, 0.209
501884, 57097, 679015, 74847, 0.00, 0.411042, 0.542597, 0.757546, , 
501156, 57084, 678252, 74849, 0.00, 0.413546, 0.544917, 0.758917, , 
499895, 57071, 675159, 74858, 0.00, 0.418235, 0.554372, 0.754431, , 
500066, 57075, 675604, 74852, 0.01, 0.417679, 0.552882, 0.755457, , 
497764, 57103, 653913, 74843, 0.06, 0.428123, 0.618414, 0.692291, , 
292514, 57084, 349784, 74848, 0.10, 1.515181, 1.879630, 0.806106, , 
477693, 57057, 651941, 74856, 0.13, 0.510687, 0.624852, 0.817293, , 
482075, 57071, 655822, 74844, 0.18, 0.492505, 0.612566, 0.804004, , 
482148, 57068, 654925, 74831, 0.22, 0.492088, 0.614974, 0.800177, , 
482602, 57085, 655217, 74852, 0.26, 0.490772, 0.614641, 0.798468, , 
482730, 57049, 655057, 74875, 0.30, 0.488938, 0.615753, 0.794050, , 
482966, 57051, 655103, 74867, 0.34, 0.488010, 0.615396, 0.793002, , 
483150, 57056, 654995, 74857, 0.38, 0.487410, 0.615459, 0.791945, , 
483360, 57059, 654832, 74849, 0.42, 0.486628, 0.615745, 0.790308, , 
483661, 57088, 655014, 74848, 0.46, 0.486394, 0.615158, 0.790682, , 
483700, 57072, 654948, 74857, 0.50, 0.485656, 0.615604, 0.788910, , 
483893, 57087, 655100, 74855, 0.54, 0.485377, 0.615082, 0.789126, , 
483943, 57076, 655068, 74844, 0.58, 0.484772, 0.614884, 0.788395, , 
483939, 57068, 655004, 74827, 0.62, 0.484502, 0.614623, 0.788290, , 
484031, 57062, 655113, 74856, 0.66, 0.483898, 0.615069, 0.786737, , 
484148, 57091, 655242, 74825, 0.70, 0.484443, 0.613837, 0.789204, , 
484102, 57061, 655104, 74842, 0.74, 0.483562, 0.614720, 0.786637, , 
484268, 57078, 655255, 74841, 0.78, 0.483470, 0.614228, 0.787117, , 
484223, 57073, 655238, 74832, 0.82, 0.483480, 0.614038, 0.787379, , 
484056, 57035, 655001, 74822, 0.86, 0.482824, 0.614498, 0.785720, , 
484181, 57051, 655154, 74821, 0.90, 0.482869, 0.614000, 0.786431, , 
484334, 57061, 655338, 74839, 0.94, 0.482581, 0.613919, 0.786067, , 
484299, 57054, 655257, 74818, 0.98, 0.482478, 0.613603, 0.786304, , 
484276, 57037, 655204, 74824, 1.02, 0.481966, 0.613927, 0.785053, , 
484342, 57038, 655272, 74834, 1.06, 0.481723, 0.613987, 0.784580, , 
484250, 57015, 655135, 74830, 1.10, 0.481286, 0.614301, 0.783469, , 
484263, 57009, 655137, 74828, 1.14, 0.481016, 0.614241, 0.783106, , 
484511, 57052, 655442, 74825, 1.18, 0.481511, 0.613222, 0.785214, , 
484658, 57077, 655612, 74812, 1.22, 0.481787, 0.612349, 0.786784, , 
484746, 57082, 655719, 74821, 1.26, 0.481594, 0.612263, 0.786581, , 
484794, 57083, 655766, 74827, 1.30, 0.481428, 0.612280, 0.786287, , 
484814, 57073, 655787, 74836, 1.34, 0.480985, 0.612458, 0.785335, , 
484865, 57084, 655888, 74810, 1.38, 0.481164, 0.611447, 0.786926, , 
484870, 57064, 655891, 74834, 1.42, 0.480426, 0.612084, 0.784901, , 
484912, 57056, 655947, 74851, 1.46, 0.479962, 0.612370, 0.783777, , 
484921, 57063, 655949, 74819, 1.50, 0.480175, 0.611502, 0.785238, , 
484955, 57067, 655975, 74805, 1.54, 0.480175, 0.611045, 0.785825, , 
484907, 57044, 655907, 74827, 1.58, 0.479552, 0.611847, 0.783779, , 
485079, 57072, 656117, 74820, 1.62, 0.479831, 0.611013, 0.785304, , 
485082, 57067, 656107, 74823, 1.66, 0.479639, 0.611124, 0.784847, , 
485093, 57054, 656121, 74842, 1.70, 0.479126, 0.611593, 0.783407, , 
485153, 57059, 656204, 74851, 1.74, 0.479053, 0.611580, 0.783302, , 
485206, 57064, 656251, 74849, 1.78, 0.479008, 0.611382, 0.783484, , 
485275, 57069, 656340, 74862, 1.82, 0.478897, 0.611459, 0.783203, , 
485329, 57072, 656408, 74870, 1.86, 0.478777, 0.611466, 0.782998, , 
485440, 57108, 656557, 74837, 1.90, 0.479599, 0.610119, 0.786074, , 
485275, 57073, 656347, 74838, 1.94, 0.479040, 0.610791, 0.784294, , 
485298, 57068, 656368, 74848, 1.98, 0.478764, 0.610996, 0.783579, , 
485393, 57083, 656464, 74844, 2.02, 0.478901, 0.610594, 0.784321, , 
485223, 57058, 656225, 74817, 2.06, 0.478721, 0.610600, 0.784018, , 
485333, 57066, 656366, 74839, 2.10, 0.478545, 0.610760, 0.783523, , 
485331, 57061, 656350, 74839, 2.14, 0.478374, 0.610809, 0.783181, , 
485389, 57057, 656436, 74867, 2.19, 0.477986, 0.611299, 0.781918, , 
485272, 57042, 656265, 74844, 2.23, 0.477941, 0.611205, 0.781966, , 
485173, 57020, 656132, 74842, 2.26, 0.477569, 0.611559, 0.780904, , 
485090, 57009, 656012, 74823, 2.31, 0.477524, 0.611416, 0.781014, , 
485194, 57008, 656155, 74863, 2.35, 0.477050, 0.612054, 0.779424, , 
485114, 56995, 656042, 74857, 2.38, 0.476921, 0.612240, 0.778977, , 
484938, 56973, 655794, 74827, 2.42, 0.476873, 0.612194, 0.778958, , 
484990, 56967, 655866, 74850, 2.46, 0.476438, 0.612592, 0.777742, , 
485040, 56970, 655930, 74861, 2.51, 0.476335, 0.612692, 0.777447, , 
485206, 57010, 656122, 74838, 2.55, 0.477071, 0.611482, 0.780188, , 
485070, 56973, 655959, 74856, 2.58, 0.476316, 0.612468, 0.777700, , 
485075, 56980, 655950, 74838, 2.63, 0.476547, 0.612011, 0.778657, , 
485217, 56998, 656133, 74854, 2.67, 0.476594, 0.611879, 0.778902, , 
485141, 56992, 656020, 74826, 2.71, 0.476699, 0.611472, 0.779592, , 
485136, 56969, 656024, 74867, 2.75, 0.475894, 0.612564, 0.776889, , 
485285, 56987, 656228, 74889, 2.79, 0.475912, 0.612530, 0.776962, , 
485170, 56981, 656063, 74846, 2.83, 0.476182, 0.611879, 0.778229, , 
485151, 56992, 656016, 74804, 2.87, 0.476657, 0.610892, 0.780264, , 
485164, 56979, 656047, 74835, 2.91, 0.476135, 0.611632, 0.778467, , 
485296, 56996, 656222, 74853, 2.95, 0.476189, 0.611579, 0.778622, , 
485307, 56992, 656227, 74858, 2.99, 0.475999, 0.611698, 0.778160, , 
485332, 56988, 656278, 74870, 3.03, 0.475750, 0.611865, 0.777541, , 
485498, 57020, 656480, 74863, 3.07, 0.476199, 0.611056, 0.779305, , 
485605, 57040, 656618, 74860, 3.11, 0.476466, 0.610552, 0.780386, , 
485559, 57032, 656555, 74853, 3.15, 0.476373, 0.610557, 0.780227, , 
485562, 57028, 656564, 74859, 3.19, 0.476216, 0.610690, 0.779800, , 
485719, 57054, 656759, 74863, 3.23, 0.476488, 0.610200, 0.780872, , 
485722, 57058, 656760, 74848, 3.27, 0.476618, 0.609793, 0.781607, , 
485732, 57051, 656774, 74862, 3.31, 0.476325, 0.610127, 0.780699, , 
485659, 57048, 656663, 74838, 3.35, 0.476525, 0.609821, 0.781418, , 
485637, 57035, 656636, 74844, 3.39, 0.476151, 0.610065, 0.780492, , 
485651, 57033, 656647, 74847, 3.43, 0.476021, 0.610113, 0.780218, , 
485669, 57044, 656670, 74838, 3.47, 0.476340, 0.609800, 0.781141, , 
485611, 57026, 656601, 74844, 3.51, 0.475938, 0.610173, 0.780005, , 
485801, 57061, 656839, 74850, 3.55, 0.476393, 0.609604, 0.781480, , 
485688, 57042, 656683, 74836, 3.59, 0.476188, 0.609706, 0.781012, , 
485610, 57025, 656589, 74840, 3.63, 0.475906, 0.610102, 0.780044, , 
485753, 57041, 656776, 74853, 3.67, 0.475878, 0.609878, 0.780284, , 
485800, 57044, 656846, 74867, 3.71, 0.475788, 0.610040, 0.779928, , 
485571, 57013, 656529, 74834, 3.75, 0.475640, 0.610125, 0.779579, , 
485713, 57024, 656732, 74870, 3.79, 0.475437, 0.610471, 0.778803, , 
485780, 57026, 656825, 74888, 3.83, 0.475226, 0.610670, 0.778205, , 
485934, 57042, 657027, 74910, 3.87, 0.475152, 0.610642, 0.778118, , 
485803, 57034, 656839, 74862, 3.91, 0.475416, 0.609927, 0.779464, , 
485821, 57025, 656870, 74886, 3.95, 0.475018, 0.610478, 0.778108, , 
485838, 57035, 656880, 74874, 3.99, 0.475305, 0.610124, 0.779029, , 
485979, 57062, 657072, 74868, 4.03, 0.475679, 0.609374, 0.780604, , 
485825, 57033, 656896, 74875, 4.07, 0.475288, 0.610102, 0.779030, , 
