FlowCell Text Data File: 181017_setA_mat1_s5.csv
Software Version: 1.46A
Date: 2018-10-17
Time: 13:48:05
User: culviner

Experiment name: 181017_setA_maturation_1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 691917
Source A Zero: 58376.9
Sample B Zero: 989106.6
Source B Zero: 75361.9

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
529988, 58063, 738223, 75202, 0.00, 0.534485, 0.585396, 0.913031, 0, 0.208
529988, 58063, 738223, 75202, 0.00, 0.534485, 0.585396, 0.913031, 0, 0.208
530088, 58068, 738335, 75210, 0.00, 0.534275, 0.585305, 0.912815, , 
530165, 58076, 738433, 75204, 0.00, 0.534260, 0.584876, 0.913457, , 
530221, 58087, 738516, 75211, 0.00, 0.534431, 0.584838, 0.913811, , 
530509, 58099, 739324, 75211, 0.02, 0.533742, 0.582633, 0.916086, , 
530501, 58116, 739390, 75208, 0.06, 0.534372, 0.582373, 0.917577, , 
456504, 58157, 468790, 75197, 0.10, 0.843190, 1.500531, 0.561928, , 
153345, 58135, 317845, 75201, 0.14, 3.074531, 2.283884, 1.346185, , 
483360, 58107, 705156, 75201, 0.18, 0.724466, 0.677738, 1.068947, , 
531697, 58116, 732269, 75186, 0.22, 0.529764, 0.601290, 0.881047, , 
531818, 58126, 732708, 75173, 0.26, 0.529651, 0.599733, 0.883144, , 
531848, 58103, 732906, 75186, 0.30, 0.528726, 0.599537, 0.881890, , 
532043, 58116, 733308, 75200, 0.34, 0.528433, 0.598807, 0.882477, , 
532114, 58111, 733547, 75207, 0.38, 0.527984, 0.598338, 0.882418, , 
532115, 58100, 733679, 75212, 0.42, 0.527593, 0.598109, 0.882101, , 
532209, 58120, 733894, 75197, 0.46, 0.527936, 0.597117, 0.884142, , 
532333, 58121, 734128, 75217, 0.50, 0.527494, 0.597010, 0.883560, , 
532307, 58110, 734142, 75207, 0.54, 0.527207, 0.596704, 0.883532, , 
532311, 58099, 734194, 75217, 0.58, 0.526804, 0.596829, 0.882672, , 
532425, 58116, 734374, 75210, 0.62, 0.526965, 0.596147, 0.883951, , 
532429, 58109, 734421, 75214, 0.66, 0.526703, 0.596125, 0.883544, , 
532518, 58127, 734553, 75193, 0.70, 0.526995, 0.595200, 0.885407, , 
532371, 58089, 734375, 75202, 0.74, 0.526221, 0.595930, 0.883025, , 
532385, 58095, 734393, 75185, 0.78, 0.526379, 0.595425, 0.884039, , 
532276, 58068, 734264, 75185, 0.82, 0.525847, 0.595779, 0.882620, , 
532385, 58084, 734399, 75176, 0.86, 0.525991, 0.595167, 0.883771, , 
532371, 58069, 734407, 75188, 0.90, 0.525517, 0.595467, 0.882529, , 
532352, 58068, 734391, 75183, 0.94, 0.525555, 0.595377, 0.882726, , 
532306, 58049, 734340, 75191, 0.98, 0.525062, 0.595731, 0.881374, , 
532573, 58078, 734713, 75216, 1.02, 0.525058, 0.595378, 0.881890, , 
532542, 58078, 734662, 75199, 1.06, 0.525177, 0.595062, 0.882558, , 
532507, 58062, 734630, 75207, 1.10, 0.524747, 0.595364, 0.881389, , 
532541, 58072, 734672, 75189, 1.14, 0.524969, 0.594767, 0.882647, , 
532715, 58095, 734896, 75198, 1.18, 0.525111, 0.594393, 0.883440, , 
