FlowCell Text Data File: 181025_setA_mat2_s5.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 11:21:04
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 674892
Source A Zero: 57784.6
Sample B Zero: 964964.6
Source B Zero: 75220.1

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
544737, 57783, 741454, 75236, 0.00, 0.438322, 0.531494, 0.824699, , 
505797, 57734, 698983, 75229, 0.09, 0.588342, 0.650200, 0.904862, , 
515395, 57755, 703467, 75244, 0.13, 0.550623, 0.637713, 0.863433, , 
528372, 57744, 721067, 75233, 0.17, 0.499352, 0.587611, 0.849801, , 
529283, 57755, 722236, 75257, 0.21, 0.496217, 0.584988, 0.848251, , 
529312, 57737, 722313, 75257, 0.25, 0.495467, 0.584774, 0.847281, , 
529416, 57738, 722388, 75234, 0.29, 0.495101, 0.583948, 0.847851, , 
529780, 57753, 722852, 75241, 0.34, 0.494226, 0.582841, 0.847960, , 
529246, 57749, 722172, 75228, 0.38, 0.496148, 0.584390, 0.849001, , 
529756, 57748, 723617, 75231, 0.41, 0.494142, 0.580442, 0.851320, , 
530910, 57753, 725995, 75221, 0.45, 0.489866, 0.573561, 0.854079, , 
531444, 57725, 721501, 75211, 0.49, 0.486817, 0.585808, 0.831018, , 
307961, 57723, 360176, 75215, 0.53, 1.603154, 1.986239, 0.807130, , 
388683, 57755, 613229, 75251, 0.58, 1.127972, 0.914608, 1.233285, , 
522318, 57748, 718248, 75237, 0.62, 0.523073, 0.595613, 0.878210, , 
525149, 57742, 720528, 75229, 0.66, 0.511801, 0.589011, 0.868916, , 
526248, 57723, 722003, 75237, 0.69, 0.506850, 0.585103, 0.866257, , 
526853, 57720, 723163, 75223, 0.74, 0.504392, 0.581492, 0.867411, , 
527032, 57726, 723582, 75250, 0.78, 0.503910, 0.581048, 0.867243, , 
527467, 57780, 724131, 75234, 0.81, 0.504135, 0.579091, 0.870563, , 
527352, 57823, 723589, 75228, 0.86, 0.506103, 0.580439, 0.871932, , 
527675, 57823, 724035, 75239, 0.90, 0.504851, 0.579492, 0.871195, , 
527859, 57813, 724931, 75242, 0.94, 0.503783, 0.577079, 0.872988, , 
504493, 57827, 617748, 75253, 0.97, 0.596917, 0.899863, 0.663342, , 
166456, 57829, 280367, 75214, 1.02, 2.865760, 2.491108, 1.150396, , 
365957, 57815, 527235, 75226, 1.06, 1.253371, 1.218480, 1.028635, , 
402334, 57817, 562494, 75240, 1.10, 1.059539, 1.088377, 0.973504, , 
410789, 57803, 571824, 75271, 1.14, 1.016490, 1.056049, 0.962541, , 
415734, 57783, 577621, 75259, 1.18, 0.991298, 1.035397, 0.957409, , 
419054, 57772, 581587, 75284, 1.22, 0.974634, 1.022274, 0.953398, , 
421418, 57757, 584577, 75284, 1.26, 0.962592, 1.011938, 0.951236, , 
423682, 57735, 587530, 75247, 1.30, 0.950850, 1.000791, 0.950098, , 
427554, 57750, 594534, 75277, 1.34, 0.932767, 0.977709, 0.954034, , 
432332, 57739, 599895, 75284, 1.38, 0.909638, 0.959802, 0.947735, , 
472945, 57716, 640338, 75284, 1.42, 0.725113, 0.828301, 0.875422, , 
510055, 57716, 700824, 75271, 1.46, 0.570551, 0.646023, 0.883174, , 
479017, 57727, 572827, 75286, 1.50, 0.699400, 1.052918, 0.664250, , 
205688, 57752, 353723, 75303, 1.54, 2.430017, 2.025035, 1.199987, , 
496742, 57761, 685995, 75265, 1.58, 0.626260, 0.688969, 0.908982, , 
507879, 57761, 695772, 75260, 1.62, 0.580893, 0.660311, 0.879726, , 
508699, 57783, 695297, 75281, 1.66, 0.578372, 0.662250, 0.873343, , 
508993, 57796, 695801, 75255, 1.70, 0.577650, 0.660093, 0.875103, , 
509138, 57773, 696161, 75252, 1.74, 0.576252, 0.658970, 0.874474, , 
509176, 57744, 696363, 75249, 1.78, 0.575072, 0.658305, 0.873565, , 
