FlowCell Text Data File: 181025_setA_mat2_s4.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 11:06:31
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 674892
Source A Zero: 57784.6
Sample B Zero: 964964.6
Source B Zero: 75220.1

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
514468, 57686, 672784, 75232, 0.00, 0.551860, 0.727281, 0.758799, 0, 0.209
514468, 57686, 672784, 75232, 0.00, 0.551860, 0.727281, 0.758799, 0, 0.209
514422, 57684, 672730, 75220, 0.00, 0.551972, 0.727121, 0.759120, , 
514581, 57708, 672932, 75229, 0.00, 0.552191, 0.726757, 0.759801, , 
513920, 57661, 671811, 75233, 0.00, 0.553154, 0.730225, 0.757512, , 
513810, 57675, 671532, 75205, 0.02, 0.554089, 0.730312, 0.758701, , 
464447, 57697, 491939, 75216, 0.06, 0.761538, 1.357877, 0.560830, , 
476211, 57692, 603903, 75206, 0.10, 0.710181, 0.944291, 0.752078, , 
504534, 57728, 642219, 75215, 0.14, 0.593245, 0.820541, 0.722992, , 
505702, 57702, 648226, 75227, 0.18, 0.587592, 0.802097, 0.732569, , 
506342, 57704, 651366, 75237, 0.22, 0.585075, 0.792625, 0.738148, , 
506642, 57706, 653218, 75221, 0.26, 0.583934, 0.786474, 0.742471, , 
506856, 57693, 654437, 75229, 0.30, 0.582609, 0.782930, 0.744139, , 
507026, 57680, 655525, 75235, 0.34, 0.581461, 0.779743, 0.745709, , 
507348, 57709, 656808, 75222, 0.38, 0.581191, 0.775453, 0.749485, , 
507410, 57690, 657658, 75222, 0.42, 0.580267, 0.772846, 0.750818, , 
507632, 57700, 658663, 75240, 0.46, 0.579727, 0.770251, 0.752647, , 
507817, 57716, 659375, 75241, 0.50, 0.579548, 0.768100, 0.754522, , 
507976, 57706, 659961, 75276, 0.54, 0.578553, 0.767247, 0.754064, , 
507949, 57693, 660307, 75262, 0.58, 0.578201, 0.765815, 0.755013, , 
508173, 57717, 661001, 75269, 0.62, 0.578150, 0.763886, 0.756854, , 
508415, 57755, 661638, 75243, 0.66, 0.578522, 0.761248, 0.759966, , 
508568, 57767, 662125, 75247, 0.70, 0.578332, 0.759872, 0.761091, , 
508481, 57727, 662307, 75266, 0.74, 0.577265, 0.759827, 0.759732, , 
508425, 57720, 662470, 75231, 0.78, 0.577242, 0.758393, 0.761138, , 
508437, 57704, 662743, 75246, 0.82, 0.576626, 0.757965, 0.760756, , 
508369, 57693, 662907, 75229, 0.86, 0.576510, 0.757011, 0.761561, , 
508294, 57681, 662998, 75209, 0.90, 0.576386, 0.756198, 0.762216, , 
508203, 57655, 663093, 75214, 0.94, 0.575830, 0.756043, 0.761636, , 
508486, 57687, 663613, 75253, 0.98, 0.575826, 0.755508, 0.762171, , 
508331, 57652, 663588, 75255, 1.02, 0.575208, 0.755637, 0.761222, , 
508533, 57678, 664016, 75270, 1.06, 0.575318, 0.754740, 0.762273, , 
508376, 57659, 663957, 75242, 1.10, 0.575276, 0.754169, 0.762794, , 
508537, 57676, 664344, 75256, 1.14, 0.575231, 0.753369, 0.763544, , 
508717, 57698, 664754, 75272, 1.18, 0.575287, 0.752554, 0.764446, , 
508718, 57703, 664888, 75257, 1.22, 0.575460, 0.751746, 0.765498, , 
508733, 57721, 665033, 75218, 1.26, 0.576038, 0.750262, 0.767783, , 
508813, 57727, 665263, 75234, 1.30, 0.575929, 0.749994, 0.767912, , 
508837, 57729, 665406, 75234, 1.34, 0.575903, 0.749560, 0.768322, , 
508925, 57738, 665687, 75235, 1.38, 0.575869, 0.748736, 0.769121, , 
508886, 57725, 665766, 75241, 1.42, 0.575565, 0.748658, 0.768795, , 
508886, 57727, 665868, 75223, 1.46, 0.575636, 0.747867, 0.769703, , 
508796, 57706, 665855, 75231, 1.50, 0.575253, 0.748120, 0.768931, , 
508689, 57677, 665830, 75244, 1.54, 0.574655, 0.748544, 0.767696, , 
508933, 57706, 666239, 75269, 1.58, 0.574702, 0.747976, 0.768343, , 
508993, 57731, 666404, 75234, 1.62, 0.575347, 0.746540, 0.770685, , 
509024, 57735, 666545, 75235, 1.66, 0.575364, 0.746140, 0.771121, , 
509250, 57766, 666922, 75248, 1.70, 0.575554, 0.745349, 0.772195, , 
509120, 57750, 666841, 75234, 1.74, 0.575510, 0.745218, 0.772270, , 
509003, 57724, 666768, 75240, 1.78, 0.575059, 0.745600, 0.771270, , 
509018, 57728, 666868, 75243, 1.82, 0.575140, 0.745378, 0.771609, , 
508840, 57686, 666754, 75260, 1.86, 0.574367, 0.746178, 0.769745, , 
508708, 57670, 666662, 75244, 1.90, 0.574330, 0.746027, 0.769851, , 
508690, 57666, 666695, 75237, 1.94, 0.574261, 0.745740, 0.770055, , 
508714, 57673, 666790, 75229, 1.99, 0.574412, 0.745238, 0.770777, , 
508741, 57682, 666889, 75218, 2.03, 0.574623, 0.744644, 0.771674, , 
508902, 57700, 667206, 75246, 2.07, 0.574614, 0.744437, 0.771877, , 
508849, 57679, 667258, 75262, 2.11, 0.574082, 0.744708, 0.770882, , 
508969, 57706, 667491, 75253, 2.14, 0.574557, 0.743764, 0.772500, , 
