FlowCell Text Data File: 181103_setA_ribodeg_s4.csv
Software Version: 1.46A
Date: 2018-11-03
Time: 12:25:39
User: culviner

Experiment name: 181103_setA_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 681051
Source A Zero: 57266.4
Sample B Zero: 974534.4
Source B Zero: 75822.8

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
502217, 56759, 682251, 75368, 0.00, 0.605046, 0.706563, 0.856323, , 
504318, 56795, 686878, 75360, 0.09, 0.597802, 0.692726, 0.862970, , 
504406, 56781, 686738, 75321, 0.13, 0.596940, 0.692093, 0.862514, , 
504541, 56764, 686774, 75341, 0.17, 0.595780, 0.692523, 0.860304, , 
504692, 56773, 686974, 75364, 0.21, 0.595492, 0.692551, 0.859853, , 
504714, 56769, 687011, 75354, 0.25, 0.595259, 0.692175, 0.859983, , 
504805, 56777, 687143, 75365, 0.29, 0.595178, 0.692082, 0.859982, , 
504675, 56757, 686975, 75344, 0.33, 0.594984, 0.692013, 0.859788, , 
504639, 56753, 686919, 75327, 0.37, 0.594986, 0.691723, 0.860151, , 
504823, 56772, 687181, 75348, 0.41, 0.594925, 0.691516, 0.860320, , 
504914, 56790, 687289, 75334, 0.45, 0.595205, 0.690825, 0.861586, , 
504834, 56771, 687201, 75342, 0.49, 0.594845, 0.691297, 0.860477, , 
504912, 56790, 687304, 75335, 0.53, 0.595213, 0.690807, 0.861620, , 
504860, 56781, 687250, 75329, 0.57, 0.595100, 0.690805, 0.861458, , 
504873, 56781, 687291, 75330, 0.61, 0.595047, 0.690712, 0.861498, , 
504958, 56787, 687408, 75349, 0.65, 0.594919, 0.690877, 0.861107, , 
504935, 56782, 687387, 75345, 0.69, 0.594832, 0.690831, 0.861037, , 
504921, 56782, 687368, 75333, 0.73, 0.594888, 0.690566, 0.861450, , 
505086, 56798, 687586, 75355, 0.77, 0.594796, 0.690516, 0.861380, , 
505302, 56833, 687873, 75353, 0.81, 0.595182, 0.689621, 0.863057, , 
505285, 56830, 687860, 75355, 0.85, 0.595143, 0.689712, 0.862885, , 
505257, 56832, 687813, 75331, 0.89, 0.595328, 0.689208, 0.863786, , 
505531, 56874, 688179, 75346, 0.93, 0.595730, 0.688537, 0.865212, , 
505390, 56835, 688017, 75375, 0.97, 0.594898, 0.689787, 0.862436, , 
505428, 56850, 688056, 75350, 1.02, 0.595284, 0.689004, 0.863977, , 
505303, 56844, 687907, 75313, 1.06, 0.595574, 0.688451, 0.865093, , 
505473, 56857, 688153, 75349, 1.09, 0.595354, 0.688694, 0.864468, , 
505495, 56855, 688191, 75351, 1.13, 0.595193, 0.688636, 0.864307, , 
505396, 56841, 688065, 75327, 1.17, 0.595089, 0.688363, 0.864500, , 
505451, 56835, 688175, 75353, 1.22, 0.594651, 0.688736, 0.863394, , 
505358, 56823, 688061, 75337, 1.26, 0.594595, 0.688642, 0.863431, , 
505385, 56824, 688109, 75338, 1.29, 0.594522, 0.688528, 0.863468, , 
505222, 56785, 687908, 75353, 1.33, 0.593777, 0.689518, 0.861148, , 
505216, 56792, 687893, 75328, 1.38, 0.594054, 0.688893, 0.862330, , 
505406, 56818, 688154, 75344, 1.42, 0.594221, 0.688557, 0.862995, , 
505559, 56837, 688363, 75352, 1.46, 0.594286, 0.688159, 0.863588, , 
505346, 56809, 688090, 75328, 1.50, 0.594140, 0.688316, 0.863178, , 
505197, 56788, 687896, 75308, 1.53, 0.593986, 0.688349, 0.862914, , 
505392, 56806, 688158, 75339, 1.57, 0.593845, 0.688411, 0.862631, , 
505365, 56800, 688126, 75339, 1.62, 0.593739, 0.688505, 0.862359, , 
505515, 56825, 688330, 75341, 1.66, 0.594032, 0.687961, 0.863467, , 
505539, 56832, 688361, 75330, 1.70, 0.594187, 0.687576, 0.864176, , 
505401, 56805, 688182, 75328, 1.74, 0.593773, 0.688047, 0.862983, , 
505234, 56778, 687967, 75319, 1.78, 0.593476, 0.688436, 0.862065, , 
505434, 56805, 688227, 75334, 1.82, 0.593639, 0.688076, 0.862753, , 
505389, 56801, 688168, 75326, 1.86, 0.593677, 0.688034, 0.862860, , 
505517, 56813, 688347, 75348, 1.90, 0.593591, 0.688099, 0.862654, , 
505631, 56815, 688520, 75383, 1.94, 0.593202, 0.688528, 0.861551, , 
505475, 56801, 688292, 75345, 1.98, 0.593329, 0.688180, 0.862172, , 
505553, 56815, 688397, 75346, 2.02, 0.593518, 0.687899, 0.862798, , 
505454, 56791, 688272, 75353, 2.06, 0.593054, 0.688452, 0.861431, , 
505469, 56791, 688293, 75357, 2.10, 0.592993, 0.688498, 0.861286, , 
505418, 56789, 688212, 75335, 2.14, 0.593128, 0.688146, 0.861921, , 
505518, 56802, 688355, 75346, 2.18, 0.593191, 0.688022, 0.862169, , 
505538, 56799, 688386, 75353, 2.22, 0.593002, 0.688118, 0.861774, , 
