FlowCell Text Data File: 181019_setB_mat1_s2.csv
Software Version: 1.46A
Date: 2018-10-19
Time: 12:08:44
User: culviner

Experiment name: 181019_setB_mat1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695947
Source A Zero: 58063.5
Sample B Zero: 991880.7
Source B Zero: 75085.6

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
556563, 57858, 763818, 75051, 0.00, 0.450037, 0.525695, 0.856079, , 
556693, 57884, 763983, 75042, 0.00, 0.450478, 0.525018, 0.858024, , 
556670, 57881, 763944, 75040, 0.02, 0.450456, 0.525067, 0.857903, , 
556851, 57922, 764170, 75023, 0.06, 0.451240, 0.524014, 0.861122, , 
557092, 57947, 764505, 75058, 0.10, 0.451238, 0.524071, 0.861024, , 
557028, 57943, 764408, 75041, 0.14, 0.451332, 0.523870, 0.861534, , 
556826, 57925, 764121, 75006, 0.18, 0.451438, 0.523687, 0.862038, , 
556678, 57889, 763958, 75036, 0.22, 0.450710, 0.524923, 0.858622, , 
556892, 57930, 764225, 75028, 0.26, 0.451372, 0.524003, 0.861392, , 
556771, 57914, 764061, 75013, 0.30, 0.451251, 0.524033, 0.861113, , 
556778, 57912, 764075, 75026, 0.34, 0.451155, 0.524345, 0.860416, , 
556741, 57894, 764030, 75044, 0.38, 0.450655, 0.524948, 0.858476, , 
556507, 57850, 763742, 75058, 0.42, 0.449960, 0.526083, 0.855301, , 
556613, 57860, 763892, 75078, 0.46, 0.449923, 0.526225, 0.855003, , 
556609, 57858, 763889, 75079, 0.50, 0.449867, 0.526259, 0.854840, , 
556868, 57884, 764245, 75116, 0.54, 0.449835, 0.526313, 0.854690, , 
556709, 57876, 764024, 75077, 0.58, 0.450136, 0.525850, 0.856017, , 
556782, 57900, 764090, 75051, 0.62, 0.450716, 0.524977, 0.858545, , 
556706, 57888, 763996, 75053, 0.66, 0.450572, 0.525279, 0.857776, , 
556714, 57896, 764002, 75034, 0.70, 0.450825, 0.524753, 0.859119, , 
556721, 57897, 764010, 75038, 0.74, 0.450835, 0.524839, 0.858996, , 
556659, 57884, 763932, 75042, 0.78, 0.450603, 0.525152, 0.858042, , 
556691, 57878, 763988, 75065, 0.82, 0.450273, 0.525622, 0.856648, , 
556561, 57860, 763819, 75064, 0.86, 0.450115, 0.526041, 0.855664, , 
556678, 57878, 763973, 75060, 0.90, 0.450321, 0.525528, 0.856893, , 
556674, 57875, 763971, 75068, 0.94, 0.450230, 0.525748, 0.856361, , 
556493, 57855, 763727, 75047, 0.98, 0.450188, 0.525828, 0.856151, , 
556707, 57894, 764005, 75043, 1.02, 0.450780, 0.524987, 0.858650, , 
556867, 57911, 764208, 75059, 1.06, 0.450793, 0.524881, 0.858848, , 
556907, 57913, 764272, 75070, 1.10, 0.450716, 0.525007, 0.858495, , 
556890, 57930, 764223, 75033, 1.14, 0.451379, 0.524143, 0.861176, , 
557026, 57952, 764395, 75027, 1.18, 0.451657, 0.523528, 0.862717, , 
557029, 57943, 764419, 75056, 1.22, 0.451328, 0.524244, 0.860912, , 
556853, 57913, 764192, 75056, 1.27, 0.450915, 0.524842, 0.859143, , 
556924, 57927, 764288, 75053, 1.31, 0.451149, 0.524509, 0.860135, , 
557034, 57939, 764430, 75067, 1.34, 0.451168, 0.524510, 0.860171, , 
556865, 57899, 764225, 75089, 1.39, 0.450376, 0.525641, 0.856812, , 
556938, 57930, 764307, 75054, 1.43, 0.451203, 0.524485, 0.860278, , 
556987, 57923, 764380, 75083, 1.46, 0.450776, 0.525072, 0.858503, , 
556895, 57905, 764271, 75093, 1.51, 0.450478, 0.525628, 0.857029, , 
556829, 57899, 764179, 75081, 1.55, 0.450508, 0.525548, 0.857216, , 
556690, 57883, 763992, 75066, 1.59, 0.450454, 0.525639, 0.856965, , 
