FlowCell Text Data File: 181025_setB_mat2_s2.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 13:59:16
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695096
Source A Zero: 57723.1
Sample B Zero: 989397.5
Source B Zero: 75232.5

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
528029, 57580, 718931, 75133, 0.00, 0.557396, 0.640978, 0.869602, , 
480336, 57556, 693526, 75125, 0.09, 0.750238, 0.713278, 1.051817, , 
519937, 57596, 704579, 75157, 0.14, 0.589563, 0.682266, 0.864125, , 
519887, 57590, 703758, 75164, 0.18, 0.589547, 0.684804, 0.860899, , 
519819, 57601, 704275, 75139, 0.22, 0.590205, 0.682653, 0.864576, , 
520006, 57615, 704848, 75155, 0.25, 0.589967, 0.681443, 0.865761, , 
520199, 57629, 705283, 75152, 0.29, 0.589704, 0.680119, 0.867061, , 
520037, 57620, 705332, 75108, 0.33, 0.590022, 0.678799, 0.869215, , 
520188, 57639, 705872, 75144, 0.38, 0.590103, 0.678222, 0.870073, , 
520154, 57631, 706078, 75158, 0.41, 0.589952, 0.678009, 0.870124, , 
520111, 57620, 706266, 75172, 0.46, 0.589731, 0.677848, 0.870005, , 
520103, 57614, 706485, 75184, 0.50, 0.589549, 0.677545, 0.870126, , 
520215, 57645, 706820, 75159, 0.53, 0.590210, 0.675919, 0.873195, , 
520170, 57626, 706943, 75180, 0.58, 0.589712, 0.676131, 0.872185, , 
520052, 57588, 706928, 75208, 0.62, 0.588827, 0.676925, 0.869855, , 
520170, 57562, 706804, 75206, 0.66, 0.587438, 0.677225, 0.867420, , 
520354, 57564, 706773, 75179, 0.70, 0.586786, 0.676589, 0.867270, , 
520698, 57607, 707292, 75184, 0.74, 0.586961, 0.675244, 0.869258, , 
520826, 57610, 707549, 75181, 0.78, 0.586565, 0.674431, 0.869718, , 
520805, 57575, 707481, 75192, 0.82, 0.585404, 0.674920, 0.867368, , 
520869, 57592, 707629, 75162, 0.86, 0.585757, 0.673694, 0.869470, , 
520731, 57564, 707540, 75163, 0.90, 0.585304, 0.673974, 0.868437, , 
520919, 57585, 707797, 75159, 0.94, 0.585312, 0.673135, 0.869531, , 
521205, 57611, 708206, 75188, 0.98, 0.585112, 0.672748, 0.869734, , 
520805, 57534, 707576, 75149, 1.02, 0.583947, 0.673496, 0.867038, , 
520921, 57539, 707726, 75145, 1.06, 0.583669, 0.672962, 0.867313, , 
521199, 57567, 707992, 75154, 1.10, 0.583572, 0.672446, 0.867836, , 
521309, 57556, 707895, 75141, 1.14, 0.582750, 0.672373, 0.866706, , 
521517, 57558, 708056, 75163, 1.18, 0.582005, 0.672505, 0.865428, , 
522119, 57610, 708640, 75176, 1.22, 0.581492, 0.671192, 0.866357, , 
522274, 57556, 708478, 75180, 1.26, 0.578966, 0.671760, 0.861864, , 
522423, 57543, 708501, 75162, 1.30, 0.577920, 0.671212, 0.861010, , 
522570, 57543, 708642, 75178, 1.34, 0.577344, 0.671240, 0.860116, , 
522762, 57571, 708850, 75159, 1.38, 0.577588, 0.670139, 0.861893, , 
522706, 57553, 708765, 75161, 1.42, 0.577167, 0.670434, 0.860886, , 
523048, 57598, 709207, 75174, 1.46, 0.577428, 0.669526, 0.862443, , 
523019, 57591, 709193, 75170, 1.50, 0.577293, 0.669458, 0.862328, , 
522987, 57591, 709192, 75161, 1.54, 0.577418, 0.669220, 0.862822, , 
522971, 57591, 709173, 75146, 1.58, 0.577481, 0.668872, 0.863365, , 
523125, 57616, 709369, 75137, 1.62, 0.577766, 0.668073, 0.864825, , 
523283, 57624, 709591, 75168, 1.66, 0.577432, 0.668274, 0.864065, , 
523038, 57589, 709290, 75140, 1.70, 0.577147, 0.668378, 0.863504, , 
523178, 57604, 709473, 75149, 1.74, 0.577133, 0.668100, 0.863842, , 
523195, 57589, 709514, 75180, 1.78, 0.576533, 0.668814, 0.862023, , 
523101, 57577, 709411, 75160, 1.82, 0.576475, 0.668571, 0.862249, , 
522964, 57551, 709251, 75160, 1.86, 0.576086, 0.669025, 0.861083, , 
522946, 57547, 709247, 75158, 1.90, 0.576015, 0.668983, 0.861030, , 
523104, 57564, 709467, 75168, 1.94, 0.576001, 0.668626, 0.861469, , 
522959, 57544, 709284, 75156, 1.98, 0.575857, 0.668824, 0.860999, , 
522990, 57556, 709332, 75131, 2.02, 0.576162, 0.668017, 0.862496, , 
523055, 57557, 709464, 75147, 2.06, 0.575944, 0.668072, 0.862099, , 
523114, 57557, 709570, 75150, 2.10, 0.575713, 0.667851, 0.862038, , 
523154, 57561, 709620, 75145, 2.14, 0.575699, 0.667575, 0.862373, , 
523151, 57562, 709604, 75128, 2.18, 0.575746, 0.667164, 0.862975, , 
523105, 57543, 709557, 75138, 2.22, 0.575250, 0.667566, 0.861713, , 
523073, 57543, 709500, 75119, 2.26, 0.575376, 0.667218, 0.862350, , 
523284, 57568, 709781, 75134, 2.30, 0.575439, 0.666822, 0.862957, , 
523358, 57577, 709906, 75138, 2.34, 0.575470, 0.666575, 0.863323, , 
523408, 57578, 709975, 75158, 2.38, 0.575310, 0.666915, 0.862643, , 
523394, 57565, 709973, 75172, 2.42, 0.574902, 0.667296, 0.861540, , 
523429, 57582, 710009, 75145, 2.46, 0.575370, 0.666470, 0.863309, , 
523286, 57558, 709844, 75140, 2.50, 0.575076, 0.666805, 0.862435, , 
523192, 57545, 709715, 75131, 2.54, 0.574981, 0.666929, 0.862132, , 
523161, 57537, 709696, 75133, 2.58, 0.574818, 0.667037, 0.861748, , 
523208, 57534, 709788, 75165, 2.62, 0.574527, 0.667634, 0.860542, , 
523287, 57552, 709892, 75157, 2.67, 0.574859, 0.667124, 0.861697, , 
523381, 57568, 710027, 75167, 2.70, 0.575060, 0.667009, 0.862147, , 
523297, 57542, 709937, 75179, 2.75, 0.574464, 0.667586, 0.860509, , 
523414, 57564, 710058, 75169, 2.78, 0.574789, 0.666975, 0.861785, , 
523425, 57562, 710073, 75178, 2.83, 0.574675, 0.667173, 0.861357, , 
523493, 57569, 710147, 75180, 2.87, 0.574658, 0.667017, 0.861534, , 
523599, 57596, 710263, 75169, 2.91, 0.575203, 0.666393, 0.863159, , 
523426, 57566, 710044, 75166, 2.94, 0.574813, 0.666934, 0.861874, , 
523387, 57562, 709996, 75157, 2.99, 0.574823, 0.666829, 0.862025, , 
523280, 57545, 709864, 75153, 3.02, 0.574637, 0.667096, 0.861400, , 
523527, 57590, 710193, 75154, 3.07, 0.575271, 0.666189, 0.863525, , 
523196, 57527, 709780, 75161, 3.11, 0.574325, 0.667549, 0.860349, , 
523371, 57544, 710010, 75175, 3.15, 0.574246, 0.667272, 0.860587, , 
523242, 57523, 709852, 75168, 3.18, 0.574003, 0.667533, 0.859888, , 
523373, 57532, 710036, 75194, 3.23, 0.573811, 0.667707, 0.859375, , 
523327, 57540, 709955, 75156, 3.27, 0.574276, 0.666918, 0.861088, , 
