FlowCell Text Data File: 181108_setB_ribodeg_s2.csv
Software Version: 1.46A
Date: 2018-11-08
Time: 11:44:35
User: culviner

Experiment name: 181108_setB_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 631688
Source A Zero: 56881.5
Sample B Zero: 917429.8
Source B Zero: 74858.2

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
380496, 56890, 545589, 74867, 0.00, 1.037517, 1.047768, 0.990217, , 
380641, 56909, 545734, 74860, 0.00, 1.037421, 1.047043, 0.990809, , 
380675, 56914, 545766, 74858, 0.02, 1.037418, 1.046871, 0.990969, , 
380766, 56936, 545872, 74846, 0.06, 1.037719, 1.046157, 0.991935, , 
380653, 56906, 545707, 74839, 0.10, 1.037248, 1.046578, 0.991086, , 
380648, 56904, 545683, 74831, 0.14, 1.037203, 1.046451, 0.991163, , 
380722, 56917, 545771, 74830, 0.18, 1.037273, 1.046099, 0.991563, , 
380753, 56909, 545816, 74854, 0.22, 1.036819, 1.046579, 0.990674, , 
380832, 56929, 545904, 74843, 0.26, 1.037113, 1.045958, 0.991544, , 
380822, 56928, 545876, 74832, 0.30, 1.037131, 1.045765, 0.991744, , 
380844, 56921, 545914, 74844, 0.34, 1.036761, 1.045948, 0.991217, , 
380873, 56915, 545968, 74870, 0.38, 1.036390, 1.046449, 0.990387, , 
380939, 56919, 546064, 74891, 0.42, 1.036179, 1.046660, 0.989986, , 
380907, 56918, 546005, 74872, 0.46, 1.036315, 1.046366, 0.990394, , 
380840, 56917, 545878, 74823, 0.50, 1.036639, 1.045515, 0.991510, , 
380995, 56932, 546095, 74860, 0.54, 1.036345, 1.045711, 0.991044, , 
381050, 56942, 546173, 74869, 0.58, 1.036409, 1.045665, 0.991148, , 
380921, 56917, 545990, 74848, 0.62, 1.036204, 1.045775, 0.990847, , 
380797, 56887, 545824, 74838, 0.66, 1.035791, 1.046119, 0.990128, , 
380776, 56889, 545777, 74816, 0.70, 1.035976, 1.045700, 0.990701, , 
380782, 56872, 545806, 74846, 0.74, 1.035332, 1.046401, 0.989422, , 
380998, 56920, 546086, 74853, 0.78, 1.035898, 1.045555, 0.990763, , 
380953, 56900, 546032, 74867, 0.82, 1.035420, 1.046132, 0.989761, , 
380841, 56877, 545874, 74852, 0.86, 1.035195, 1.046311, 0.989376, , 
380986, 56902, 546062, 74861, 0.90, 1.035315, 1.045859, 0.989918, , 
380919, 56899, 545963, 74834, 0.94, 1.035567, 1.045498, 0.990502, , 
380876, 56876, 545908, 74849, 0.98, 1.034971, 1.046105, 0.989357, , 
380783, 56857, 545773, 74835, 1.02, 1.034787, 1.046226, 0.989066, , 
380853, 56864, 545865, 74849, 1.06, 1.034663, 1.046264, 0.988912, , 
381086, 56924, 546172, 74838, 1.10, 1.035569, 1.044834, 0.991133, , 
380991, 56900, 546052, 74830, 1.14, 1.035216, 1.045061, 0.990579, , 
380982, 56898, 546037, 74828, 1.18, 1.035193, 1.045063, 0.990555, , 
381141, 56919, 546259, 74857, 1.22, 1.035094, 1.045025, 0.990497, , 
381083, 56904, 546183, 74853, 1.26, 1.034866, 1.045197, 0.990116, , 
381025, 56890, 546110, 74850, 1.30, 1.034674, 1.045386, 0.989753, , 
