FlowCell Text Data File: 181019_setB_mat1_s6.csv
Software Version: 1.46A
Date: 2018-10-19
Time: 13:25:25
User: culviner

Experiment name: 181019_setB_mat1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695947
Source A Zero: 58063.5
Sample B Zero: 991880.7
Source B Zero: 75085.6

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
536424, 57500, 734001, 74788, 0.00, 0.512747, 0.598879, 0.856178, , 
536806, 57492, 734604, 74811, 0.09, 0.511006, 0.597844, 0.854749, , 
536940, 57506, 734874, 74830, 0.13, 0.510993, 0.597615, 0.855055, , 
536804, 57521, 734859, 74811, 0.17, 0.512045, 0.597144, 0.857491, , 
536720, 57500, 734831, 74799, 0.22, 0.511618, 0.596897, 0.857130, , 
536978, 57484, 736033, 74777, 0.26, 0.510066, 0.593010, 0.860130, , 
536431, 57505, 728314, 74810, 0.29, 0.512898, 0.615149, 0.833779, , 
325883, 57488, 379574, 74828, 0.34, 1.532073, 1.929169, 0.794162, , 
469505, 57488, 681723, 74802, 0.37, 0.784956, 0.748183, 1.049149, , 
521239, 57488, 711076, 74810, 0.42, 0.571077, 0.663429, 0.860795, , 
522845, 57496, 711127, 74807, 0.46, 0.565067, 0.663204, 0.852026, , 
522953, 57502, 711893, 74781, 0.50, 0.564858, 0.660333, 0.855413, , 
523238, 57523, 711766, 74801, 0.54, 0.564490, 0.661232, 0.853695, , 
523465, 57554, 711984, 74794, 0.58, 0.564705, 0.660426, 0.855062, , 
523550, 57555, 712162, 74794, 0.62, 0.564408, 0.659922, 0.855265, , 
523653, 57561, 712339, 74790, 0.66, 0.564219, 0.659313, 0.855768, , 
523784, 57560, 712534, 74812, 0.70, 0.563672, 0.659354, 0.854884, , 
523786, 57549, 712547, 74802, 0.74, 0.563273, 0.659048, 0.854676, , 
523863, 57543, 712658, 74809, 0.78, 0.562759, 0.658923, 0.854058, , 
523869, 57527, 712665, 74815, 0.82, 0.562166, 0.659065, 0.852976, , 
524030, 57546, 712905, 74807, 0.86, 0.562213, 0.658170, 0.854206, , 
523946, 57513, 712849, 74823, 0.90, 0.561367, 0.658760, 0.852158, , 
524002, 57513, 712929, 74818, 0.94, 0.561149, 0.658399, 0.852293, , 
524204, 57527, 713219, 74843, 0.98, 0.560858, 0.658253, 0.852041, , 
524082, 57510, 713067, 74812, 1.02, 0.560730, 0.657847, 0.852371, , 
524155, 57519, 713185, 74803, 1.06, 0.560765, 0.657271, 0.853171, , 
524363, 57531, 713487, 74840, 1.10, 0.560380, 0.657415, 0.852400, , 
524332, 57528, 713457, 74815, 1.14, 0.560394, 0.656826, 0.853185, , 
524613, 57563, 713846, 74838, 1.18, 0.560542, 0.656347, 0.854034, , 
524632, 57565, 713874, 74823, 1.22, 0.560539, 0.655864, 0.854658, , 
524643, 57557, 713908, 74834, 1.26, 0.560212, 0.656064, 0.853899, , 
524478, 57531, 713690, 74813, 1.30, 0.559931, 0.656114, 0.853406, , 
524439, 57522, 713665, 74809, 1.34, 0.559763, 0.656077, 0.853198, , 
524403, 57514, 713615, 74799, 1.38, 0.559619, 0.655949, 0.853145, , 
524525, 57521, 713797, 74819, 1.42, 0.559392, 0.655973, 0.852767, , 
524698, 57546, 714040, 74822, 1.46, 0.559607, 0.655368, 0.853881, , 
524826, 57567, 714195, 74813, 1.50, 0.559854, 0.654688, 0.855146, , 
524854, 57566, 714253, 74817, 1.54, 0.559709, 0.654632, 0.854998, , 
524872, 57568, 714282, 74813, 1.58, 0.559710, 0.654443, 0.855247, , 
524953, 57575, 714397, 74818, 1.62, 0.559643, 0.654253, 0.855393, , 
524991, 57573, 714467, 74829, 1.66, 0.559424, 0.654352, 0.854929, , 
524764, 57540, 714178, 74806, 1.70, 0.559136, 0.654548, 0.854233, , 
524749, 57536, 714170, 74804, 1.74, 0.559052, 0.654516, 0.854145, , 
524786, 57536, 714228, 74810, 1.78, 0.558908, 0.654514, 0.853928, , 
524924, 57557, 714430, 74811, 1.82, 0.559116, 0.653971, 0.854956, , 
524846, 57544, 714335, 74803, 1.86, 0.558958, 0.654024, 0.854645, , 
524953, 57559, 714486, 74804, 1.90, 0.559075, 0.653625, 0.855345, , 
524893, 57542, 714432, 74816, 1.94, 0.558704, 0.654100, 0.854157, , 
524939, 57553, 714489, 74804, 1.98, 0.558916, 0.653616, 0.855113, , 
524689, 57520, 714175, 74776, 2.02, 0.558717, 0.653748, 0.854637, , 
524875, 57543, 714432, 74792, 2.06, 0.558810, 0.653454, 0.855164, , 
524691, 57503, 714222, 74805, 2.10, 0.558104, 0.654396, 0.852854, , 
524799, 57513, 714371, 74819, 2.14, 0.558039, 0.654353, 0.852810, , 
524887, 57525, 714495, 74816, 2.18, 0.558123, 0.653923, 0.853500, , 
525015, 57551, 714666, 74803, 2.22, 0.558549, 0.653090, 0.855240, , 
524856, 57515, 714510, 74817, 2.26, 0.557888, 0.653907, 0.853161, , 
524774, 57504, 714413, 74807, 2.30, 0.557816, 0.653911, 0.853046, , 
524770, 57498, 714431, 74812, 2.34, 0.557618, 0.653995, 0.852634, , 
524863, 57508, 714563, 74818, 2.38, 0.557612, 0.653785, 0.852898, , 
524865, 57511, 714591, 74813, 2.42, 0.557711, 0.653571, 0.853328, , 
524826, 57481, 714574, 74856, 2.46, 0.556795, 0.654777, 0.850358, , 
524690, 57465, 714415, 74835, 2.50, 0.556756, 0.654660, 0.850450, , 
524890, 57505, 714667, 74819, 2.55, 0.557400, 0.653518, 0.852921, , 
525052, 57522, 714911, 74844, 2.58, 0.557373, 0.653504, 0.852900, , 
525008, 57525, 714859, 74822, 2.62, 0.557651, 0.653058, 0.853908, , 
525015, 57524, 714871, 74814, 2.67, 0.557588, 0.652808, 0.854138, , 
524884, 57512, 714707, 74784, 2.71, 0.557672, 0.652462, 0.854719, , 
524892, 57505, 714739, 74803, 2.74, 0.557392, 0.652884, 0.853738, , 
