FlowCell Text Data File: 181025_setB_mat2_s6.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 15:10:17
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 695096
Source A Zero: 57723.1
Sample B Zero: 989397.5
Source B Zero: 75232.5

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
539022, 57321, 731925, 75095, 0.00, 0.506011, 0.603853, 0.837970, , 
535492, 57318, 688359, 75085, 0.09, 0.519348, 0.727278, 0.714098, , 
291593, 57318, 412264, 75108, 0.14, 1.763028, 1.761188, 1.001044, , 
523144, 57315, 707738, 75075, 0.18, 0.566974, 0.671049, 0.844908, , 
524253, 57302, 707896, 75089, 0.21, 0.562177, 0.670975, 0.837852, , 
524289, 57295, 708403, 75095, 0.26, 0.561787, 0.669693, 0.838873, , 
524623, 57337, 708999, 75084, 0.30, 0.561983, 0.667703, 0.841667, , 
524716, 57307, 709133, 75113, 0.34, 0.560550, 0.668100, 0.839021, , 
525033, 57323, 709531, 75122, 0.38, 0.559885, 0.667211, 0.839143, , 
525033, 57299, 709561, 75108, 0.42, 0.559028, 0.666750, 0.838438, , 
525135, 57292, 709711, 75111, 0.46, 0.558381, 0.666404, 0.837901, , 
525269, 57291, 709912, 75111, 0.50, 0.557823, 0.665833, 0.837782, , 
525403, 57297, 710100, 75104, 0.54, 0.557515, 0.665112, 0.838228, , 
525703, 57330, 710528, 75113, 0.58, 0.557526, 0.664139, 0.839471, , 
525930, 57360, 710881, 75111, 0.62, 0.557713, 0.663084, 0.841089, , 
525935, 57346, 710937, 75114, 0.66, 0.557194, 0.663006, 0.840406, , 
525778, 57316, 710782, 75090, 0.70, 0.556734, 0.662801, 0.839971, , 
525993, 57332, 711085, 75107, 0.74, 0.556469, 0.662398, 0.840081, , 
525998, 57332, 711100, 75082, 0.78, 0.556449, 0.661685, 0.840958, , 
526084, 57329, 711244, 75103, 0.82, 0.556008, 0.661840, 0.840093, , 
526052, 57306, 711209, 75114, 0.86, 0.555311, 0.662235, 0.838541, , 
526044, 57303, 711215, 75098, 0.90, 0.555235, 0.661788, 0.838992, , 
526038, 57300, 711234, 75084, 0.94, 0.555151, 0.661359, 0.839410, , 
526228, 57324, 711491, 75084, 0.98, 0.555269, 0.660631, 0.840514, , 
526229, 57322, 711525, 75073, 1.02, 0.555194, 0.660239, 0.840898, , 
526446, 57331, 711895, 75118, 1.06, 0.554671, 0.660399, 0.839904, , 
526590, 57353, 712079, 75102, 1.10, 0.554897, 0.659449, 0.841456, , 
526671, 57356, 712191, 75105, 1.14, 0.554689, 0.659212, 0.841443, , 
526657, 57361, 712167, 75073, 1.18, 0.554922, 0.658421, 0.842807, , 
526746, 57369, 712298, 75071, 1.22, 0.554862, 0.657997, 0.843259, , 
526473, 57322, 711953, 75053, 1.26, 0.554245, 0.658490, 0.841692, , 
526382, 57292, 711855, 75068, 1.30, 0.553528, 0.659170, 0.839735, , 
526591, 57326, 712125, 75054, 1.34, 0.553930, 0.658030, 0.841800, , 
526555, 57300, 712112, 75085, 1.38, 0.553141, 0.658899, 0.839493, , 
526517, 57298, 712065, 75059, 1.42, 0.553217, 0.658334, 0.840330, , 
526697, 57305, 712326, 75099, 1.46, 0.552768, 0.658669, 0.839220, , 
526710, 57310, 712356, 75085, 1.50, 0.552896, 0.658208, 0.840002, , 
526698, 57304, 712354, 75083, 1.54, 0.552728, 0.658160, 0.839808, , 
526760, 57307, 712441, 75082, 1.58, 0.552595, 0.657887, 0.839953, , 
526820, 57310, 712542, 75089, 1.62, 0.552469, 0.657790, 0.839887, , 
526616, 57274, 712296, 75088, 1.66, 0.551976, 0.658459, 0.838284, , 
526758, 57286, 712555, 75101, 1.70, 0.551853, 0.658075, 0.838586, , 
526784, 57295, 712567, 75062, 1.74, 0.552073, 0.656994, 0.840302, , 
