FlowCell Text Data File: 181104_setB_ribodeg_s6.csv
Software Version: 1.46A
Date: 2018-11-04
Time: 17:29:37
User: culviner

Experiment name: 181104_setB_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 614608
Source A Zero: 57195.6
Sample B Zero: 889347.4
Source B Zero: 74895.4

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
496215, 56767, 673204, 74766, 0.00, 0.422425, 0.557738, 0.757390, , 
496613, 56828, 674096, 74771, 0.00, 0.422982, 0.555204, 0.761851, , 
496512, 56803, 674021, 74785, 0.02, 0.422498, 0.555805, 0.760155, , 
496531, 56804, 674089, 74785, 0.06, 0.422456, 0.555602, 0.760357, , 
496685, 56840, 674360, 74787, 0.10, 0.423118, 0.554846, 0.762586, , 
496597, 56834, 674304, 74776, 0.14, 0.423264, 0.554717, 0.763028, , 
496616, 56843, 674415, 74780, 0.18, 0.423510, 0.554493, 0.763779, , 
496455, 56804, 674261, 74799, 0.22, 0.422769, 0.555465, 0.761108, , 
496324, 56791, 674145, 74775, 0.26, 0.422841, 0.555165, 0.761649, , 
496352, 56790, 674239, 74778, 0.30, 0.422689, 0.554965, 0.761650, , 
496175, 56810, 674139, 74775, 0.34, 0.424139, 0.555183, 0.763963, , 
494628, 56796, 672295, 74777, 0.38, 0.430025, 0.560758, 0.766863, , 
494125, 56789, 670818, 74775, 0.42, 0.431854, 0.565137, 0.764158, , 
493914, 56793, 669314, 74780, 0.46, 0.432872, 0.569796, 0.759697, , 
493779, 56815, 668749, 74753, 0.50, 0.434224, 0.570770, 0.760769, , 
499323, 56828, 673042, 74783, 0.54, 0.411847, 0.558681, 0.737177, , 
498446, 56857, 654920, 74784, 0.58, 0.416488, 0.613723, 0.678625, , 
484168, 56845, 648173, 74776, 0.62, 0.475523, 0.634380, 0.749586, , 
491460, 56872, 666416, 74792, 0.66, 0.445908, 0.578865, 0.770313, , 
495402, 56851, 673169, 74795, 0.70, 0.428806, 0.558624, 0.767610, , 
