FlowCell Text Data File: 181017_setA_mat1_s6.csv
Software Version: 1.46A
Date: 2018-10-17
Time: 14:12:32
User: culviner

Experiment name: 181017_setA_maturation_1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 691917
Source A Zero: 58376.9
Sample B Zero: 989106.6
Source B Zero: 75361.9

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
511147, 58080, 722376, 75211, 0.00, 0.609147, 0.629376, 0.967858, 0, 0.209
511147, 58080, 722376, 75211, 0.00, 0.609147, 0.629376, 0.967858, 0, 0.209
511161, 58077, 722397, 75208, 0.00, 0.608985, 0.629237, 0.967815, , 
511095, 58059, 722362, 75222, 0.00, 0.608615, 0.629710, 0.966500, , 
511147, 58079, 722478, 75216, 0.00, 0.609112, 0.629226, 0.968034, , 
511210, 58108, 722493, 75208, 0.02, 0.609881, 0.628970, 0.969651, , 
511095, 58116, 722205, 75217, 0.06, 0.610623, 0.630014, 0.969221, , 
414117, 58108, 472129, 75213, 0.10, 1.040857, 1.486654, 0.700134, , 
428989, 58112, 598333, 75205, 0.14, 0.968805, 1.008952, 0.960209, , 
487021, 58106, 654602, 75200, 0.18, 0.708992, 0.827656, 0.856627, , 
489087, 58115, 658656, 75221, 0.22, 0.700647, 0.815774, 0.858874, , 
489534, 58110, 659703, 75212, 0.26, 0.698602, 0.812332, 0.859996, , 
489644, 58081, 660355, 75238, 0.30, 0.697121, 0.811037, 0.859543, , 
489917, 58095, 661192, 75261, 0.34, 0.696474, 0.809100, 0.860801, , 
489973, 58111, 661613, 75207, 0.38, 0.696803, 0.806370, 0.864123, , 
489982, 58090, 661919, 75214, 0.42, 0.696026, 0.805626, 0.863957, , 
490024, 58089, 662182, 75198, 0.46, 0.695816, 0.804396, 0.865016, , 
490139, 58090, 662501, 75211, 0.50, 0.695371, 0.803774, 0.865132, , 
490328, 58119, 662867, 75203, 0.54, 0.695603, 0.802446, 0.866853, , 
490436, 58120, 663154, 75219, 0.58, 0.695188, 0.802003, 0.866815, , 
490425, 58116, 663328, 75206, 0.62, 0.695093, 0.801125, 0.867645, , 
490332, 58098, 663446, 75182, 0.66, 0.694847, 0.800124, 0.868424, , 
490496, 58114, 663859, 75196, 0.70, 0.694726, 0.799245, 0.869228, , 
490688, 58120, 664312, 75241, 0.74, 0.694137, 0.799076, 0.868675, , 
490452, 58072, 664140, 75230, 0.78, 0.693430, 0.799303, 0.867544, , 
490683, 58108, 664516, 75233, 0.82, 0.693735, 0.798242, 0.869078, , 
490645, 58104, 664538, 75215, 0.86, 0.693753, 0.797693, 0.869698, , 
490645, 58083, 664648, 75245, 0.90, 0.693013, 0.798163, 0.868259, , 
490785, 58108, 664894, 75229, 0.94, 0.693310, 0.796989, 0.869911, , 
