FlowCell Text Data File: 181025_setA_mat2_s6.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 11:38:32
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 674892
Source A Zero: 57784.6
Sample B Zero: 964964.6
Source B Zero: 75220.1

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
549714, 57727, 753814, 75222, 0.00, 0.417729, 0.497796, 0.839157, 0, 0.211
549714, 57727, 753814, 75222, 0.00, 0.417729, 0.497796, 0.839157, 0, 0.211
549512, 57693, 753552, 75221, 0.00, 0.417275, 0.498469, 0.837113, , 
549433, 57684, 753456, 75219, 0.00, 0.417250, 0.498673, 0.836722, , 
549340, 57669, 753321, 75215, 0.00, 0.417065, 0.498927, 0.835924, , 
549285, 57660, 753252, 75216, 0.03, 0.416950, 0.499138, 0.835340, , 
549183, 57641, 753113, 75215, 0.07, 0.416656, 0.499483, 0.834174, , 
549062, 57644, 752939, 75170, 0.11, 0.417213, 0.498743, 0.836530, , 
549303, 57673, 753262, 75196, 0.15, 0.417344, 0.498575, 0.837074, , 
549271, 57666, 753223, 75203, 0.19, 0.417215, 0.498867, 0.836325, , 
549351, 57676, 753325, 75209, 0.23, 0.417272, 0.498755, 0.836627, , 
549333, 57684, 753298, 75188, 0.27, 0.417623, 0.498265, 0.838155, , 
549305, 57671, 753256, 75201, 0.31, 0.417266, 0.498725, 0.836665, , 
549244, 57657, 753194, 75214, 0.35, 0.416996, 0.499240, 0.835263, , 
549256, 57657, 753207, 75223, 0.39, 0.416952, 0.499446, 0.834828, , 
549293, 57666, 753259, 75217, 0.43, 0.417133, 0.499146, 0.835694, , 
