FlowCell Text Data File: 181107_setA_ribodeg_s6.csv
Software Version: 1.46A
Date: 2018-11-07
Time: 16:49:30
User: culviner

Experiment name: 181107_setA_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 675380
Source A Zero: 56977.1
Sample B Zero: 964872.0
Source B Zero: 75020.4

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
372902, 56441, 552767, 74795, 0.00, 1.195963, 1.116745, 1.070936, , 
372611, 56438, 552280, 74778, 0.10, 1.197451, 1.118063, 1.071005, , 
373073, 56446, 553140, 74784, 0.14, 1.195206, 1.115089, 1.071848, , 
373317, 56464, 553611, 74774, 0.18, 1.194521, 1.113104, 1.073144, , 
373396, 56466, 553703, 74766, 0.22, 1.194160, 1.112553, 1.073351, , 
373395, 56451, 553747, 74775, 0.26, 1.193622, 1.112635, 1.072788, , 
373493, 56454, 553926, 74783, 0.30, 1.193194, 1.112200, 1.072823, , 
373786, 56507, 554372, 74801, 0.34, 1.193509, 1.111062, 1.074205, , 
373793, 56504, 554404, 74786, 0.38, 1.193362, 1.110542, 1.074577, , 
373861, 56496, 554528, 74807, 0.42, 1.192700, 1.110657, 1.073869, , 
373719, 56451, 554345, 74800, 0.46, 1.191847, 1.111134, 1.072641, , 
373682, 56436, 554317, 74797, 0.50, 1.191506, 1.111155, 1.072313, , 
373831, 56470, 554523, 74787, 0.54, 1.191923, 1.110136, 1.073672, , 
373797, 56448, 554484, 74794, 0.58, 1.191312, 1.110467, 1.072803, , 
373829, 56454, 554539, 74782, 0.62, 1.191354, 1.109943, 1.073347, , 
373638, 56396, 554296, 74792, 0.66, 1.190296, 1.111096, 1.071281, , 
373579, 56382, 554211, 74772, 0.70, 1.190111, 1.110866, 1.071336, , 
373678, 56393, 554362, 74787, 0.74, 1.189968, 1.110722, 1.071347, , 
373783, 56409, 554510, 74799, 0.78, 1.189974, 1.110507, 1.071559, , 
373766, 56391, 554501, 74809, 0.82, 1.189414, 1.110809, 1.070764, , 
373791, 56401, 554535, 74791, 0.86, 1.189640, 1.110200, 1.071554, , 
373880, 56415, 554652, 74780, 0.90, 1.189661, 1.109479, 1.072270, , 
374030, 56426, 554872, 74816, 0.94, 1.189239, 1.109650, 1.071725, , 
373926, 56400, 554712, 74800, 0.98, 1.188865, 1.109800, 1.071243, , 
373951, 56410, 554696, 74760, 1.02, 1.189091, 1.108780, 1.072432, , 
374034, 56422, 554813, 74765, 1.06, 1.189072, 1.108489, 1.072696, , 
374123, 56433, 554959, 74778, 1.10, 1.188984, 1.108310, 1.072791, , 
374340, 56475, 555280, 74805, 1.14, 1.189320, 1.107872, 1.073518, , 
374331, 56475, 555256, 74782, 1.18, 1.189369, 1.107339, 1.074079, , 
374317, 56467, 555237, 74779, 1.22, 1.189156, 1.107327, 1.073897, , 
374341, 56459, 555278, 74798, 1.26, 1.188735, 1.107690, 1.073165, , 
374149, 56415, 555003, 74773, 1.30, 1.188189, 1.108015, 1.072358, , 
374213, 56415, 555106, 74796, 1.34, 1.187839, 1.108261, 1.071805, , 
374227, 56417, 555108, 74788, 1.38, 1.187835, 1.108038, 1.072017, , 
374308, 56425, 555226, 74799, 1.42, 1.187682, 1.107906, 1.072007, , 
374214, 56418, 555077, 74753, 1.46, 1.187942, 1.107207, 1.072918, , 
374311, 56430, 555219, 74770, 1.50, 1.187847, 1.107150, 1.072888, , 
374381, 56433, 555325, 74783, 1.54, 1.187574, 1.107115, 1.072674, , 
374292, 56407, 555199, 74783, 1.58, 1.187117, 1.107573, 1.071819, , 
374306, 56405, 555230, 74788, 1.62, 1.186968, 1.107595, 1.071662, , 
374313, 56399, 555247, 74801, 1.66, 1.186712, 1.107884, 1.071152, , 
374359, 56409, 555298, 74791, 1.70, 1.186823, 1.107429, 1.071692, , 
374353, 56401, 555287, 74797, 1.74, 1.186566, 1.107631, 1.071265, , 
374306, 56378, 555245, 74818, 1.78, 1.185988, 1.108349, 1.070050, , 
374390, 56401, 555355, 74800, 1.82, 1.186364, 1.107465, 1.071243, , 
374428, 56410, 555405, 74798, 1.87, 1.186483, 1.107229, 1.071578, , 
374439, 56407, 555422, 74794, 1.91, 1.186314, 1.107060, 1.071589, , 
374484, 56416, 555489, 74790, 1.94, 1.186394, 1.106709, 1.072002, , 
374532, 56420, 555481, 74794, 1.98, 1.186277, 1.106846, 1.071764, , 
374857, 56498, 555927, 74793, 2.02, 1.187329, 1.105201, 1.074310, , 
375081, 56552, 556231, 74791, 2.07, 1.188061, 1.104045, 1.076098, , 
374949, 56524, 556039, 74773, 2.11, 1.187768, 1.104256, 1.075628, , 
374992, 56511, 556122, 74813, 2.15, 1.187063, 1.105033, 1.074233, , 
374890, 56482, 555987, 74821, 2.19, 1.186569, 1.105738, 1.073102, , 
374790, 56455, 555844, 74820, 2.22, 1.186137, 1.106230, 1.072234, , 
374802, 56459, 555848, 74807, 2.27, 1.186216, 1.105865, 1.072659, , 
374792, 56465, 555817, 74782, 2.31, 1.186488, 1.105303, 1.073450, , 
374828, 56471, 555848, 74784, 2.35, 1.186509, 1.105245, 1.073526, , 
374776, 56466, 555755, 74760, 2.39, 1.186612, 1.104935, 1.073920, , 
374840, 56465, 555864, 74790, 2.42, 1.186226, 1.105349, 1.073169, , 
374840, 56459, 555873, 74797, 2.47, 1.186009, 1.105505, 1.072821, , 
374889, 56469, 555946, 74799, 2.51, 1.186104, 1.105294, 1.073112, , 
374877, 56473, 555901, 74774, 2.55, 1.186314, 1.104783, 1.073798, , 
374931, 56474, 555990, 74791, 2.59, 1.186056, 1.104919, 1.073433, , 
374964, 56485, 556024, 74778, 2.63, 1.186274, 1.104445, 1.074091, , 
374937, 56481, 555981, 74768, 2.67, 1.186277, 1.104331, 1.074203, , 
375017, 56487, 556107, 74792, 2.71, 1.186057, 1.104522, 1.073820, , 
375023, 56487, 556118, 74793, 2.75, 1.186025, 1.104509, 1.073803, , 
375037, 56495, 556119, 74768, 2.79, 1.186238, 1.103831, 1.074655, , 
375124, 56497, 556251, 74801, 2.83, 1.185836, 1.104242, 1.073891, , 
375087, 56494, 556202, 74789, 2.87, 1.185929, 1.104096, 1.074117, , 
375147, 56504, 556275, 74790, 2.91, 1.185964, 1.103859, 1.074380, , 
375131, 56499, 556256, 74788, 2.95, 1.185870, 1.103874, 1.074281, , 
375119, 56490, 556244, 74798, 2.99, 1.185610, 1.104187, 1.073740, , 
375094, 56481, 556213, 74797, 3.03, 1.185420, 1.104272, 1.073485, , 
375060, 56475, 556161, 74783, 3.07, 1.185388, 1.104083, 1.073640, , 
375036, 56455, 556131, 74809, 3.11, 1.184794, 1.104893, 1.072316, , 
375091, 56471, 556203, 74800, 3.15, 1.185074, 1.104389, 1.073058, , 
375046, 56456, 556141, 74797, 3.19, 1.184776, 1.104533, 1.072649, , 
375024, 56452, 556094, 74791, 3.23, 1.184751, 1.104542, 1.072618, , 
375226, 56480, 556397, 74831, 3.27, 1.184664, 1.104522, 1.072558, , 
375187, 56484, 556324, 74800, 3.31, 1.185021, 1.103951, 1.073437, , 
375063, 56458, 556147, 74789, 3.35, 1.184756, 1.104296, 1.072861, , 
375077, 56450, 556177, 74805, 3.39, 1.184389, 1.104618, 1.072216, , 
375168, 56461, 556312, 74822, 3.43, 1.184292, 1.104587, 1.072158, , 
375304, 56502, 556486, 74801, 3.47, 1.185035, 1.103391, 1.073994, , 
375294, 56506, 556458, 74781, 3.51, 1.185235, 1.102953, 1.074601, , 
375236, 56489, 556385, 74785, 3.55, 1.184935, 1.103326, 1.073967, , 
375244, 56481, 556406, 74801, 3.59, 1.184602, 1.103681, 1.073319, , 
375285, 56494, 556450, 74791, 3.63, 1.184849, 1.103252, 1.073961, , 
375366, 56517, 556552, 74775, 3.67, 1.185241, 1.102451, 1.075096, , 
375176, 56479, 556292, 74762, 3.71, 1.184900, 1.103043, 1.074211, , 
375140, 56465, 556262, 74775, 3.75, 1.184589, 1.103502, 1.073482, , 
375032, 56426, 556125, 74796, 3.79, 1.183765, 1.104564, 1.071703, , 
375006, 56426, 556073, 74775, 3.83, 1.183907, 1.104187, 1.072198, , 
375142, 56447, 556269, 74800, 3.87, 1.183926, 1.104150, 1.072251, , 
375108, 56441, 556214, 74788, 3.91, 1.183894, 1.104026, 1.072343, , 
375392, 56515, 556578, 74770, 3.95, 1.185026, 1.102222, 1.075125, , 
375313, 56485, 556477, 74796, 3.99, 1.184371, 1.103289, 1.073491, , 
375220, 56458, 556349, 74802, 4.03, 1.183899, 1.103914, 1.072456, , 
375141, 56434, 556237, 74810, 4.07, 1.183460, 1.104536, 1.071455, , 
375033, 56410, 556079, 74795, 4.11, 1.183179, 1.104704, 1.071037, , 
375085, 56416, 556144, 74806, 4.15, 1.183113, 1.104765, 1.070919, , 
375043, 56410, 556092, 74796, 4.19, 1.183125, 1.104684, 1.071007, , 
375085, 56420, 556140, 74792, 4.23, 1.183258, 1.104402, 1.071402, , 
375096, 56408, 556177, 74826, 4.27, 1.182763, 1.105184, 1.070195, , 
375257, 56454, 556380, 74801, 4.31, 1.183553, 1.103775, 1.072277, , 
375470, 56502, 556677, 74806, 4.35, 1.184131, 1.102834, 1.073716, , 
375527, 56511, 556767, 74818, 4.39, 1.184146, 1.102831, 1.073732, , 
375513, 56512, 556727, 74800, 4.43, 1.184258, 1.102491, 1.074166, , 
375371, 56475, 556540, 74802, 4.48, 1.183692, 1.103222, 1.072941, , 
375356, 56471, 556513, 74799, 4.51, 1.183629, 1.103239, 1.072867, , 
375494, 56504, 556692, 74788, 4.56, 1.184072, 1.102295, 1.074189, , 
375513, 56507, 556720, 74788, 4.60, 1.184077, 1.102193, 1.074292, , 
375342, 56482, 556465, 74751, 4.64, 1.184104, 1.102119, 1.074388, , 
375306, 56460, 556434, 74779, 4.68, 1.183503, 1.102986, 1.072999, , 
375259, 56453, 556358, 74763, 4.71, 1.183506, 1.102830, 1.073153, , 
375228, 56446, 556321, 74758, 4.75, 1.183421, 1.102830, 1.073077, , 
375328, 56464, 556447, 74761, 4.80, 1.183528, 1.102454, 1.073540, , 
375459, 56499, 556625, 74755, 4.84, 1.184082, 1.101648, 1.074828, , 
375421, 56471, 556593, 74787, 4.88, 1.183275, 1.102626, 1.073142, , 
375480, 56480, 556683, 74800, 4.92, 1.183279, 1.102651, 1.073123, , 
375394, 56464, 556553, 74782, 4.96, 1.183168, 1.102636, 1.073036, , 
374893, 56476, 555824, 74791, 5.00, 1.186336, 1.105521, 1.073101, , 
374097, 56484, 553115, 74781, 5.03, 1.190975, 1.115099, 1.068044, , 
374541, 56474, 553463, 74808, 5.08, 1.188185, 1.114559, 1.066059, , 
374179, 56485, 552653, 74782, 5.12, 1.190562, 1.116810, 1.066038, , 
330985, 56490, 445781, 74806, 5.16, 1.441722, 1.550616, 0.929774, , 
201361, 56478, 317294, 74809, 5.20, 2.458149, 2.236000, 1.099351, , 
203228, 56464, 317573, 74784, 5.24, 2.438758, 2.233555, 1.091873, , 
202957, 56480, 317582, 74806, 5.28, 2.442068, 2.234091, 1.093093, , 
205082, 56469, 321155, 74793, 5.32, 2.420358, 2.211190, 1.094595, , 
206286, 56468, 322554, 74801, 5.36, 2.408344, 2.202645, 1.093388, , 
207132, 56479, 322748, 74793, 5.40, 2.400369, 2.201217, 1.090473, , 
206273, 56488, 321626, 74769, 5.44, 2.409198, 2.207589, 1.091325, , 
206176, 56495, 322540, 74765, 5.48, 2.410414, 2.201762, 1.094766, , 
206690, 56477, 321075, 74791, 5.52, 2.404667, 2.211638, 1.087279, , 
205674, 56464, 321090, 74804, 5.56, 2.414279, 2.211895, 1.091498, , 
205523, 56460, 321333, 74794, 5.60, 2.415637, 2.210100, 1.092999, , 
205737, 56449, 320824, 74826, 5.64, 2.413108, 2.214158, 1.089854, 1, 0.796
205309, 56459, 320213, 74807, 5.68, 2.417732, 2.217488, 1.090302, , 
205074, 56466, 320047, 74808, 5.72, 2.420329, 2.218560, 1.090946, , 
205093, 56488, 319635, 74780, 5.76, 2.420936, 2.220402, 1.090314, , 
204660, 56462, 319024, 74790, 5.80, 2.424319, 2.224528, 1.089813, , 
204474, 56500, 318644, 74813, 5.84, 2.427556, 2.227550, 1.089787, , 
204079, 56482, 317956, 74793, 5.88, 2.430860, 2.231368, 1.089404, , 
203815, 56464, 317544, 74762, 5.92, 2.432857, 2.233146, 1.089430, , 
203337, 56464, 316820, 74774, 5.96, 2.437661, 2.238070, 1.089180, , 
202859, 56471, 315676, 74778, 6.00, 2.442730, 2.245469, 1.087848, , 
202072, 56475, 314591, 74793, 6.04, 2.450829, 2.252813, 1.087897, , 
201300, 56466, 313692, 74774, 6.08, 2.458335, 2.258070, 1.088689, , 
200798, 56468, 312640, 74767, 6.12, 2.463516, 2.264652, 1.087812, , 
199912, 56435, 311644, 74785, 6.16, 2.471368, 2.271568, 1.087957, , 
199380, 56465, 310484, 74774, 6.20, 2.477908, 2.278788, 1.087379, , 
198639, 56462, 309862, 74792, 6.24, 2.485418, 2.283316, 1.088513, , 
198330, 56479, 309248, 74795, 6.28, 2.489219, 2.287394, 1.088233, , 
197940, 56464, 308669, 74820, 6.32, 2.492703, 2.291845, 1.087640, , 
197336, 56458, 307921, 74820, 6.36, 2.498739, 2.296736, 1.087952, , 
196602, 56440, 306562, 74796, 6.40, 2.505711, 2.305005, 1.087074, , 
196244, 56432, 306042, 74778, 6.44, 2.509150, 2.307941, 1.087181, , 
195706, 56443, 305143, 74789, 6.48, 2.515166, 2.314167, 1.086856, , 
194948, 56421, 304092, 74793, 6.52, 2.522309, 2.321229, 1.086626, , 
194097, 56421, 302793, 74769, 6.56, 2.531260, 2.329211, 1.086746, , 
193500, 56422, 301627, 74777, 6.60, 2.537599, 2.337203, 1.085742, , 
192714, 56442, 300344, 74793, 6.64, 2.546653, 2.346227, 1.085425, , 
191902, 56436, 299244, 74785, 6.68, 2.555075, 2.353407, 1.085692, , 
191026, 56407, 298299, 74794, 6.72, 2.563385, 2.360024, 1.086169, , 
190452, 56431, 297244, 74775, 6.76, 2.570412, 2.366654, 1.086096, , 
189677, 56432, 296171, 74747, 6.80, 2.578792, 2.373188, 1.086636, , 
188935, 56422, 295016, 74766, 6.84, 2.586449, 2.381576, 1.086024, , 
188027, 56420, 293878, 74763, 6.88, 2.596234, 2.389285, 1.086615, , 
187212, 56424, 292632, 74773, 6.92, 2.605267, 2.398119, 1.086379, , 
186479, 56423, 291137, 74768, 6.96, 2.613257, 2.408308, 1.085101, , 
185257, 56393, 289343, 74773, 7.00, 2.625622, 2.420901, 1.084564, , 
184193, 56406, 287694, 74750, 7.04, 2.637879, 2.431801, 1.084743, , 
182835, 56424, 285363, 74776, 7.08, 2.653673, 2.448900, 1.083618, , 
181196, 56430, 282873, 74757, 7.12, 2.672315, 2.466052, 1.083641, , 
179511, 56410, 280076, 74763, 7.17, 2.690706, 2.486243, 1.082238, , 
177040, 56422, 276421, 74776, 7.20, 2.719502, 2.513070, 1.082143, , 
175158, 56411, 273546, 74767, 7.26, 2.740970, 2.533902, 1.081719, , 
173331, 56438, 270807, 74755, 7.29, 2.763404, 2.553862, 1.082049, , 
171327, 56400, 267599, 74761, 7.34, 2.785820, 2.578043, 1.080595, , 
169040, 56400, 264157, 74775, 7.37, 2.813317, 2.604515, 1.080169, , 
167218, 56401, 261404, 74782, 7.42, 2.835527, 2.625820, 1.079863, , 
165258, 56416, 258358, 74759, 7.45, 2.860196, 2.648824, 1.079798, , 
163256, 56424, 255307, 74772, 7.50, 2.885424, 2.673119, 1.079422, , 
161249, 56418, 252274, 74792, 7.54, 2.910517, 2.697747, 1.078870, , 
159099, 56413, 248936, 74792, 7.58, 2.937800, 2.724595, 1.078252, , 
157318, 56443, 246408, 74779, 7.62, 2.961922, 2.744818, 1.079096, , 
155346, 56409, 243373, 74795, 7.66, 2.986500, 2.770229, 1.078070, , 
153403, 56421, 240439, 74783, 7.70, 3.012688, 2.794353, 1.078134, , 
151646, 56457, 237725, 74812, 7.74, 3.037564, 2.818015, 1.077909, , 
149674, 56459, 234777, 74822, 7.78, 3.064418, 2.843436, 1.077717, , 
147711, 56413, 231786, 74804, 7.82, 3.089763, 2.868794, 1.077025, , 
145645, 56451, 228591, 74793, 7.86, 3.119961, 2.896475, 1.077158, , 
144061, 56456, 226236, 74815, 7.90, 3.142517, 2.917941, 1.076964, , 
142290, 56384, 223537, 74805, 7.94, 3.165216, 2.941862, 1.075923, , 
140409, 56389, 220724, 74805, 7.98, 3.192626, 2.967387, 1.075905, , 
138527, 56374, 217852, 74825, 8.02, 3.219693, 2.994325, 1.075265, , 
136854, 56377, 215329, 74821, 8.06, 3.244663, 3.017697, 1.075212, , 
135444, 56432, 213137, 74829, 8.10, 3.267848, 3.038536, 1.075468, , 
133514, 56418, 210060, 74820, 8.14, 3.296706, 3.067604, 1.074684, , 
131456, 56374, 207025, 74822, 8.18, 3.326894, 3.096992, 1.074234, , 
129664, 56400, 204412, 74810, 8.22, 3.355922, 3.122271, 1.074834, , 
128384, 56388, 202516, 74815, 8.26, 3.375786, 3.141189, 1.074684, , 
126947, 56410, 200216, 74781, 8.30, 3.399615, 3.163295, 1.074707, , 
124994, 56391, 197174, 74812, 8.34, 3.430649, 3.194990, 1.073759, , 
123239, 56415, 194736, 74816, 8.38, 3.460451, 3.220175, 1.074616, , 
121795, 56400, 192522, 74790, 8.42, 3.484023, 3.242522, 1.074480, , 
120563, 56431, 190733, 74809, 8.46, 3.505950, 3.261851, 1.074834, , 
119047, 56423, 188251, 74804, 8.50, 3.531552, 3.288118, 1.074034, , 
117276, 56407, 185651, 74822, 8.54, 3.561639, 3.316635, 1.073871, , 
115969, 56413, 183810, 74787, 8.58, 3.584788, 3.335779, 1.074648, , 
