,empty_tx,RnlA_tx,YafQ_tx,empty_rs,RnlA_rs,YafQ_rs
5,0.192,0.169,0.169,0.184,0.174,0.175
10,0.19,0.183,0.172,0.186,0.184,0.18
15,0.191,0.189,0.177,0.18,0.195,0.186
20,0.192,0.193,0.181,0.186,0.201,0.192
25,0.198,0.199,0.187,0.192,0.206,0.197
30,0.202,0.202,0.194,0.199,0.209,0.204
35,0.21,0.208,0.2,0.205,0.211,0.21
40,0.219,0.209,0.208,0.212,0.214,0.218
45,0.225,0.211,0.214,0.222,0.216,0.226
50,0.232,0.211,0.223,0.23,0.219,0.235
55,0.239,0.211,0.231,0.24,0.222,0.245
60,0.252,0.212,0.239,0.251,0.224,0.255
65,0.26,0.215,0.25,0.263,0.227,0.265
70,0.273,0.218,0.263,0.275,0.231,0.276
75,0.286,0.221,0.273,0.289,0.236,0.288
80,0.298,0.226,0.286,0.304,0.244,0.301
85,0.311,0.233,0.3,0.321,0.251,0.316
90,0.323,0.24,0.315,0.338,0.26,0.33
95,0.345,0.248,0.333,0.357,0.272,0.347
100,0.362,0.257,0.352,0.376,0.283,0.363
105,0.384,0.266,0.372,0.398,0.294,0.382
110,0.404,0.279,0.392,0.422,0.306,0.401
115,0.421,0.294,0.416,0.444,0.316,0.422
120,0.457,0.311,0.438,0.469,0.327,0.442
125,0.483,0.323,0.464,0.497,0.341,0.465
130,0.517,0.34,0.494,0.528,0.358,0.491
135,0.537,0.359,0.523,0.56,0.371,0.518
140,0.572,0.376,0.557,0.594,0.391,0.546
145,0.588,0.394,0.591,0.626,0.408,0.576
150,0.606,0.409,0.63,0.662,0.424,0.607
155,0.629,0.428,0.659,0.68,0.45,0.638
160,0.65,0.455,0.667,0.691,0.478,0.662
165,0.665,0.482,0.674,0.697,0.508,0.671
170,0.711,0.514,0.688,0.711,0.534,0.676
175,0.717,0.544,0.716,0.738,0.568,0.683
180,0.766,0.575,0.74,0.762,0.603,0.7
185,0.866,0.621,0.763,0.785,0.631,0.719
190,0.852,0.66,0.785,0.804,0.669,0.741
195,0.797,0.689,0.804,0.823,0.689,0.76
200,0.798,0.695,0.819,0.84,0.697,0.779
205,0.818,0.703,0.829,0.856,0.707,0.796
210,0.838,0.72,0.842,0.871,0.724,0.811
215,0.862,0.749,0.856,0.886,0.752,0.825
220,0.874,0.761,0.869,0.9,0.775,0.839
225,0.888,0.783,0.88,0.913,0.795,0.852
230,0.886,0.803,0.891,0.923,0.813,0.864
235,0.895,0.831,0.898,0.929,0.834,0.876
240,0.906,0.844,0.905,0.937,0.848,0.886
245,0.919,0.856,0.914,0.946,0.862,0.897
250,0.933,0.878,0.923,0.957,0.878,0.902
255,0.948,0.889,0.936,0.969,0.893,0.911
260,0.963,0.907,0.945,0.98,0.905,0.922
265,0.973,0.925,0.957,0.99,0.918,0.931
270,0.981,0.943,0.964,1,0.93,0.942
275,0.989,0.955,0.974,1.016,0.939,0.952
280,1,0.963,0.981,1.026,0.953,0.96
285,1.005,0.976,0.989,1.034,0.96,0.967
290,1.005,0.988,0.993,1.038,0.967,0.975
295,1.002,1.002,1.002,1.038,0.98,0.983
300,1.004,1.013,0.998,1.038,0.992,0.989
305,1.008,1.028,0.998,1.039,1.009,0.995
310,1.01,1.036,0.997,1.041,1.014,0.999
315,1.012,1.047,0.999,1.042,1.021,0.999
320,1.013,1.054,1.001,1.043,1.028,0.997
325,1.016,1.061,1,1.044,1.036,0.998
