fraction,cpmb1,cpmb2,cpmb3,mean,stdev,rel_eff,normalization
1,7220,7161,7451,7277.3,153.3,1,1
2,6901,6832,6923,6885.3,47.5,0.946134115,1.05693261
3,6789,6813,6884,6828.7,49.4,0.93834738,1.065703407
4,6658,6628,6605,6630.3,26.6,0.911093807,1.097581821
5,6514,6491,6475,6493.3,19.6,0.89226823,1.12073922
6,6440,6368,6518,6442.0,75.0,0.885214364,1.129669875
7,6334,6302,6245,6293.7,45.1,0.86483144,1.156294688
8,6171,6337,6148,6218.7,103.1,0.854525467,1.170240137
9,6108,6133,6165,6135.3,28.6,0.843074386,1.186134956
10,5875,5790,5884,5849.7,51.9,0.803820081,1.244059491
11,5445,5513,5548,5502.0,52.4,0.756046171,1.322670544
12,5607,5497,5264,5456.0,175.1,0.749725174,1.333822092
13,5209,4878,5062,5049.7,165.8,0.693889703,1.441151231
