fraction,pre1,post1,pre2,post2,pre3,post3,weight1,weight2,weight3,mean,stdev,normalization
1,1007,1829,1012,1844,1019,1821,822,832,802,818.6666667,15.27525232,0.967409531
2,1033,1839,1033,1876,1016,1849,806,843,833,827.3333333,19.13983629,0.977650837
3,1017,1847,1018,1835,1015,1815,830,817,800,815.6666667,15.0443788,0.963864464
4,1012,1832,1025,1851,1006,1816,820,826,810,818.6666667,8.082903769,0.967409531
5,1020,1845,992,1810,1017,1827,825,818,810,817.6666667,7.505553499,0.966227842
6,998,1828,1009,1836,1032,1853,830,827,821,826,4.582575695,0.976075252
7,1004,1811,1018,1832,1033,1837,807,814,804,808.3333333,5.131601439,0.955198743
8,1005,1821,1031,1829,1019,1824,816,798,805,806.3333333,9.073771726,0.952835365
9,1010,1806,1014,1847,1006,1827,796,833,821,816.6666667,18.87679351,0.965046153
10,1006,1804,1021,1801,1005,1775,798,780,770,782.6666667,14.18919777,0.924868721
11,1016,1819,1016,1827,1011,1812,803,811,801,805,5.291502622,0.951259779
12,1007,1758,1020,1803,1005,1780,751,783,775,769.6666667,16.653328,0.909506762
13,1107,2565,1108,2556,1111,2548,1458,1448,1437,1447.666667,10.5039675,1.710692018
